Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20150415.B-CAMA_reseq_10_R1	20150415.B-CAMA_reseq_10_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20771449.0	2.6 Gbp	0.0	126.0	39.0	73.58390364359163	126.0	126	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
20150415.B-CAMA_reseq_10_R2	20150415.B-CAMA_reseq_10_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20771449.0	2.6 Gbp	0.0	126.0	39.0	73.96280486570315	126.0	126	pass	pass	fail	pass	warn	pass	pass	pass	pass	fail	pass
20150415.B-CAMA_reseq_11_R1	20150415.B-CAMA_reseq_11_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19290265.0	2.4 Gbp	0.0	126.0	39.0	75.72379113924839	126.0	126	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
20150415.B-CAMA_reseq_11_R2	20150415.B-CAMA_reseq_11_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19290265.0	2.4 Gbp	0.0	126.0	39.0	76.01903242078973	126.0	126	pass	pass	fail	pass	warn	pass	pass	pass	pass	fail	pass
20150415.B-CAMA_reseq_12_R1	20150415.B-CAMA_reseq_12_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18187580.0	2.2 Gbp	0.0	126.0	38.0	74.35648470924073	126.0	126	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
20150415.B-CAMA_reseq_12_R2	20150415.B-CAMA_reseq_12_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18187580.0	2.2 Gbp	0.0	126.0	39.0	74.74776115056693	126.0	126	pass	pass	fail	pass	warn	pass	pass	pass	pass	fail	pass
20150415.B-CAMA_reseq_13_R1	20150415.B-CAMA_reseq_13_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19064428.0	2.4 Gbp	0.0	126.0	39.0	83.06246970445085	126.0	126	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
20150415.B-CAMA_reseq_13_R2	20150415.B-CAMA_reseq_13_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19064428.0	2.4 Gbp	0.0	126.0	39.0	83.23556879808727	126.0	126	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	pass
20150415.B-CAMA_reseq_14_R1	20150415.B-CAMA_reseq_14_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15692158.0	1.9 Gbp	0.0	126.0	38.0	79.52777054318935	126.0	126	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
20150415.B-CAMA_reseq_14_R2	20150415.B-CAMA_reseq_14_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15692158.0	1.9 Gbp	0.0	126.0	38.0	79.76329357868582	126.0	126	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	pass
