Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20150415.B-CAMA_reseq_10_R1	(1.0, 66.45790111590301)	(2.0, 8.966759474680444)	(3.0, 2.825243476078252)	(4.0, 1.6689397981132015)	(5.0, 1.3337239209327003)	(6.0, 1.0604233661628764)	(7.0, 0.9065372072512953)	(8.0, 0.8274388827206458)	(9.0, 0.7362775984244149)	('>10', 9.025255244890037)	('>50', 1.3732518388658264)	('>100', 1.1925033510075498)	('>500', 0.05796918309702207)	('>1k', 0.08660054135494072)	('>5k', 0.0)	('>10k+', 3.4811750005178776)
20150415.B-CAMA_reseq_10_R2	(1.0, 66.92097145688469)	(2.0, 8.872449814170588)	(3.0, 2.762309198296723)	(4.0, 1.7076549623365984)	(5.0, 1.2625680221605835)	(6.0, 1.049652850666299)	(7.0, 0.9294693976458968)	(8.0, 0.8183670549321863)	(9.0, 0.7125292851960743)	('>10', 8.82080264504799)	('>50', 1.4243681560138144)	('>100', 1.1801623893964335)	('>500', 0.023965904439614445)	('>1k', 0.005092420463056201)	('>5k', 0.0)	('>10k+', 3.509636442349553)
20150415.B-CAMA_reseq_11_R1	(1.0, 68.93357365428285)	(2.0, 8.686808286295243)	(3.0, 2.4663802650916544)	(4.0, 1.5736798811682846)	(5.0, 1.1749794723146678)	(6.0, 1.0460640693901024)	(7.0, 0.9310489413390769)	(8.0, 0.8349331469731115)	(9.0, 0.6922690334422235)	('>10', 8.586820509402196)	('>50', 0.9852548829110686)	('>100', 0.9734529468631687)	('>500', 0.02256217240462194)	('>1k', 0.06930263246196464)	('>5k', 0.0)	('>10k+', 3.0228701056597798)
20150415.B-CAMA_reseq_11_R2	(1.0, 69.27581079907272)	(2.0, 8.457238575530367)	(3.0, 2.6611307538593603)	(4.0, 1.6218852534739616)	(5.0, 1.188910109112427)	(6.0, 1.0462639129715892)	(7.0, 0.9184367244473153)	(8.0, 0.7537390532470118)	(9.0, 0.7410639295608553)	('>10', 8.442702181951597)	('>50', 0.9174806068682149)	('>100', 0.9514522545373383)	('>500', 0.010139556912989824)	('>1k', 0.005576452896961954)	('>5k', 0.0)	('>10k+', 3.0081698355573416)
20150415.B-CAMA_reseq_12_R1	(1.0, 67.6234587882126)	(2.0, 8.266317032071502)	(3.0, 2.612778796226304)	(4.0, 1.6342264609611117)	(5.0, 1.235468564977412)	(6.0, 1.1038305777836896)	(7.0, 0.98788477984782)	(8.0, 0.8994268075625115)	(9.0, 0.7841483365595527)	('>10', 9.322270561705468)	('>50', 1.279246017693081)	('>100', 0.4820257170047506)	('>500', 0.01692059665765931)	('>1k', 0.08821468896980506)	('>5k', 0.0)	('>10k+', 3.663782273766805)
20150415.B-CAMA_reseq_12_R2	(1.0, 68.06768756408779)	(2.0, 8.27330969245231)	(3.0, 2.5287404958095774)	(4.0, 1.552953134857844)	(5.0, 1.2471025816350612)	(6.0, 1.0699542792363026)	(7.0, 1.0139061784049486)	(8.0, 0.8642017082298494)	(9.0, 0.7935674163449483)	('>10', 9.227618992108132)	('>50', 1.1634062223313193)	('>100', 0.4917599216239134)	('>500', 0.010393515479841202)	('>1k', 0.005573181081848069)	('>5k', 0.0)	('>10k+', 3.689825116316211)
20150415.B-CAMA_reseq_13_R1	(1.0, 75.87396901642693)	(2.0, 9.911437362667797)	(3.0, 2.7216845551863886)	(4.0, 1.766534838473329)	(5.0, 1.2702954321462128)	(6.0, 0.9685078517416407)	(7.0, 0.7212853432742918)	(8.0, 0.5491870152172617)	(9.0, 0.4770205970830557)	('>10', 3.9321471781613897)	('>50', 0.7256331253265169)	('>100', 0.3505263146719438)	('>500', 0.007369622337759656)	('>1k', 0.012593272199378341)	('>5k', 0.0)	('>10k+', 0.711808475086112)
20150415.B-CAMA_reseq_13_R2	(1.0, 76.06830342970277)	(2.0, 9.913530483765634)	(3.0, 2.753480718434508)	(4.0, 1.6919140611227366)	(5.0, 1.2114369962909362)	(6.0, 0.9985376080491138)	(7.0, 0.7233023250000338)	(8.0, 0.5491954396376576)	(9.0, 0.4518153159273174)	('>10', 3.793160378098321)	('>50', 0.7262351545981807)	('>100', 0.38961865144074825)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.7294694379319524)
20150415.B-CAMA_reseq_14_R1	(1.0, 72.21174023175116)	(2.0, 9.251056729048845)	(3.0, 2.9781030797332875)	(4.0, 1.8506964310258005)	(5.0, 1.3670871492109442)	(6.0, 1.1554268077236198)	(7.0, 1.0005891679697048)	(8.0, 0.8306407720964346)	(9.0, 0.7191780457806191)	('>10', 6.956908868078602)	('>50', 0.6022014644159508)	('>100', 0.2583601864780678)	('>500', 0.005651342130628041)	('>1k', 0.014813269959087027)	('>5k', 0.0)	('>10k+', 0.7975464545972456)
20150415.B-CAMA_reseq_14_R2	(1.0, 72.5079098680057)	(2.0, 9.177009481716244)	(3.0, 2.9556467775170985)	(4.0, 1.849913498847385)	(5.0, 1.3542818571887907)	(6.0, 1.166569331442738)	(7.0, 0.9565465085277952)	(8.0, 0.8267153566906781)	(9.0, 0.7263398429492217)	('>10', 6.824320697951079)	('>50', 0.5797256353121815)	('>100', 0.25718897074396574)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.8178321731070536)
20150415.B-CAMA_reseq_15_R1	(1.0, 70.39534636228278)	(2.0, 8.436835818391213)	(3.0, 2.2666920157270845)	(4.0, 1.4221461371758426)	(5.0, 1.1625874070135498)	(6.0, 1.112987231336633)	(7.0, 1.0750983397698848)	(8.0, 0.973803995200514)	(9.0, 1.0077005469787599)	('>10', 10.55757987696603)	('>50', 0.5055514197319884)	('>100', 0.24895747753188838)	('>500', 0.014091697696658788)	('>1k', 0.01578956466344369)	('>5k', 0.0)	('>10k+', 0.8048321095337031)
20150415.B-CAMA_reseq_15_R2	(1.0, 70.47017071076338)	(2.0, 8.364439766354714)	(3.0, 2.3034404532528168)	(4.0, 1.4956342625695258)	(5.0, 1.194489924869877)	(6.0, 1.1419819679749879)	(7.0, 0.9771504947890628)	(8.0, 0.952801621019876)	(9.0, 0.9645135549492043)	('>10', 10.56004710827155)	('>50', 0.4773945496174251)	('>100', 0.2786265101843828)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.8193090753831985)
