Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
20150415.B-CAMA_reseq_15_R1	(2.0, 47.0)	(3.0, 63.0)	(4.0, 56.0)	(5.0, 79.0)	(6.0, 128.0)	(7.0, 290.0)	(8.0, 653.0)	(9.0, 952.0)	(10.0, 1276.0)	(11.0, 1522.0)	(12.0, 1923.0)	(13.0, 2359.0)	(14.0, 2906.0)	(15.0, 3671.0)	(16.0, 4748.0)	(17.0, 5883.0)	(18.0, 7615.0)	(19.0, 9215.0)	(20.0, 11991.0)	(21.0, 16993.0)	(22.0, 51624.0)	(23.0, 96970.0)	(24.0, 28803.0)	(25.0, 38143.0)	(26.0, 49093.0)	(27.0, 62639.0)	(28.0, 80162.0)	(29.0, 102825.0)	(30.0, 130407.0)	(31.0, 167010.0)	(32.0, 215512.0)	(33.0, 289256.0)	(34.0, 413217.0)	(35.0, 659628.0)	(36.0, 1407920.0)	(37.0, 14265277.0)
20150415.B-CAMA_reseq_15_R2	(2.0, 17843.0)	(3.0, 1948.0)	(4.0, 1661.0)	(5.0, 1519.0)	(6.0, 1548.0)	(7.0, 1803.0)	(8.0, 2256.0)	(9.0, 2875.0)	(10.0, 3409.0)	(11.0, 4134.0)	(12.0, 5149.0)	(13.0, 6367.0)	(14.0, 8448.0)	(15.0, 10877.0)	(16.0, 13560.0)	(17.0, 17617.0)	(18.0, 23518.0)	(19.0, 34058.0)	(20.0, 132448.0)	(21.0, 46532.0)	(22.0, 51767.0)	(23.0, 61367.0)	(24.0, 72690.0)	(25.0, 85730.0)	(26.0, 101685.0)	(27.0, 117552.0)	(28.0, 136268.0)	(29.0, 158643.0)	(30.0, 185354.0)	(31.0, 224073.0)	(32.0, 279854.0)	(33.0, 366584.0)	(34.0, 510252.0)	(35.0, 802569.0)	(36.0, 1685184.0)	(37.0, 12953714.0)
20150415.B-CAMA_reseq_16_R1	(2.0, 37.0)	(3.0, 48.0)	(4.0, 63.0)	(5.0, 74.0)	(6.0, 107.0)	(7.0, 215.0)	(8.0, 576.0)	(9.0, 678.0)	(10.0, 899.0)	(11.0, 1061.0)	(12.0, 1360.0)	(13.0, 1666.0)	(14.0, 2062.0)	(15.0, 2667.0)	(16.0, 3462.0)	(17.0, 4131.0)	(18.0, 5555.0)	(19.0, 6863.0)	(20.0, 9186.0)	(21.0, 13007.0)	(22.0, 38416.0)	(23.0, 39636.0)	(24.0, 22594.0)	(25.0, 30108.0)	(26.0, 40511.0)	(27.0, 53963.0)	(28.0, 70994.0)	(29.0, 92979.0)	(30.0, 121084.0)	(31.0, 158084.0)	(32.0, 209757.0)	(33.0, 289188.0)	(34.0, 426596.0)	(35.0, 713174.0)	(36.0, 1632715.0)	(37.0, 12592968.0)
20150415.B-CAMA_reseq_16_R2	(2.0, 15672.0)	(3.0, 1480.0)	(4.0, 1047.0)	(5.0, 937.0)	(6.0, 1097.0)	(7.0, 1289.0)	(8.0, 1640.0)	(9.0, 2063.0)	(10.0, 2370.0)	(11.0, 2839.0)	(12.0, 3447.0)	(13.0, 4538.0)	(14.0, 5894.0)	(15.0, 7470.0)	(16.0, 9393.0)	(17.0, 12121.0)	(18.0, 16203.0)	(19.0, 22513.0)	(20.0, 65647.0)	(21.0, 32095.0)	(22.0, 37819.0)	(23.0, 46608.0)	(24.0, 56529.0)	(25.0, 68322.0)	(26.0, 82273.0)	(27.0, 97795.0)	(28.0, 115681.0)	(29.0, 135590.0)	(30.0, 161674.0)	(31.0, 198962.0)	(32.0, 253434.0)	(33.0, 334945.0)	(34.0, 473134.0)	(35.0, 753718.0)	(36.0, 1599771.0)	(37.0, 11960474.0)
20150415.B-CAMA_reseq_17_R1	(2.0, 58.0)	(3.0, 51.0)	(4.0, 76.0)	(5.0, 58.0)	(6.0, 137.0)	(7.0, 264.0)	(8.0, 695.0)	(9.0, 882.0)	(10.0, 1148.0)	(11.0, 1364.0)	(12.0, 1816.0)	(13.0, 2192.0)	(14.0, 2814.0)	(15.0, 3597.0)	(16.0, 4445.0)	(17.0, 5701.0)	(18.0, 7469.0)	(19.0, 9337.0)	(20.0, 12405.0)	(21.0, 18464.0)	(22.0, 52079.0)	(23.0, 95015.0)	(24.0, 28561.0)	(25.0, 37608.0)	(26.0, 49577.0)	(27.0, 64174.0)	(28.0, 84163.0)	(29.0, 108882.0)	(30.0, 141602.0)	(31.0, 182941.0)	(32.0, 240867.0)	(33.0, 328735.0)	(34.0, 472119.0)	(35.0, 760498.0)	(36.0, 1635460.0)	(37.0, 12693705.0)
20150415.B-CAMA_reseq_17_R2	(2.0, 17830.0)	(3.0, 2179.0)	(4.0, 1647.0)	(5.0, 1605.0)	(6.0, 1742.0)	(7.0, 1941.0)	(8.0, 2346.0)	(9.0, 2834.0)	(10.0, 3585.0)	(11.0, 4155.0)	(12.0, 5030.0)	(13.0, 6386.0)	(14.0, 8516.0)	(15.0, 11002.0)	(16.0, 14324.0)	(17.0, 18845.0)	(18.0, 25775.0)	(19.0, 36923.0)	(20.0, 129556.0)	(21.0, 49855.0)	(22.0, 56432.0)	(23.0, 67518.0)	(24.0, 80180.0)	(25.0, 94389.0)	(26.0, 110277.0)	(27.0, 128932.0)	(28.0, 149462.0)	(29.0, 173909.0)	(30.0, 205079.0)	(31.0, 247865.0)	(32.0, 308731.0)	(33.0, 403267.0)	(34.0, 560536.0)	(35.0, 876988.0)	(36.0, 1820863.0)	(37.0, 11418455.0)
20150415.B-CAMA_reseq_18_R1	(2.0, 64.0)	(3.0, 60.0)	(4.0, 71.0)	(5.0, 76.0)	(6.0, 114.0)	(7.0, 275.0)	(8.0, 696.0)	(9.0, 968.0)	(10.0, 1185.0)	(11.0, 1427.0)	(12.0, 1909.0)	(13.0, 2302.0)	(14.0, 2837.0)	(15.0, 3720.0)	(16.0, 4819.0)	(17.0, 6168.0)	(18.0, 8367.0)	(19.0, 10782.0)	(20.0, 14291.0)	(21.0, 21461.0)	(22.0, 74252.0)	(23.0, 101908.0)	(24.0, 34164.0)	(25.0, 43711.0)	(26.0, 55950.0)	(27.0, 71955.0)	(28.0, 94037.0)	(29.0, 122365.0)	(30.0, 155333.0)	(31.0, 200945.0)	(32.0, 265032.0)	(33.0, 363185.0)	(34.0, 534399.0)	(35.0, 889914.0)	(36.0, 2000102.0)	(37.0, 12166894.0)
20150415.B-CAMA_reseq_18_R2	(2.0, 20510.0)	(3.0, 3072.0)	(4.0, 2256.0)	(5.0, 1998.0)	(6.0, 2096.0)	(7.0, 2341.0)	(8.0, 2678.0)	(9.0, 3218.0)	(10.0, 3850.0)	(11.0, 4529.0)	(12.0, 5510.0)	(13.0, 6923.0)	(14.0, 9272.0)	(15.0, 11702.0)	(16.0, 14942.0)	(17.0, 19971.0)	(18.0, 27053.0)	(19.0, 39486.0)	(20.0, 156345.0)	(21.0, 54297.0)	(22.0, 60094.0)	(23.0, 70291.0)	(24.0, 83405.0)	(25.0, 98348.0)	(26.0, 115493.0)	(27.0, 133964.0)	(28.0, 155772.0)	(29.0, 180580.0)	(30.0, 213210.0)	(31.0, 256825.0)	(32.0, 321170.0)	(33.0, 418626.0)	(34.0, 581817.0)	(35.0, 913220.0)	(36.0, 1898939.0)	(37.0, 11361935.0)
20150415.B-CAMA_reseq_19_R1	(2.0, 70.0)	(3.0, 85.0)	(4.0, 87.0)	(5.0, 102.0)	(6.0, 182.0)	(7.0, 387.0)	(8.0, 933.0)	(9.0, 1267.0)	(10.0, 1781.0)	(11.0, 2110.0)	(12.0, 2705.0)	(13.0, 3270.0)	(14.0, 4162.0)	(15.0, 5104.0)	(16.0, 6543.0)	(17.0, 8247.0)	(18.0, 10471.0)	(19.0, 13364.0)	(20.0, 17630.0)	(21.0, 26730.0)	(22.0, 76775.0)	(23.0, 140598.0)	(24.0, 43700.0)	(25.0, 57870.0)	(26.0, 75731.0)	(27.0, 97330.0)	(28.0, 126486.0)	(29.0, 164007.0)	(30.0, 212737.0)	(31.0, 276115.0)	(32.0, 363104.0)	(33.0, 497387.0)	(34.0, 721647.0)	(35.0, 1172257.0)	(36.0, 2634684.0)	(37.0, 19356005.0)
20150415.B-CAMA_reseq_19_R2	(2.0, 30637.0)	(3.0, 5649.0)	(4.0, 3177.0)	(5.0, 3101.0)	(6.0, 3406.0)	(7.0, 3624.0)	(8.0, 4067.0)	(9.0, 4742.0)	(10.0, 5577.0)	(11.0, 6555.0)	(12.0, 8061.0)	(13.0, 10180.0)	(14.0, 13070.0)	(15.0, 17284.0)	(16.0, 22918.0)	(17.0, 30326.0)	(18.0, 41490.0)	(19.0, 62812.0)	(20.0, 188604.0)	(21.0, 73000.0)	(22.0, 83910.0)	(23.0, 100368.0)	(24.0, 118935.0)	(25.0, 140756.0)	(26.0, 164326.0)	(27.0, 192433.0)	(28.0, 224209.0)	(29.0, 261171.0)	(30.0, 309578.0)	(31.0, 379239.0)	(32.0, 476703.0)	(33.0, 629661.0)	(34.0, 886599.0)	(35.0, 1419531.0)	(36.0, 3074225.0)	(37.0, 17121739.0)
