Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
20150415.B-CAMA_reseq_1	39207374.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_10	41542898.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_11	38580530.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_12	36375160.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_13	38128856.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_14	31384316.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_15	36261712.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_16	33172968.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_17	34097918.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_18	34511476.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_19	52243326.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_2	35392010.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_20	46072332.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_21	51819678.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_22	43024444.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_23	43827826.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_24	40454674.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_25	40676064.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_26	41421692.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_3	38870374.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_4	36859448.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_5	45345242.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_6	39627794.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_7	47711760.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_8	46620566.0	0.0	0.0	nan	0.0	0.0
20150415.B-CAMA_reseq_9	39300832.0	0.0	0.0	nan	0.0	0.0
