Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
KTP-11_S23_R2_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 30.0)	(12.0, 277.0)	(13.0, 1100.0)	(14.0, 3584.0)	(15.0, 9920.0)	(16.0, 21528.0)	(17.0, 34101.0)	(18.0, 44900.0)	(19.0, 55924.0)	(20.0, 68382.0)	(21.0, 83234.0)	(22.0, 99855.0)	(23.0, 119173.0)	(24.0, 141361.0)	(25.0, 167091.0)	(26.0, 198907.0)	(27.0, 235917.0)	(28.0, 281108.0)	(29.0, 334420.0)	(30.0, 402453.0)	(31.0, 486288.0)	(32.0, 593108.0)	(33.0, 730342.0)	(34.0, 903148.0)	(35.0, 1121957.0)	(36.0, 1390813.0)	(37.0, 1674322.0)	(38.0, 1810257.0)	(39.0, 1357215.0)	(40.0, 322924.0)
KTP-12_S24_R1_001	(2.0, 18.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 12.0)	(16.0, 43.0)	(17.0, 210.0)	(18.0, 500.0)	(19.0, 1496.0)	(20.0, 3494.0)	(21.0, 6998.0)	(22.0, 12467.0)	(23.0, 20329.0)	(24.0, 32072.0)	(25.0, 47236.0)	(26.0, 67066.0)	(27.0, 90097.0)	(28.0, 117756.0)	(29.0, 148824.0)	(30.0, 184439.0)	(31.0, 223914.0)	(32.0, 270879.0)	(33.0, 326355.0)	(34.0, 396648.0)	(35.0, 495630.0)	(36.0, 651507.0)	(37.0, 942052.0)	(38.0, 1645191.0)	(39.0, 4238736.0)	(40.0, 7344590.0)
KTP-12_S24_R2_001	(2.0, 12.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 26.0)	(12.0, 333.0)	(13.0, 1380.0)	(14.0, 4236.0)	(15.0, 11678.0)	(16.0, 26056.0)	(17.0, 41273.0)	(18.0, 53397.0)	(19.0, 65741.0)	(20.0, 79805.0)	(21.0, 97897.0)	(22.0, 117370.0)	(23.0, 139833.0)	(24.0, 166121.0)	(25.0, 196541.0)	(26.0, 233293.0)	(27.0, 276125.0)	(28.0, 328141.0)	(29.0, 394177.0)	(30.0, 474352.0)	(31.0, 576455.0)	(32.0, 711692.0)	(33.0, 893331.0)	(34.0, 1141352.0)	(35.0, 1478854.0)	(36.0, 1919959.0)	(37.0, 2431609.0)	(38.0, 2731438.0)	(39.0, 2117516.0)	(40.0, 558575.0)
KTP-13_S25_R1_001	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 10.0)	(16.0, 59.0)	(17.0, 230.0)	(18.0, 552.0)	(19.0, 1430.0)	(20.0, 3152.0)	(21.0, 6296.0)	(22.0, 11331.0)	(23.0, 19102.0)	(24.0, 30236.0)	(25.0, 44540.0)	(26.0, 62217.0)	(27.0, 83649.0)	(28.0, 109416.0)	(29.0, 137464.0)	(30.0, 170790.0)	(31.0, 207144.0)	(32.0, 250310.0)	(33.0, 302530.0)	(34.0, 369204.0)	(35.0, 463678.0)	(36.0, 611345.0)	(37.0, 883192.0)	(38.0, 1521201.0)	(39.0, 3652608.0)	(40.0, 5893649.0)
KTP-13_S25_R2_001	(2.0, 12.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 3.0)	(11.0, 19.0)	(12.0, 322.0)	(13.0, 1410.0)	(14.0, 4428.0)	(15.0, 11939.0)	(16.0, 26022.0)	(17.0, 41140.0)	(18.0, 53240.0)	(19.0, 65511.0)	(20.0, 78572.0)	(21.0, 95252.0)	(22.0, 113792.0)	(23.0, 135464.0)	(24.0, 161003.0)	(25.0, 190303.0)	(26.0, 226234.0)	(27.0, 267642.0)	(28.0, 317973.0)	(29.0, 380405.0)	(30.0, 455109.0)	(31.0, 550834.0)	(32.0, 671791.0)	(33.0, 825320.0)	(34.0, 1021113.0)	(35.0, 1274035.0)	(36.0, 1590575.0)	(37.0, 1953913.0)	(38.0, 2188648.0)	(39.0, 1725462.0)	(40.0, 407867.0)
KTP-14_S26_R1_001	(2.0, 17.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 8.0)	(13.0, 0.0)	(14.0, 4.0)	(15.0, 24.0)	(16.0, 126.0)	(17.0, 420.0)	(18.0, 817.0)	(19.0, 2049.0)	(20.0, 4512.0)	(21.0, 8685.0)	(22.0, 15437.0)	(23.0, 24901.0)	(24.0, 38792.0)	(25.0, 56497.0)	(26.0, 79402.0)	(27.0, 106186.0)	(28.0, 137484.0)	(29.0, 172092.0)	(30.0, 211867.0)	(31.0, 257251.0)	(32.0, 310011.0)	(33.0, 374207.0)	(34.0, 456269.0)	(35.0, 570037.0)	(36.0, 748735.0)	(37.0, 1085209.0)	(38.0, 1887395.0)	(39.0, 4629879.0)	(40.0, 6948260.0)
KTP-14_S26_R2_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 64.0)	(12.0, 680.0)	(13.0, 2527.0)	(14.0, 7330.0)	(15.0, 19913.0)	(16.0, 42017.0)	(17.0, 63877.0)	(18.0, 81259.0)	(19.0, 97922.0)	(20.0, 116425.0)	(21.0, 137947.0)	(22.0, 163030.0)	(23.0, 190930.0)	(24.0, 223722.0)	(25.0, 260069.0)	(26.0, 303765.0)	(27.0, 355920.0)	(28.0, 417162.0)	(29.0, 491893.0)	(30.0, 583545.0)	(31.0, 698125.0)	(32.0, 842399.0)	(33.0, 1032962.0)	(34.0, 1280889.0)	(35.0, 1603345.0)	(36.0, 2001380.0)	(37.0, 2411767.0)	(38.0, 2541126.0)	(39.0, 1776952.0)	(40.0, 377617.0)
KTP-15_S27_R1_001	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 1.0)	(14.0, 6.0)	(15.0, 20.0)	(16.0, 69.0)	(17.0, 247.0)	(18.0, 634.0)	(19.0, 1713.0)	(20.0, 4082.0)	(21.0, 8327.0)	(22.0, 14935.0)	(23.0, 24568.0)	(24.0, 37925.0)	(25.0, 55149.0)	(26.0, 76697.0)	(27.0, 102875.0)	(28.0, 132373.0)	(29.0, 166641.0)	(30.0, 205455.0)	(31.0, 249291.0)	(32.0, 299920.0)	(33.0, 361668.0)	(34.0, 439760.0)	(35.0, 547539.0)	(36.0, 711512.0)	(37.0, 1005206.0)	(38.0, 1698769.0)	(39.0, 4121352.0)	(40.0, 6753403.0)
KTP-15_S27_R2_001	(2.0, 18.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 48.0)	(12.0, 712.0)	(13.0, 2808.0)	(14.0, 8275.0)	(15.0, 21904.0)	(16.0, 46475.0)	(17.0, 70986.0)	(18.0, 87844.0)	(19.0, 103416.0)	(20.0, 119788.0)	(21.0, 141391.0)	(22.0, 165249.0)	(23.0, 192370.0)	(24.0, 223838.0)	(25.0, 259420.0)	(26.0, 300632.0)	(27.0, 349307.0)	(28.0, 407493.0)	(29.0, 474386.0)	(30.0, 557393.0)	(31.0, 660408.0)	(32.0, 788280.0)	(33.0, 954488.0)	(34.0, 1166024.0)	(35.0, 1444965.0)	(36.0, 1796876.0)	(37.0, 2176529.0)	(38.0, 2368745.0)	(39.0, 1758979.0)	(40.0, 371101.0)
KTP-16_S28_R1_001	(2.0, 15.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 27.0)	(16.0, 133.0)	(17.0, 375.0)	(18.0, 759.0)	(19.0, 1696.0)	(20.0, 3715.0)	(21.0, 7018.0)	(22.0, 12310.0)	(23.0, 20152.0)	(24.0, 30746.0)	(25.0, 44859.0)	(26.0, 62215.0)	(27.0, 83310.0)	(28.0, 106745.0)	(29.0, 133691.0)	(30.0, 165425.0)	(31.0, 200860.0)	(32.0, 241374.0)	(33.0, 291554.0)	(34.0, 353763.0)	(35.0, 441355.0)	(36.0, 575812.0)	(37.0, 821209.0)	(38.0, 1391679.0)	(39.0, 3314189.0)	(40.0, 5342612.0)
KTP-16_S28_R2_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 60.0)	(12.0, 590.0)	(13.0, 2227.0)	(14.0, 6374.0)	(15.0, 17019.0)	(16.0, 36020.0)	(17.0, 54419.0)	(18.0, 67685.0)	(19.0, 79577.0)	(20.0, 93991.0)	(21.0, 110105.0)	(22.0, 130299.0)	(23.0, 152603.0)	(24.0, 177840.0)	(25.0, 208511.0)	(26.0, 242139.0)	(27.0, 282706.0)	(28.0, 332231.0)	(29.0, 391169.0)	(30.0, 464459.0)	(31.0, 552534.0)	(32.0, 661815.0)	(33.0, 801780.0)	(34.0, 975208.0)	(35.0, 1193307.0)	(36.0, 1456069.0)	(37.0, 1728566.0)	(38.0, 1836841.0)	(39.0, 1317314.0)	(40.0, 274142.0)
KTP-17_S29_R1_001	(2.0, 14.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 27.0)	(16.0, 172.0)	(17.0, 548.0)	(18.0, 1258.0)	(19.0, 2516.0)	(20.0, 5157.0)	(21.0, 9429.0)	(22.0, 15951.0)	(23.0, 25183.0)	(24.0, 38363.0)	(25.0, 54845.0)	(26.0, 75527.0)	(27.0, 101185.0)	(28.0, 129067.0)	(29.0, 160696.0)	(30.0, 198455.0)	(31.0, 239333.0)	(32.0, 288454.0)	(33.0, 345596.0)	(34.0, 419259.0)	(35.0, 520068.0)	(36.0, 678342.0)	(37.0, 967082.0)	(38.0, 1649181.0)	(39.0, 4025476.0)	(40.0, 6427102.0)
KTP-17_S29_R2_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 3.0)	(11.0, 57.0)	(12.0, 563.0)	(13.0, 2286.0)	(14.0, 7116.0)	(15.0, 19373.0)	(16.0, 41625.0)	(17.0, 63732.0)	(18.0, 79163.0)	(19.0, 92466.0)	(20.0, 108413.0)	(21.0, 127717.0)	(22.0, 149695.0)	(23.0, 174377.0)	(24.0, 204605.0)	(25.0, 237277.0)	(26.0, 276105.0)	(27.0, 321077.0)	(28.0, 374584.0)	(29.0, 441391.0)	(30.0, 519708.0)	(31.0, 617624.0)	(32.0, 741490.0)	(33.0, 903654.0)	(34.0, 1111155.0)	(35.0, 1389148.0)	(36.0, 1738408.0)	(37.0, 2130054.0)	(38.0, 2341389.0)	(39.0, 1770000.0)	(40.0, 394028.0)
KTP-18_S30_R1_001	(2.0, 20.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 11.0)	(16.0, 72.0)	(17.0, 268.0)	(18.0, 639.0)	(19.0, 1648.0)	(20.0, 3980.0)	(21.0, 7966.0)	(22.0, 14544.0)	(23.0, 23617.0)	(24.0, 36574.0)	(25.0, 53021.0)	(26.0, 73871.0)	(27.0, 98445.0)	(28.0, 127891.0)	(29.0, 159971.0)	(30.0, 196144.0)	(31.0, 237914.0)	(32.0, 286294.0)	(33.0, 344099.0)	(34.0, 415726.0)	(35.0, 514995.0)	(36.0, 667763.0)	(37.0, 942554.0)	(38.0, 1590387.0)	(39.0, 3960479.0)	(40.0, 6769814.0)
KTP-18_S30_R2_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 46.0)	(12.0, 478.0)	(13.0, 1897.0)	(14.0, 5652.0)	(15.0, 15969.0)	(16.0, 34962.0)	(17.0, 54304.0)	(18.0, 69556.0)	(19.0, 83881.0)	(20.0, 101615.0)	(21.0, 120902.0)	(22.0, 143016.0)	(23.0, 167885.0)	(24.0, 196573.0)	(25.0, 229138.0)	(26.0, 266405.0)	(27.0, 310831.0)	(28.0, 361976.0)	(29.0, 425156.0)	(30.0, 501697.0)	(31.0, 596677.0)	(32.0, 718314.0)	(33.0, 874799.0)	(34.0, 1087274.0)	(35.0, 1367733.0)	(36.0, 1733080.0)	(37.0, 2156700.0)	(38.0, 2438822.0)	(39.0, 1968108.0)	(40.0, 495252.0)
KTP-19_S31_R1_001	(2.0, 15.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 39.0)	(16.0, 180.0)	(17.0, 554.0)	(18.0, 1242.0)	(19.0, 3074.0)	(20.0, 6890.0)	(21.0, 13579.0)	(22.0, 24563.0)	(23.0, 39622.0)	(24.0, 60978.0)	(25.0, 88719.0)	(26.0, 121713.0)	(27.0, 163444.0)	(28.0, 211159.0)	(29.0, 264415.0)	(30.0, 325251.0)	(31.0, 394616.0)	(32.0, 476067.0)	(33.0, 572498.0)	(34.0, 694886.0)	(35.0, 859437.0)	(36.0, 1112271.0)	(37.0, 1563231.0)	(38.0, 2621439.0)	(39.0, 6421774.0)	(40.0, 10722343.0)
KTP-19_S31_R2_001	(2.0, 22.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 3.0)	(11.0, 170.0)	(12.0, 2108.0)	(13.0, 7529.0)	(14.0, 17855.0)	(15.0, 41760.0)	(16.0, 83217.0)	(17.0, 123163.0)	(18.0, 147811.0)	(19.0, 168946.0)	(20.0, 193940.0)	(21.0, 226301.0)	(22.0, 261813.0)	(23.0, 304325.0)	(24.0, 350288.0)	(25.0, 404711.0)	(26.0, 468246.0)	(27.0, 542816.0)	(28.0, 629397.0)	(29.0, 733704.0)	(30.0, 861148.0)	(31.0, 1017882.0)	(32.0, 1215306.0)	(33.0, 1473744.0)	(34.0, 1806854.0)	(35.0, 2245660.0)	(36.0, 2808523.0)	(37.0, 3428270.0)	(38.0, 3745528.0)	(39.0, 2818370.0)	(40.0, 634598.0)
KTP-1_S13_R1_001	(2.0, 10.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 12.0)	(16.0, 82.0)	(17.0, 256.0)	(18.0, 692.0)	(19.0, 1480.0)	(20.0, 3133.0)	(21.0, 5903.0)	(22.0, 10389.0)	(23.0, 16629.0)	(24.0, 25530.0)	(25.0, 36975.0)	(26.0, 51645.0)	(27.0, 68906.0)	(28.0, 89061.0)	(29.0, 112358.0)	(30.0, 138515.0)	(31.0, 167944.0)	(32.0, 202131.0)	(33.0, 244107.0)	(34.0, 297239.0)	(35.0, 373615.0)	(36.0, 489599.0)	(37.0, 709247.0)	(38.0, 1232755.0)	(39.0, 3009428.0)	(40.0, 4709882.0)
KTP-1_S13_R2_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 28.0)	(12.0, 275.0)	(13.0, 1058.0)	(14.0, 3367.0)	(15.0, 10028.0)	(16.0, 22629.0)	(17.0, 35823.0)	(18.0, 46407.0)	(19.0, 56650.0)	(20.0, 69225.0)	(21.0, 83421.0)	(22.0, 99580.0)	(23.0, 118008.0)	(24.0, 139087.0)	(25.0, 163791.0)	(26.0, 193029.0)	(27.0, 227046.0)	(28.0, 268405.0)	(29.0, 318401.0)	(30.0, 379893.0)	(31.0, 457110.0)	(32.0, 554374.0)	(33.0, 680245.0)	(34.0, 839930.0)	(35.0, 1046300.0)	(36.0, 1297320.0)	(37.0, 1572162.0)	(38.0, 1721438.0)	(39.0, 1306866.0)	(40.0, 285618.0)
KTP-2_S14_R1_001	(2.0, 34.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 18.0)	(13.0, 2.0)	(14.0, 3.0)	(15.0, 48.0)	(16.0, 202.0)	(17.0, 537.0)	(18.0, 1399.0)	(19.0, 3504.0)	(20.0, 7578.0)	(21.0, 15066.0)	(22.0, 26486.0)	(23.0, 42741.0)	(24.0, 66027.0)	(25.0, 95042.0)	(26.0, 131111.0)	(27.0, 175320.0)	(28.0, 226462.0)	(29.0, 283569.0)	(30.0, 348218.0)	(31.0, 422627.0)	(32.0, 508162.0)	(33.0, 613869.0)	(34.0, 743800.0)	(35.0, 918897.0)	(36.0, 1186623.0)	(37.0, 1667243.0)	(38.0, 2787479.0)	(39.0, 6827801.0)	(40.0, 11497609.0)
KTP-2_S14_R2_001	(2.0, 34.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 4.0)	(11.0, 139.0)	(12.0, 1620.0)	(13.0, 5723.0)	(14.0, 15356.0)	(15.0, 37871.0)	(16.0, 77763.0)	(17.0, 117708.0)	(18.0, 145330.0)	(19.0, 168935.0)	(20.0, 196134.0)	(21.0, 228971.0)	(22.0, 268048.0)	(23.0, 310081.0)	(24.0, 360443.0)	(25.0, 417793.0)	(26.0, 483420.0)	(27.0, 562353.0)	(28.0, 653901.0)	(29.0, 764211.0)	(30.0, 899105.0)	(31.0, 1066164.0)	(32.0, 1278854.0)	(33.0, 1548971.0)	(34.0, 1905547.0)	(35.0, 2377711.0)	(36.0, 2987997.0)	(37.0, 3688735.0)	(38.0, 4118171.0)	(39.0, 3199109.0)	(40.0, 711275.0)
KTP-3_S15_R1_001	(2.0, 20.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 20.0)	(16.0, 104.0)	(17.0, 369.0)	(18.0, 900.0)	(19.0, 2119.0)	(20.0, 4635.0)	(21.0, 8720.0)	(22.0, 15346.0)	(23.0, 25011.0)	(24.0, 37403.0)	(25.0, 53978.0)	(26.0, 74410.0)	(27.0, 98601.0)	(28.0, 127652.0)	(29.0, 158819.0)	(30.0, 195338.0)	(31.0, 236552.0)	(32.0, 285601.0)	(33.0, 341615.0)	(34.0, 416929.0)	(35.0, 517303.0)	(36.0, 676511.0)	(37.0, 965255.0)	(38.0, 1645562.0)	(39.0, 3970767.0)	(40.0, 6294120.0)
KTP-3_S15_R2_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 3.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 53.0)	(12.0, 607.0)	(13.0, 2330.0)	(14.0, 7249.0)	(15.0, 19664.0)	(16.0, 42129.0)	(17.0, 65110.0)	(18.0, 80817.0)	(19.0, 96373.0)	(20.0, 112861.0)	(21.0, 134669.0)	(22.0, 157702.0)	(23.0, 184827.0)	(24.0, 214916.0)	(25.0, 250433.0)	(26.0, 290229.0)	(27.0, 338134.0)	(28.0, 396698.0)	(29.0, 464153.0)	(30.0, 548049.0)	(31.0, 653892.0)	(32.0, 783116.0)	(33.0, 944089.0)	(34.0, 1151535.0)	(35.0, 1411226.0)	(36.0, 1720128.0)	(37.0, 2042743.0)	(38.0, 2156845.0)	(39.0, 1546883.0)	(40.0, 336194.0)
KTP-4_S16_R1_001	(2.0, 16.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 13.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 35.0)	(16.0, 174.0)	(17.0, 483.0)	(18.0, 1111.0)	(19.0, 2430.0)	(20.0, 5288.0)	(21.0, 10047.0)	(22.0, 17956.0)	(23.0, 28282.0)	(24.0, 42689.0)	(25.0, 61528.0)	(26.0, 84261.0)	(27.0, 111838.0)	(28.0, 143705.0)	(29.0, 179818.0)	(30.0, 221046.0)	(31.0, 268164.0)	(32.0, 322752.0)	(33.0, 387720.0)	(34.0, 472665.0)	(35.0, 585740.0)	(36.0, 761202.0)	(37.0, 1077491.0)	(38.0, 1813482.0)	(39.0, 4317741.0)	(40.0, 6824034.0)
KTP-4_S16_R2_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 3.0)	(11.0, 80.0)	(12.0, 813.0)	(13.0, 3350.0)	(14.0, 9324.0)	(15.0, 23440.0)	(16.0, 49720.0)	(17.0, 75341.0)	(18.0, 92724.0)	(19.0, 107505.0)	(20.0, 125377.0)	(21.0, 146985.0)	(22.0, 171788.0)	(23.0, 200232.0)	(24.0, 232142.0)	(25.0, 270288.0)	(26.0, 312895.0)	(27.0, 364788.0)	(28.0, 423941.0)	(29.0, 496394.0)	(30.0, 584346.0)	(31.0, 688674.0)	(32.0, 823838.0)	(33.0, 994162.0)	(34.0, 1209976.0)	(35.0, 1484760.0)	(36.0, 1833526.0)	(37.0, 2219144.0)	(38.0, 2447254.0)	(39.0, 1903888.0)	(40.0, 445008.0)
KTP-5_S17_R1_001	(2.0, 24.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 20.0)	(13.0, 1.0)	(14.0, 8.0)	(15.0, 62.0)	(16.0, 257.0)	(17.0, 839.0)	(18.0, 1888.0)	(19.0, 4278.0)	(20.0, 8821.0)	(21.0, 16746.0)	(22.0, 29368.0)	(23.0, 46405.0)	(24.0, 70820.0)	(25.0, 103059.0)	(26.0, 142905.0)	(27.0, 190236.0)	(28.0, 244445.0)	(29.0, 308139.0)	(30.0, 379000.0)	(31.0, 458494.0)	(32.0, 552610.0)	(33.0, 666933.0)	(34.0, 810297.0)	(35.0, 1007401.0)	(36.0, 1313733.0)	(37.0, 1878182.0)	(38.0, 3213189.0)	(39.0, 7914541.0)	(40.0, 12843928.0)
KTP-5_S17_R2_001	(2.0, 33.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 2.0)	(10.0, 0.0)	(11.0, 90.0)	(12.0, 1234.0)	(13.0, 4634.0)	(14.0, 13495.0)	(15.0, 34449.0)	(16.0, 73658.0)	(17.0, 111456.0)	(18.0, 141444.0)	(19.0, 168746.0)	(20.0, 201000.0)	(21.0, 237523.0)	(22.0, 279749.0)	(23.0, 328663.0)	(24.0, 381823.0)	(25.0, 443818.0)	(26.0, 517582.0)	(27.0, 603043.0)	(28.0, 705347.0)	(29.0, 830088.0)	(30.0, 982928.0)	(31.0, 1175701.0)	(32.0, 1418679.0)	(33.0, 1736395.0)	(34.0, 2157070.0)	(35.0, 2703251.0)	(36.0, 3397852.0)	(37.0, 4182080.0)	(38.0, 4697332.0)	(39.0, 3761766.0)	(40.0, 915695.0)
KTP-6_S18_R1_001	(2.0, 16.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 14.0)	(16.0, 68.0)	(17.0, 243.0)	(18.0, 613.0)	(19.0, 1557.0)	(20.0, 3247.0)	(21.0, 6102.0)	(22.0, 10579.0)	(23.0, 16837.0)	(24.0, 25432.0)	(25.0, 37197.0)	(26.0, 51264.0)	(27.0, 68814.0)	(28.0, 88548.0)	(29.0, 111189.0)	(30.0, 136126.0)	(31.0, 165400.0)	(32.0, 199068.0)	(33.0, 239834.0)	(34.0, 291967.0)	(35.0, 364871.0)	(36.0, 478266.0)	(37.0, 691287.0)	(38.0, 1200586.0)	(39.0, 2978845.0)	(40.0, 4722436.0)
KTP-6_S18_R2_001	(2.0, 10.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 31.0)	(12.0, 326.0)	(13.0, 1179.0)	(14.0, 3683.0)	(15.0, 9646.0)	(16.0, 20790.0)	(17.0, 32728.0)	(18.0, 42009.0)	(19.0, 50890.0)	(20.0, 61785.0)	(21.0, 74662.0)	(22.0, 88636.0)	(23.0, 104908.0)	(24.0, 123851.0)	(25.0, 145900.0)	(26.0, 173414.0)	(27.0, 202938.0)	(28.0, 240692.0)	(29.0, 285184.0)	(30.0, 339574.0)	(31.0, 407953.0)	(32.0, 497966.0)	(33.0, 617385.0)	(34.0, 776636.0)	(35.0, 992440.0)	(36.0, 1273726.0)	(37.0, 1598093.0)	(38.0, 1814148.0)	(39.0, 1464244.0)	(40.0, 444991.0)
