Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
FZP-1_S50_R1_001	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 1.0)	(14.0, 5.0)	(15.0, 34.0)	(16.0, 171.0)	(17.0, 462.0)	(18.0, 990.0)	(19.0, 2209.0)	(20.0, 4599.0)	(21.0, 9196.0)	(22.0, 15750.0)	(23.0, 25643.0)	(24.0, 39355.0)	(25.0, 56330.0)	(26.0, 78495.0)	(27.0, 103233.0)	(28.0, 132642.0)	(29.0, 166996.0)	(30.0, 204552.0)	(31.0, 247161.0)	(32.0, 297742.0)	(33.0, 358052.0)	(34.0, 433593.0)	(35.0, 538066.0)	(36.0, 695814.0)	(37.0, 980944.0)	(38.0, 1651145.0)	(39.0, 4047414.0)	(40.0, 6833891.0)
FZP-1_S50_R2_001	(2.0, 17.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 119.0)	(12.0, 1341.0)	(13.0, 4562.0)	(14.0, 10691.0)	(15.0, 24748.0)	(16.0, 48148.0)	(17.0, 72188.0)	(18.0, 87740.0)	(19.0, 100559.0)	(20.0, 117019.0)	(21.0, 136010.0)	(22.0, 158716.0)	(23.0, 185395.0)	(24.0, 213745.0)	(25.0, 247673.0)	(26.0, 287195.0)	(27.0, 333466.0)	(28.0, 388765.0)	(29.0, 452742.0)	(30.0, 531274.0)	(31.0, 629768.0)	(32.0, 754799.0)	(33.0, 915726.0)	(34.0, 1122441.0)	(35.0, 1401626.0)	(36.0, 1755188.0)	(37.0, 2161707.0)	(38.0, 2415477.0)	(39.0, 1903103.0)	(40.0, 462551.0)
FZP-2_S51_R1_001	(2.0, 16.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 9.0)	(16.0, 38.0)	(17.0, 135.0)	(18.0, 360.0)	(19.0, 1105.0)	(20.0, 2538.0)	(21.0, 5097.0)	(22.0, 9351.0)	(23.0, 15219.0)	(24.0, 24181.0)	(25.0, 35673.0)	(26.0, 50794.0)	(27.0, 68904.0)	(28.0, 89789.0)	(29.0, 114051.0)	(30.0, 141843.0)	(31.0, 172150.0)	(32.0, 209081.0)	(33.0, 252621.0)	(34.0, 306618.0)	(35.0, 383517.0)	(36.0, 503894.0)	(37.0, 723086.0)	(38.0, 1259796.0)	(39.0, 3255016.0)	(40.0, 5801222.0)
FZP-2_S51_R2_001	(2.0, 18.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 35.0)	(12.0, 396.0)	(13.0, 1429.0)	(14.0, 4005.0)	(15.0, 10535.0)	(16.0, 21998.0)	(17.0, 34011.0)	(18.0, 43486.0)	(19.0, 52784.0)	(20.0, 64313.0)	(21.0, 76124.0)	(22.0, 92105.0)	(23.0, 108495.0)	(24.0, 128545.0)	(25.0, 151123.0)	(26.0, 178523.0)	(27.0, 211258.0)	(28.0, 250147.0)	(29.0, 298670.0)	(30.0, 357995.0)	(31.0, 435083.0)	(32.0, 533168.0)	(33.0, 668269.0)	(34.0, 851110.0)	(35.0, 1104149.0)	(36.0, 1443341.0)	(37.0, 1848732.0)	(38.0, 2133002.0)	(39.0, 1757544.0)	(40.0, 565720.0)
FZP-3_S52_R1_001	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 21.0)	(16.0, 84.0)	(17.0, 237.0)	(18.0, 628.0)	(19.0, 1437.0)	(20.0, 2863.0)	(21.0, 5627.0)	(22.0, 9726.0)	(23.0, 15669.0)	(24.0, 23662.0)	(25.0, 34644.0)	(26.0, 48571.0)	(27.0, 65008.0)	(28.0, 85009.0)	(29.0, 107933.0)	(30.0, 131873.0)	(31.0, 160567.0)	(32.0, 193499.0)	(33.0, 233256.0)	(34.0, 284913.0)	(35.0, 354580.0)	(36.0, 466629.0)	(37.0, 674847.0)	(38.0, 1180952.0)	(39.0, 3049919.0)	(40.0, 5312708.0)
FZP-3_S52_R2_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 15.0)	(12.0, 231.0)	(13.0, 846.0)	(14.0, 2582.0)	(15.0, 7274.0)	(16.0, 15848.0)	(17.0, 25031.0)	(18.0, 33506.0)	(19.0, 41768.0)	(20.0, 51606.0)	(21.0, 63120.0)	(22.0, 75916.0)	(23.0, 91300.0)	(24.0, 108988.0)	(25.0, 130436.0)	(26.0, 155768.0)	(27.0, 184733.0)	(28.0, 220364.0)	(29.0, 265448.0)	(30.0, 321338.0)	(31.0, 392358.0)	(32.0, 486907.0)	(33.0, 613608.0)	(34.0, 784702.0)	(35.0, 1021100.0)	(36.0, 1339536.0)	(37.0, 1718280.0)	(38.0, 2008072.0)	(39.0, 1700759.0)	(40.0, 583431.0)
HFP-1_S53_R1_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 2.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 33.0)	(17.0, 152.0)	(18.0, 378.0)	(19.0, 950.0)	(20.0, 2309.0)	(21.0, 4524.0)	(22.0, 8036.0)	(23.0, 13312.0)	(24.0, 20772.0)	(25.0, 30922.0)	(26.0, 43930.0)	(27.0, 59420.0)	(28.0, 77768.0)	(29.0, 98518.0)	(30.0, 122131.0)	(31.0, 148887.0)	(32.0, 179743.0)	(33.0, 216533.0)	(34.0, 266017.0)	(35.0, 333295.0)	(36.0, 439342.0)	(37.0, 637081.0)	(38.0, 1114707.0)	(39.0, 2835412.0)	(40.0, 5051620.0)
HFP-1_S53_R2_001	(2.0, 10.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 27.0)	(12.0, 192.0)	(13.0, 685.0)	(14.0, 2321.0)	(15.0, 6679.0)	(16.0, 14578.0)	(17.0, 23391.0)	(18.0, 31170.0)	(19.0, 39125.0)	(20.0, 48709.0)	(21.0, 59628.0)	(22.0, 72069.0)	(23.0, 87062.0)	(24.0, 103484.0)	(25.0, 124715.0)	(26.0, 149434.0)	(27.0, 178728.0)	(28.0, 214156.0)	(29.0, 257597.0)	(30.0, 312843.0)	(31.0, 383555.0)	(32.0, 474656.0)	(33.0, 593632.0)	(34.0, 753597.0)	(35.0, 967134.0)	(36.0, 1246081.0)	(37.0, 1588214.0)	(38.0, 1861162.0)	(39.0, 1594214.0)	(40.0, 516968.0)
KTP-10_S22_R1_001	(2.0, 33.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 13.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 42.0)	(16.0, 191.0)	(17.0, 627.0)	(18.0, 1602.0)	(19.0, 3877.0)	(20.0, 8905.0)	(21.0, 17481.0)	(22.0, 30885.0)	(23.0, 50465.0)	(24.0, 76418.0)	(25.0, 110931.0)	(26.0, 154149.0)	(27.0, 204070.0)	(28.0, 261826.0)	(29.0, 327285.0)	(30.0, 402451.0)	(31.0, 487462.0)	(32.0, 586530.0)	(33.0, 706649.0)	(34.0, 855378.0)	(35.0, 1065887.0)	(36.0, 1382920.0)	(37.0, 1958920.0)	(38.0, 3310042.0)	(39.0, 7958925.0)	(40.0, 12805163.0)
KTP-10_S22_R2_001	(2.0, 26.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 3.0)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 112.0)	(12.0, 1513.0)	(13.0, 5882.0)	(14.0, 16513.0)	(15.0, 42367.0)	(16.0, 88608.0)	(17.0, 135113.0)	(18.0, 166105.0)	(19.0, 193774.0)	(20.0, 227111.0)	(21.0, 267824.0)	(22.0, 313514.0)	(23.0, 365075.0)	(24.0, 425330.0)	(25.0, 497132.0)	(26.0, 577562.0)	(27.0, 672001.0)	(28.0, 785467.0)	(29.0, 920914.0)	(30.0, 1085523.0)	(31.0, 1289132.0)	(32.0, 1541090.0)	(33.0, 1863362.0)	(34.0, 2275930.0)	(35.0, 2803188.0)	(36.0, 3455090.0)	(37.0, 4167574.0)	(38.0, 4514539.0)	(39.0, 3352854.0)	(40.0, 718902.0)
KTP-11_S23_R1_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 14.0)	(16.0, 68.0)	(17.0, 261.0)	(18.0, 678.0)	(19.0, 1464.0)	(20.0, 3170.0)	(21.0, 6059.0)	(22.0, 10386.0)	(23.0, 17057.0)	(24.0, 26234.0)	(25.0, 38273.0)	(26.0, 53115.0)	(27.0, 71999.0)	(28.0, 93194.0)	(29.0, 117761.0)	(30.0, 144877.0)	(31.0, 174528.0)	(32.0, 211768.0)	(33.0, 255504.0)	(34.0, 312942.0)	(35.0, 396176.0)	(36.0, 524188.0)	(37.0, 769507.0)	(38.0, 1349769.0)	(39.0, 3244465.0)	(40.0, 4870169.0)
