Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
FZP-1_S50_R1_001	(1, 27.75380924059095)	(2, 0.004218747867360912)	(3, 0.009406540086071023)	(4, 0.008236664299856651)	(5, 0.0)	(6, 1.772611416456558e-05)	(7, 0.0)	(8, 0.00040770419111045325)	(9, 5.9087804832507934e-06)	(10, 0.0)	(15, 5.90898508453985e-06)	(20, 1.4181892533612946e-05)	(25, 0.0003344644258377433)	(30, 0.0011454490493623998)	(35, 0.0008008624519685111)	(40, 0.0002853101532684959)	(45, 0.0005935794888121877)	(50, 0.0007742961105873182)	(55, 0.003442933215794924)	(60, 0.000589210685169466)	(65, 0.001385329955094262)	(70, 0.000640451380609613)	(75, 0.0004850785488170835)	(80, 0.061418319726950665)	(85, 6.692194040835433e-05)	(90, 0.0002094416411511894)	(95, 0.00037280349366021286)	(100, 0.00020533898903354108)	(105, 0.028038429769009058)	(110, 0.009786313664916597)	(115, 0.0003263049108623207)	(120, 0.0005174523154058242)	(125, 0.00031602939885361795)	(130, 0.00043912684067791473)	(135, 0.000814547819150492)	(140, 0.0003964941982986434)	(145, 0.0002506889727232527)	(150, 0.0003429665892861291)
FZP-1_S50_R2_001	(1, 25.68935263205972)	(2, 0.004289654234370281)	(3, 0.00012999006757710924)	(4, 0.00011226462023626504)	(5, 4.136082796341765e-05)	(6, 0.0003781576831271419)	(7, 0.00023044070958485043)	(8, 0.00017135409739258743)	(9, 0.00027771283039776097)	(10, 0.0004679822941026219)	(15, 0.0007705350334093709)	(20, 0.0008863793873253492)	(25, 0.0013355383189167882)	(30, 0.0008547016428074872)	(35, 0.0016266646176607627)	(40, 0.0011034289017604105)	(45, 0.061787472587859285)	(50, 0.0007482643350607685)	(55, 0.0006895896718315152)	(60, 0.0007389508990531651)	(65, 0.06167235216405571)	(70, 0.001106014080737885)	(75, 0.0004553285340196032)	(80, 0.05887183813162624)	(85, 0.05848070496481358)	(90, 0.0005206723126776323)	(95, 0.0004040197301656524)	(100, 0.0007638123575327825)	(105, 1.6747181453043423)	(110, 0.0008440667880627638)	(115, 0.06297095333331167)	(120, 0.00034420764883935667)	(125, 0.0003574056362504137)	(130, 0.05943963586144274)	(135, 0.0002192781214788788)	(140, 0.0005849280781670792)	(145, 0.0008102544814517736)	(150, 0.0004519745411780445)
FZP-2_S51_R1_001	(1, 27.76749309349623)	(2, 0.00444657827236506)	(3, 0.010114708842370828)	(4, 0.007679170655527822)	(5, 0.0)	(6, 7.4483446128581375e-06)	(7, 0.0)	(8, 0.0005064918475295673)	(9, 0.0)	(10, 0.0)	(15, 4.469222542538023e-06)	(20, 8.93865694712865e-06)	(25, 0.0003769244525999176)	(30, 0.0012354266229161713)	(35, 0.0008458891681102231)	(40, 0.0003106850503790746)	(45, 0.0005668519459892697)	(50, 0.0007818610395678303)	(55, 0.003387637909156484)	(60, 0.0005711560140608991)	(65, 0.001409757491889602)	(70, 0.000711027989775327)	(75, 0.00043890072802582587)	(80, 0.05991879728100397)	(85, 7.154877445702663e-05)	(90, 0.00021382924448797467)	(95, 0.0003801322063026533)	(100, 0.00016002121142704085)	(105, 0.028088107418069167)	(110, 0.009429505599661308)	(115, 0.00029473651117304007)	(120, 0.0004922648418712071)	(125, 0.0003642250579744593)	(130, 0.0004427005814451651)	(135, 0.0007525871621764456)	(140, 0.00043331190452937065)	(145, 0.00024913128490860537)	(150, 0.0004017164606517087)
FZP-2_S51_R2_001	(1, 25.686823878214042)	(2, 0.0038581666439000076)	(3, 8.937881722031878e-05)	(4, 6.703433759460686e-05)	(5, 2.9793158760816123e-05)	(6, 0.0003947609119364378)	(7, 0.00023089894097083472)	(8, 0.0002085546743955043)	(9, 0.0002011072069002117)	(10, 0.0004692562520798108)	(15, 0.0008208444678054894)	(20, 0.0008789696223480201)	(25, 0.0013602306402902104)	(30, 0.000862895553780882)	(35, 0.0015948737029361387)	(40, 0.001142718983757452)	(45, 0.06111393994775752)	(50, 0.0007219850514642778)	(55, 0.0006676619480821268)	(60, 0.0006944459997663235)	(65, 0.060998336580166373)	(70, 0.0010658598741500294)	(75, 0.00047222971432826685)	(80, 0.057427858491539724)	(85, 0.05713212359648202)	(90, 0.0005147562359624867)	(95, 0.0003663633387718106)	(100, 0.0008324697933873062)	(105, 1.6211127731686215)	(110, 0.0008784297190342544)	(115, 0.06162361884300084)	(120, 0.00044053672862881077)	(125, 0.00043517784039117947)	(130, 0.058227214022894054)	(135, 0.0002172937757044756)	(140, 0.0005733704935394433)	(145, 0.0008561068748197761)	(150, 0.00034004649295917347)
FZP-3_S52_R1_001	(1, 27.853193900333938)	(2, 0.004604320524027924)	(3, 0.01034972259047128)	(4, 0.00777036303184298)	(5, 0.0)	(6, 2.410682602457225e-05)	(7, 0.0)	(8, 0.0003455340051264389)	(9, 0.0)	(10, 0.0)	(15, 8.035981525149897e-06)	(20, 1.1250623485445083e-05)	(25, 0.0003246701584245718)	(30, 0.001151118758012313)	(35, 0.0007788677223360387)	(40, 0.00029642153797606143)	(45, 0.0005726146326104517)	(50, 0.0007995821238442223)	(55, 0.0034350912090336657)	(60, 0.0005933533722493167)	(65, 0.0012884331651860355)	(70, 0.0006303374577545637)	(75, 0.00045732874541135933)	(80, 0.06000176325426285)	(85, 6.740268646723056e-05)	(90, 0.00022934910163956886)	(95, 0.00037933541032446295)	(100, 0.00014638544315206982)	(105, 0.02786997305679796)	(110, 0.009437485875257461)	(115, 0.00034606796481093154)	(120, 0.000558590118540803)	(125, 0.0003570249693526521)	(130, 0.00042131745969647093)	(135, 0.0008019760968166329)	(140, 0.0003999307159329149)	(145, 0.00025777456928870955)	(150, 0.00041336621891252686)
FZP-3_S52_R2_001	(1, 25.766062150227587)	(2, 0.00347935648779453)	(3, 0.00012053238673089488)	(4, 0.00012053295817048325)	(5, 6.428455429389083e-05)	(6, 0.0003535666964600179)	(7, 0.00027321166093082893)	(8, 0.00020089183115957657)	(9, 0.00024910695157859074)	(10, 0.0004917920706982281)	(15, 0.0007811027019708587)	(20, 0.0008598828318831503)	(25, 0.0013646287990265198)	(30, 0.000811937872700586)	(35, 0.0015272558357266241)	(40, 0.001072989446552688)	(45, 0.06059488419414934)	(50, 0.0006736359284384761)	(55, 0.0006505006783977721)	(60, 0.0006728433687921789)	(65, 0.060231493476343316)	(70, 0.0010864876415207165)	(75, 0.0004916711318627183)	(80, 0.0576899264438691)	(85, 0.05734500502054459)	(90, 0.000529691808309584)	(95, 0.00041249682489266263)	(100, 0.0008301288115368541)	(105, 1.609088774562929)	(110, 0.0008783020483431219)	(115, 0.061607570831529)	(120, 0.00042617210870621574)	(125, 0.0004441489752876706)	(130, 0.058611614258332737)	(135, 0.0003083005310805733)	(140, 0.0006373481288899518)	(145, 0.0009141295468746308)	(150, 0.0003998045400026654)
HFP-1_S53_R1_001	(1, 27.73916829036096)	(2, 0.004689989955391276)	(3, 0.010294091516096712)	(4, 0.007782531301195665)	(5, 0.0)	(6, 1.7085842175683805e-05)	(7, 0.0)	(8, 0.0003844338464101354)	(9, 0.0)	(10, 0.0)	(15, 5.125963636311445e-06)	(20, 6.834763342389281e-06)	(25, 0.0002853584590943946)	(30, 0.0011502692424789952)	(35, 0.0007527413900498879)	(40, 0.000275717734363328)	(45, 0.0005468936909812345)	(50, 0.0008324838565073839)	(55, 0.0032588920011269304)	(60, 0.0005302149989112517)	(65, 0.0012899090621009128)	(70, 0.0005719175522965471)	(75, 0.0004363906510229854)	(80, 0.059858270960858745)	(85, 4.003888715986661e-05)	(90, 0.0001763634122820947)	(95, 0.00035569265239204887)	(100, 0.00017237174943817365)	(105, 0.027745671110961007)	(110, 0.00943763446810092)	(115, 0.0002872212671470873)	(120, 0.00046477260524748723)	(125, 0.0003305193374492443)	(130, 0.00035112000550439735)	(135, 0.0007557075408148563)	(140, 0.0003814752931045044)	(145, 0.000245634526013962)	(150, 0.00034028491299576444)
HFP-1_S53_R2_001	(1, 25.648762973892637)	(2, 0.003587971377214622)	(3, 7.688538993920501e-05)	(4, 5.1257110535873444e-05)	(5, 7.688605333124203e-05)	(6, 0.0004015176684432827)	(7, 0.00014523042772240417)	(8, 0.00014523102326020068)	(9, 0.00013668846562925818)	(10, 0.0004374084336275845)	(15, 0.0007671902691841694)	(20, 0.0007877167852980676)	(25, 0.0012645044426740242)	(30, 0.0007486562901537442)	(35, 0.0015141265440241274)	(40, 0.0010464238849077587)	(45, 0.060498421196262926)	(50, 0.000648868857647322)	(55, 0.0005930389194769005)	(60, 0.0006714290497910263)	(65, 0.0607427328393674)	(70, 0.0010540742145661028)	(75, 0.00047279853226709707)	(80, 0.05688429487190616)	(85, 0.05649825022036006)	(90, 0.000562318600952718)	(95, 0.0003925234447331808)	(100, 0.0008144340367709755)	(105, 1.5999905175383762)	(110, 0.0009246611148072906)	(115, 0.061436956095341395)	(120, 0.0003768596611051812)	(125, 0.00043348052586028325)	(130, 0.057747564803639725)	(135, 0.0002714581774015506)	(140, 0.0006239824179900093)	(145, 0.0008733591062979987)	(150, 0.0004109326409134079)
KTP-10_S22_R1_001	(1, 27.75820464947913)	(2, 0.004394393254679594)	(3, 0.00930760483498639)	(4, 0.007656683001025459)	(5, 0.0)	(6, 1.5258570670482041e-05)	(7, 0.0)	(8, 0.0003173807785045323)	(9, 0.0)	(10, 0.0)	(15, 1.0376286635127965e-05)	(20, 1.1597284467764236e-05)	(25, 0.00032106937637175136)	(30, 0.0011075394895983023)	(35, 0.0007620505150147601)	(40, 0.0002440576444093211)	(45, 0.0005234581398147875)	(50, 0.0007555767446591815)	(55, 0.0032325295471755454)	(60, 0.0006152247155244202)	(65, 0.0012999575611490665)	(70, 0.0006270037584906554)	(75, 0.0004429240929502883)	(80, 0.06241974641479966)	(85, 6.484630249810745e-05)	(90, 0.00019171320417087044)	(95, 0.0003802710122138652)	(100, 0.00015631620759015677)	(105, 0.027741965669379618)	(110, 0.00944602196642374)	(115, 0.00029251908328386286)	(120, 0.00047505616054547954)	(125, 0.0003257916043678981)	(130, 0.00038819038419252573)	(135, 0.0007257013730534557)	(140, 0.00039703295502499194)	(145, 0.00025499654441528223)	(150, 0.000352519789121067)
KTP-10_S22_R2_001	(1, 25.70838538816392)	(2, 0.0033720891660939454)	(3, 7.934359895057714e-05)	(4, 8.544734124494335e-05)	(5, 3.356876532585795e-05)	(6, 0.0002807581630054429)	(7, 0.00020446600757201714)	(8, 0.0001495354802376198)	(9, 0.00021667492371059042)	(10, 0.0004254208319938732)	(15, 0.0007562549517456239)	(20, 0.0008508908152348887)	(25, 0.00129410065354952)	(30, 0.0007992693908417491)	(35, 0.0014881593091958375)	(40, 0.001044208247570263)	(45, 0.06278713568455786)	(50, 0.0006649426165246821)	(55, 0.0006140560723002011)	(60, 0.0007043272212652194)	(65, 0.062138717317631514)	(70, 0.0010363073670666108)	(75, 0.00044051373389360107)	(80, 0.059503120781724476)	(85, 0.0591069575771106)	(90, 0.0005034720957270917)	(95, 0.0003648406407052591)	(100, 0.0007823170974266321)	(105, 1.69788586077263)	(110, 0.0008448261755513431)	(115, 0.06338784402630424)	(120, 0.0003463505780431726)	(125, 0.0003390078888388997)	(130, 0.06007126854747614)	(135, 0.00022555980020316131)	(140, 0.0005608535064867893)	(145, 0.0008055922164303159)	(150, 0.0003747717201661537)
