Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
FZP-1_S50_R1_001	(0, 243.0)	(5, 343.0)	(10, 386.0)	(15, 370.0)	(20, 418.0)	(25, 432.0)	(30, 10405.0)	(35, 12812.0)	(40, 13146.0)	(45, 13381.0)	(50, 14554.0)	(55, 15472.0)	(60, 16409.0)	(65, 17921.0)	(70, 19198.0)	(75, 20922.0)	(80, 22677.0)	(85, 24065.0)	(90, 25946.0)	(95, 28008.0)	(100, 30686.0)	(105, 33380.0)	(110, 37594.0)	(115, 43370.0)	(120, 47281.0)	(125, 54095.0)	(130, 63921.0)	(135, 74524.0)	(140, 109918.0)	(145, 126085.0)	(150, 16046540.0)
FZP-1_S50_R2_001	(0, 276.0)	(5, 352.0)	(10, 400.0)	(15, 443.0)	(20, 672.0)	(25, 898.0)	(30, 10539.0)	(35, 12888.0)	(40, 13237.0)	(45, 13409.0)	(50, 14666.0)	(55, 15542.0)	(60, 16515.0)	(65, 18011.0)	(70, 19304.0)	(75, 20983.0)	(80, 22752.0)	(85, 24159.0)	(90, 26061.0)	(95, 28065.0)	(100, 30717.0)	(105, 33337.0)	(110, 37682.0)	(115, 43530.0)	(120, 47255.0)	(125, 54003.0)	(130, 63624.0)	(135, 74211.0)	(140, 107897.0)	(145, 122354.0)	(150, 16050720.0)
FZP-2_S51_R1_001	(0, 254.0)	(5, 280.0)	(10, 303.0)	(15, 315.0)	(20, 334.0)	(25, 511.0)	(30, 11970.0)	(35, 15573.0)	(40, 17271.0)	(45, 18358.0)	(50, 21037.0)	(55, 23198.0)	(60, 26370.0)	(65, 29250.0)	(70, 32138.0)	(75, 35824.0)	(80, 38618.0)	(85, 42060.0)	(90, 45271.0)	(95, 48486.0)	(100, 51698.0)	(105, 55706.0)	(110, 60462.0)	(115, 65761.0)	(120, 70237.0)	(125, 77393.0)	(130, 84368.0)	(135, 92133.0)	(140, 120024.0)	(145, 132208.0)	(150, 12208702.0)
FZP-2_S51_R2_001	(0, 212.0)	(5, 289.0)	(10, 290.0)	(15, 329.0)	(20, 503.0)	(25, 828.0)	(30, 12058.0)	(35, 15624.0)	(40, 17366.0)	(45, 18326.0)	(50, 21078.0)	(55, 23276.0)	(60, 26385.0)	(65, 29322.0)	(70, 32209.0)	(75, 35841.0)	(80, 38652.0)	(85, 42030.0)	(90, 45297.0)	(95, 48372.0)	(100, 51567.0)	(105, 55587.0)	(110, 60292.0)	(115, 65608.0)	(120, 70039.0)	(125, 77126.0)	(130, 83955.0)	(135, 91559.0)	(140, 117640.0)	(145, 129200.0)	(150, 12215253.0)
FZP-3_S52_R1_001	(0, 210.0)	(5, 254.0)	(10, 281.0)	(15, 254.0)	(20, 310.0)	(25, 542.0)	(30, 9598.0)	(35, 13116.0)	(40, 14430.0)	(45, 16824.0)	(50, 19577.0)	(55, 22784.0)	(60, 25785.0)	(65, 28992.0)	(70, 32702.0)	(75, 36403.0)	(80, 40136.0)	(85, 43174.0)	(90, 46376.0)	(95, 49120.0)	(100, 53271.0)	(105, 56799.0)	(110, 60725.0)	(115, 66058.0)	(120, 69616.0)	(125, 75251.0)	(130, 81421.0)	(135, 87110.0)	(140, 111572.0)	(145, 122916.0)	(150, 11259271.0)
FZP-3_S52_R2_001	(0, 209.0)	(5, 263.0)	(10, 334.0)	(15, 332.0)	(20, 507.0)	(25, 823.0)	(30, 9717.0)	(35, 13208.0)	(40, 14460.0)	(45, 16837.0)	(50, 19629.0)	(55, 22820.0)	(60, 25810.0)	(65, 29027.0)	(70, 32753.0)	(75, 36373.0)	(80, 40145.0)	(85, 43180.0)	(90, 46274.0)	(95, 49052.0)	(100, 53149.0)	(105, 56675.0)	(110, 60606.0)	(115, 66022.0)	(120, 69342.0)	(125, 74950.0)	(130, 80980.0)	(135, 86656.0)	(140, 108873.0)	(145, 120200.0)	(150, 11265672.0)
HFP-1_S53_R1_001	(0, 163.0)	(5, 211.0)	(10, 236.0)	(15, 236.0)	(20, 256.0)	(25, 379.0)	(30, 9056.0)	(35, 11747.0)	(40, 12432.0)	(45, 13270.0)	(50, 15337.0)	(55, 17073.0)	(60, 19215.0)	(65, 21604.0)	(70, 24484.0)	(75, 27700.0)	(80, 30497.0)	(85, 33515.0)	(90, 37745.0)	(95, 41732.0)	(100, 46293.0)	(105, 50690.0)	(110, 56268.0)	(115, 63481.0)	(120, 68899.0)	(125, 76592.0)	(130, 85413.0)	(135, 95983.0)	(140, 120219.0)	(145, 134388.0)	(150, 10590702.0)
HFP-1_S53_R2_001	(0, 182.0)	(5, 223.0)	(10, 253.0)	(15, 290.0)	(20, 426.0)	(25, 677.0)	(30, 9166.0)	(35, 11773.0)	(40, 12500.0)	(45, 13307.0)	(50, 15397.0)	(55, 17088.0)	(60, 19257.0)	(65, 21610.0)	(70, 24565.0)	(75, 27700.0)	(80, 30499.0)	(85, 33537.0)	(90, 37757.0)	(95, 41607.0)	(100, 46274.0)	(105, 50621.0)	(110, 56142.0)	(115, 63375.0)	(120, 68709.0)	(125, 76334.0)	(130, 85067.0)	(135, 95413.0)	(140, 117913.0)	(145, 131147.0)	(150, 10597007.0)
KTP-10_S22_R1_001	(0, 539.0)	(5, 616.0)	(10, 673.0)	(15, 705.0)	(20, 757.0)	(25, 849.0)	(30, 25172.0)	(35, 30659.0)	(40, 29818.0)	(45, 29875.0)	(50, 30803.0)	(55, 31857.0)	(60, 33531.0)	(65, 34944.0)	(70, 36836.0)	(75, 39037.0)	(80, 41065.0)	(85, 43386.0)	(90, 45938.0)	(95, 48917.0)	(100, 52826.0)	(105, 56328.0)	(110, 61058.0)	(115, 68599.0)	(120, 71235.0)	(125, 78794.0)	(130, 87658.0)	(135, 97402.0)	(140, 153246.0)	(145, 177861.0)	(150, 31358149.0)
KTP-10_S22_R2_001	(0, 576.0)	(5, 726.0)	(10, 749.0)	(15, 893.0)	(20, 1393.0)	(25, 1937.0)	(30, 25485.0)	(35, 30765.0)	(40, 29890.0)	(45, 30093.0)	(50, 31035.0)	(55, 32055.0)	(60, 33764.0)	(65, 35137.0)	(70, 37016.0)	(75, 39187.0)	(80, 41262.0)	(85, 43630.0)	(90, 46099.0)	(95, 49003.0)	(100, 52898.0)	(105, 56450.0)	(110, 61268.0)	(115, 68976.0)	(120, 71308.0)	(125, 78757.0)	(130, 87538.0)	(135, 97112.0)	(140, 149555.0)	(145, 169758.0)	(150, 31364818.0)
