Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
FZP-1_S50_R1_001	(1, 21.190551662908604)	(2, 31.62188172344477)	(3, 34.18839816726093)	(4, 36.05051172788141)	(5, 36.35804947206256)	(6, 39.92504500808104)	(7, 40.09280365575566)	(8, 40.148970088988825)	(9, 40.18223358520101)	(10, 40.21377135736329)	(15, 40.180821831889446)	(20, 40.13134262101566)	(25, 40.00760833406646)	(30, 39.93111408717552)	(35, 39.87646662437961)	(40, 39.809292349752475)	(45, 39.75778116613704)	(50, 39.68446275561543)	(55, 39.60701907916528)	(60, 39.53785981869096)	(65, 39.43660741996423)	(70, 39.33844600788312)	(75, 38.9350674225329)	(80, 39.20220569645379)	(85, 39.186756911897895)	(90, 39.0357223257091)	(95, 38.881793882986514)	(100, 38.6872041744549)	(105, 38.38356136623268)	(110, 38.09613714567763)	(115, 37.73337004450243)	(120, 37.32590995729998)	(125, 36.80738604444955)	(130, 36.24048059576563)	(135, 35.54645982810546)	(140, 34.89925970501127)	(145, 34.25651154004589)	(150, 31.63491130972435)
FZP-1_S50_R2_001	(1, 21.052864893749902)	(2, 30.9767100136424)	(3, 33.036988023778726)	(4, 35.02705654160329)	(5, 35.46613824466773)	(6, 38.72134239832448)	(7, 38.903106003967245)	(8, 38.91643302929405)	(9, 39.032711321589865)	(10, 39.04606671522033)	(15, 38.99061833940844)	(20, 38.875434483928395)	(25, 38.713724703333796)	(30, 38.66374606118675)	(35, 38.38860203471485)	(40, 38.19762900530708)	(45, 37.97742343473489)	(50, 37.83778876533464)	(55, 37.61961449917445)	(60, 37.41667965763373)	(65, 37.071511840704936)	(70, 36.69303852005574)	(75, 35.42508495014477)	(80, 35.91897462972294)	(85, 35.38396762837626)	(90, 34.67878156830181)	(95, 33.772748859581455)	(100, 33.280145808963)	(105, 32.175923259014766)	(110, 31.973332021135867)	(115, 31.17761347309271)	(120, 30.5298514975462)	(125, 29.64489110701295)	(130, 28.615661968860042)	(135, 27.68968992369353)	(140, 26.377267299304457)	(145, 25.361168716239114)	(150, 22.1195046626582)
FZP-2_S51_R1_001	(1, 21.223218365583545)	(2, 31.663289749914608)	(3, 34.26770431562897)	(4, 36.12611671043397)	(5, 36.412465526414366)	(6, 39.98968039302233)	(7, 40.14390139425368)	(8, 40.200404523121165)	(9, 40.2311716470661)	(10, 40.25684427186169)	(15, 40.228503881110115)	(20, 40.183573866554994)	(25, 40.07771111530966)	(30, 40.02018287766678)	(35, 39.97539501704386)	(40, 39.917467327697665)	(45, 39.87205484328618)	(50, 39.806357041856714)	(55, 39.73454461461529)	(60, 39.675741201416336)	(65, 39.58527080270108)	(70, 39.499333276141655)	(75, 39.13412361560451)	(80, 39.38736695297871)	(85, 39.3786033843719)	(90, 39.24495383451538)	(95, 39.108766075346196)	(100, 38.92747081192944)	(105, 38.63990261837192)	(110, 38.3777518533138)	(115, 38.04202791460694)	(120, 37.650682973435934)	(125, 37.15204659072428)	(130, 36.59773607218374)	(135, 35.912145789812556)	(140, 35.27221583034762)	(145, 34.63695516451792)	(150, 31.965460826645298)
FZP-2_S51_R2_001	(1, 21.165292814085507)	(2, 31.246271618208937)	(3, 33.40171607329063)	(4, 35.378819607245816)	(5, 35.77622358454751)	(6, 39.12008872735637)	(7, 39.285400997349356)	(8, 39.30947390891643)	(9, 39.3976606017947)	(10, 39.41888861394763)	(15, 39.37803641060377)	(20, 39.29816967419414)	(25, 39.17229767345703)	(30, 39.12978433969319)	(35, 38.860903177124584)	(40, 38.689660027367836)	(45, 38.50678505139792)	(50, 38.40044537154001)	(55, 38.214766943883525)	(60, 38.02762663477472)	(65, 37.70475536970645)	(70, 37.36099688361046)	(75, 36.161618541172665)	(80, 36.66903910292258)	(85, 36.17589916190454)	(90, 35.50830453442257)	(95, 34.63634523776368)	(100, 34.155727190437844)	(105, 33.067442878603515)	(110, 32.8740751008212)	(115, 32.08255010185073)	(120, 31.432254577954204)	(125, 30.526758265548125)	(130, 29.488438202997646)	(135, 28.5436702972187)	(140, 27.19263597612967)	(145, 26.135975693625756)	(150, 22.653306417237616)
FZP-3_S52_R1_001	(1, 21.200369260349518)	(2, 31.660593677713475)	(3, 34.25909373393402)	(4, 36.11789263897519)	(5, 36.40269672119819)	(6, 39.974129036446946)	(7, 40.13039514942997)	(8, 40.18942310767498)	(9, 40.21755462128894)	(10, 40.241691184546994)	(15, 40.21087028115536)	(20, 40.16546739048179)	(25, 40.05594871539514)	(30, 39.99672778483027)	(35, 39.95139135556972)	(40, 39.89165113471754)	(45, 39.84548192520944)	(50, 39.77749525148507)	(55, 39.70512420811115)	(60, 39.64513134427857)	(65, 39.551706081224026)	(70, 39.463755961611284)	(75, 39.10297304863167)	(80, 39.352157859234445)	(85, 39.344065760527094)	(90, 39.21136213064004)	(95, 39.073927551222106)	(100, 38.89331061068587)	(105, 38.6039985290033)	(110, 38.34165789107266)	(115, 38.00550058926345)	(120, 37.61950440750236)	(125, 37.121343008294694)	(130, 36.57289814167746)	(135, 35.88796292768042)	(140, 35.24951608448781)	(145, 34.62661122312261)	(150, 31.92141741633959)
FZP-3_S52_R2_001	(1, 21.196358694717617)	(2, 31.36486790096771)	(3, 33.535519126561255)	(4, 35.54942602607096)	(5, 35.83479930241616)	(6, 39.31396272651672)	(7, 39.436434333898724)	(8, 39.44820494309619)	(9, 39.549049881979556)	(10, 39.57271184461713)	(15, 39.51132347242717)	(20, 39.44579089985288)	(25, 39.31677094855727)	(30, 39.281334917949366)	(35, 38.98483455635124)	(40, 38.8122615910939)	(45, 38.63664499554572)	(50, 38.53976643882486)	(55, 38.36360195623483)	(60, 38.18802135360836)	(65, 37.87387671064498)	(70, 37.540557666937865)	(75, 36.346150950025056)	(80, 36.84092584916071)	(85, 36.360721077398445)	(90, 35.69927780338526)	(95, 34.82735421396109)	(100, 34.3482102572839)	(105, 33.268004176132386)	(110, 33.08086664445034)	(115, 32.30587326535513)	(120, 31.656378817479048)	(125, 30.76126779143085)	(130, 29.731955604564583)	(135, 28.79156450168846)	(140, 27.438338631209046)	(145, 26.384696056056498)	(150, 22.81205710960967)
HFP-1_S53_R1_001	(1, 21.219220684828805)	(2, 31.66671171562908)	(3, 34.27529963067704)	(4, 36.13456586076035)	(5, 36.414185009584685)	(6, 39.990743574142904)	(7, 40.14366042399331)	(8, 40.19951920140276)	(9, 40.23009025180702)	(10, 40.25322396903651)	(15, 40.22323652755104)	(20, 40.17837182880109)	(25, 40.07235898023839)	(30, 40.01359895495479)	(35, 39.970656848273144)	(40, 39.91295887735593)	(45, 39.867713048486266)	(50, 39.800194028784574)	(55, 39.726917214341086)	(60, 39.67007006549668)	(65, 39.580094358298716)	(70, 39.49248056257617)	(75, 39.1390452319871)	(80, 39.385413882196005)	(85, 39.37668316769835)	(90, 39.24563401560109)	(95, 39.115232909281644)	(100, 38.93457652313158)	(105, 38.651448422034306)	(110, 38.39156532695292)	(115, 38.06072687412079)	(120, 37.67606184933874)	(125, 37.181601149247896)	(130, 36.63848864079659)	(135, 35.95072506304274)	(140, 35.30629961215809)	(145, 34.68091496573533)	(150, 31.94548569019944)
HFP-1_S53_R2_001	(1, 21.17132363946264)	(2, 31.25957298527505)	(3, 33.374584765501695)	(4, 35.42722682031726)	(5, 35.84412335119995)	(6, 39.234439075972865)	(7, 39.394668556826446)	(8, 39.37826667286319)	(9, 39.49594949361195)	(10, 39.544511370678)	(15, 39.509022832567936)	(20, 39.43574408931127)	(25, 39.32363805558351)	(30, 39.276984743984656)	(35, 39.00243123487092)	(40, 38.822047654642674)	(45, 38.63796792334815)	(50, 38.53017598448191)	(55, 38.3459565956178)	(60, 38.16924390602779)	(65, 37.850538073012935)	(70, 37.51138934201841)	(75, 36.306324769468254)	(80, 36.80126947469116)	(85, 36.31981501229727)	(90, 35.64541004406347)	(95, 34.756159307535796)	(100, 34.27515272690693)	(105, 33.19613992699907)	(110, 33.0000357347699)	(115, 32.21913683394997)	(120, 31.572846702151992)	(125, 30.668658321151526)	(130, 29.62812991376895)	(135, 28.677284543983994)	(140, 27.31685976772734)	(145, 26.252619969023094)	(150, 22.666532325316034)
KTP-10_S22_R1_001	(1, 21.201793468261734)	(2, 31.615855568988632)	(3, 34.184766758899436)	(4, 36.04126427247367)	(5, 36.35413481579344)	(6, 39.9115320279382)	(7, 40.08077044406575)	(8, 40.135926832744296)	(9, 40.17027652478892)	(10, 40.20128241369258)	(15, 40.167804499305085)	(20, 40.1168018593444)	(25, 39.992830632059196)	(30, 39.917791846051244)	(35, 39.861826868281824)	(40, 39.7916574238343)	(45, 39.73834285995664)	(50, 39.662441253568936)	(55, 39.58243165923816)	(60, 39.51231369183167)	(65, 39.40768639207282)	(70, 39.3087604416572)	(75, 38.90423199768823)	(80, 39.172450738779794)	(85, 39.157675653997984)	(90, 39.00438216769495)	(95, 38.84899717170282)	(100, 38.65027287762364)	(105, 38.34212206879437)	(110, 38.04868569858372)	(115, 37.68172464824926)	(120, 37.26370798756484)	(125, 36.735140798266414)	(130, 36.157124291934075)	(135, 35.45117930628507)	(140, 34.78751871764363)	(145, 34.13671461086305)	(150, 31.485658015760038)
KTP-10_S22_R2_001	(1, 20.9938571154751)	(2, 31.011267843577663)	(3, 32.982362558805434)	(4, 34.97744342775671)	(5, 35.450889216757396)	(6, 38.72789974736343)	(7, 38.84675675561029)	(8, 38.85569954330339)	(9, 38.97610701202167)	(10, 39.02266769666444)	(15, 38.95245660774296)	(20, 38.85356213754558)	(25, 38.700045610005205)	(30, 38.63400525527369)	(35, 38.30361636609989)	(40, 38.10407335275039)	(45, 37.88700175075668)	(50, 37.74966485976993)	(55, 37.534815709639076)	(60, 37.32242846288729)	(65, 36.969221455054246)	(70, 36.583409212239324)	(75, 35.29102715180813)	(80, 35.78325341171038)	(85, 35.23474082383218)	(90, 34.50653688867237)	(95, 33.5727100001719)	(100, 33.071848344079626)	(105, 31.956574330254476)	(110, 31.75031160910425)	(115, 30.948616427529952)	(120, 30.302240008846393)	(125, 29.414769307152703)	(130, 28.385744734328362)	(135, 27.46861276259611)	(140, 26.16415893379112)	(145, 25.163731544073034)	(150, 21.941148187496076)
