Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
FZP-1_S50_R1_001 - polya	(1, 0.005341368390041846)	(2, 0.01591184189644103)	(3, 0.024733371770702617)	(4, 0.033590353205075106)	(5, 0.042081001851634985)	(6, 0.05071345673863845)	(7, 0.05818782732868595)	(8, 0.06459865111540652)	(9, 0.07100356630877529)	(10, 0.09041329546949149)	(15, 0.11887853480120122)	(20, 0.14475935540082657)	(25, 0.16914766531978312)	(30, 0.19296165996494313)	(35, 0.2166267580576374)	(40, 0.24031430880506854)	(45, 0.26436937405898264)	(50, 0.2888203150674684)	(55, 0.31283283844924953)	(60, 0.337260145084328)	(65, 0.3616732710953622)	(70, 0.3859623166460082)	(75, 0.4102336364165988)	(80, 0.43511590473976725)	(85, 0.46019315664354554)	(90, 0.4856651025832252)	(95, 0.5117267261394162)	(100, 0.536812250073887)	(105, 0.5622901046069183)	(110, 0.5874158069761817)	(115, 0.6132729932023996)	(120, 0.6388690196024674)	(125, 0.6641412550868557)	(130, 0.6888119957680291)	(135, 0.7134035612982881)	(140, 0.7292504086678592)
FZP-1_S50_R2_001 - polya	(1, 0.009306034529110517)	(2, 0.02325031483939675)	(3, 0.03377942819233322)	(4, 0.04400129469097525)	(5, 0.054678122877707125)	(6, 0.06566219791873344)	(7, 0.07686489091377696)	(8, 0.08627728012322017)	(9, 0.09596146462684692)	(10, 0.12529290374393293)	(15, 0.16847172224033533)	(20, 0.20843153907866832)	(25, 0.24712691693971262)	(30, 0.28504117875964685)	(35, 0.3229436233928774)	(40, 0.3597328890386258)	(45, 0.39711892261290765)	(50, 0.4337888346729494)	(55, 0.4693219333721016)	(60, 0.5051681875189001)	(65, 0.5410073513536764)	(70, 0.5772837510964872)	(75, 0.613124096649934)	(80, 0.6483345861520771)	(85, 0.6833725447283472)	(90, 0.7180808037955858)	(95, 0.7514619927960066)	(100, 0.7834877504815208)	(105, 0.8163808896710817)	(110, 0.8515098405849697)	(115, 0.8855362479794089)	(120, 0.9182982163965592)	(125, 0.9508994710745403)	(130, 0.9821346589695816)	(135, 1.012973971110051)	(140, 1.0330998217850074)
FZP-2_S51_R1_001 - polya	(1, 0.0037985677611978986)	(2, 0.010762608656727379)	(3, 0.016832868902563237)	(4, 0.022106174735755612)	(5, 0.02776678551714856)	(6, 0.0331294694153103)	(7, 0.03787395503076728)	(8, 0.04222368752594292)	(9, 0.04639466389117982)	(10, 0.05836089715616129)	(15, 0.07623055161236912)	(20, 0.09199386300413233)	(25, 0.10730283589896791)	(30, 0.12227664105016842)	(35, 0.13692421626423074)	(40, 0.15197548240507136)	(45, 0.16699099731992423)	(50, 0.18181285976067682)	(55, 0.1965498130397085)	(60, 0.2114133852441135)	(65, 0.22610564949066045)	(70, 0.2409126155872515)	(75, 0.2554588956610152)	(80, 0.2706382703616453)	(85, 0.28538565108159003)	(90, 0.301232382000658)	(95, 0.31718040806002457)	(100, 0.3328677480965637)	(105, 0.34820651367972244)	(110, 0.3633933365524333)	(115, 0.3782986185204906)	(120, 0.3933662706399089)	(125, 0.4083207105436994)	(130, 0.423571587696305)	(135, 0.43816553607138575)	(140, 0.44749362678535476)
FZP-2_S51_R2_001 - polya	(1, 0.00731410498332615)	(2, 0.017518100733995012)	(3, 0.024973720986855987)	(4, 0.03206438080775873)	(5, 0.03968386084639687)	(6, 0.04739271895000437)	(7, 0.05476640930997676)	(8, 0.06161127945221376)	(9, 0.0682848416365928)	(10, 0.08790481653178399)	(15, 0.11670242906491253)	(20, 0.14265781913201536)	(25, 0.1685759683387143)	(30, 0.19392805646727387)	(35, 0.21917735982111877)	(40, 0.24331539590051116)	(45, 0.2677424210566379)	(50, 0.29185960225420415)	(55, 0.31636259876555484)	(60, 0.34079260319051385)	(65, 0.36519281492714983)	(70, 0.389061227177218)	(75, 0.4126436296193843)	(80, 0.436717611418882)	(85, 0.46046685291565775)	(90, 0.48353235221541785)	(95, 0.5058753788233423)	(100, 0.526417437422134)	(105, 0.5475568394218043)	(110, 0.5695930013400006)	(115, 0.5907607063935779)	(120, 0.6123246542018528)	(125, 0.6329218292740423)	(130, 0.6532449116136592)	(135, 0.6728023218633717)	(140, 0.6857010662728669)
FZP-3_S52_R1_001 - polya	(1, 0.003985575431113105)	(2, 0.011233537203016373)	(3, 0.01689851841054609)	(4, 0.022258153113272786)	(5, 0.027995453229834797)	(6, 0.033170272942812294)	(7, 0.03752547835342379)	(8, 0.04139855770382)	(9, 0.04567340877106228)	(10, 0.057321574385863806)	(15, 0.07458168734157136)	(20, 0.08977990784642484)	(25, 0.10396566362482622)	(30, 0.11805820836491927)	(35, 0.13187594125068963)	(40, 0.14632525927534204)	(45, 0.16088225212010918)	(50, 0.17519336067416652)	(55, 0.18951411174942817)	(60, 0.20311970916870375)	(65, 0.21736814133493315)	(70, 0.231748354624288)	(75, 0.24652712545675418)	(80, 0.26120786399030993)	(85, 0.27575521431387273)	(90, 0.29077504817644656)	(95, 0.3055136418372281)	(100, 0.3204691922251066)	(105, 0.33503743467794544)	(110, 0.3498274551184833)	(115, 0.3648071118093724)	(120, 0.37965659446400357)	(125, 0.3935434320850715)	(130, 0.40725027597699226)	(135, 0.4209490844345762)	(140, 0.4297832409445878)
FZP-3_S52_R2_001 - polya	(1, 0.006524772681580326)	(2, 0.016006585199147792)	(3, 0.023616141516212535)	(4, 0.030663217429692764)	(5, 0.038296880049768264)	(6, 0.046147499396940656)	(7, 0.053379390300170075)	(8, 0.06013719057752113)	(9, 0.06703962867293677)	(10, 0.08641627503298947)	(15, 0.11483278502207897)	(20, 0.14039832290842869)	(25, 0.16496425276326535)	(30, 0.1890464494710193)	(35, 0.21328774777864434)	(40, 0.23733780274905064)	(45, 0.2613332167659659)	(50, 0.2847275802944794)	(55, 0.308009447742276)	(60, 0.3311145356346603)	(65, 0.3536908919476752)	(70, 0.3768811554440309)	(75, 0.3992405550299489)	(80, 0.4221785058881252)	(85, 0.44416506132081)	(90, 0.46503790555439756)	(95, 0.48514416935224275)	(100, 0.5048293763908333)	(105, 0.5249597464916891)	(110, 0.5461652577068253)	(115, 0.5665816892700756)	(120, 0.586705631023462)	(125, 0.6060067443007476)	(130, 0.6248964433399828)	(135, 0.64386488963572)	(140, 0.6564869498921564)
HFP-1_S53_R1_001 - polya	(1, 0.003263335080612919)	(2, 0.00912366980653036)	(3, 0.014727721672713804)	(4, 0.01946041181580165)	(5, 0.024765467012295428)	(6, 0.02962629858525027)	(7, 0.03369265329302972)	(8, 0.03674241932386431)	(9, 0.04039872145606936)	(10, 0.05038691877610241)	(15, 0.06533504370818746)	(20, 0.07882748199698338)	(25, 0.09071217247904802)	(30, 0.10262249124708607)	(35, 0.11511713493531761)	(40, 0.12781680491133635)	(45, 0.13986380787123256)	(50, 0.1519466904314915)	(55, 0.16418334270759083)	(60, 0.17660622719509683)	(65, 0.18955705437365494)	(70, 0.20193722505120532)	(75, 0.21424905363282662)	(80, 0.2269709347900223)	(85, 0.239896133682607)	(90, 0.2526675628593513)	(95, 0.2656098472759182)	(100, 0.27864097641719293)	(105, 0.29082978922614194)	(110, 0.30332785001916995)	(115, 0.3160087259188082)	(120, 0.32830346897644724)	(125, 0.340603337691281)	(130, 0.35279215050022994)	(135, 0.3646238758579496)	(140, 0.37195185709394374)
HFP-1_S53_R2_001 - polya	(1, 0.006099532061669174)	(2, 0.01441163947904187)	(3, 0.020750368876462776)	(4, 0.027456437039502415)	(5, 0.03399164996271939)	(6, 0.04017660964429989)	(7, 0.0467459936154814)	(8, 0.05211939090790424)	(9, 0.05768927172612315)	(10, 0.07399740436719662)	(15, 0.09777874519811348)	(20, 0.11977977443007817)	(25, 0.14154160632629115)	(30, 0.16306253233435414)	(35, 0.18370013675253397)	(40, 0.20394477411912165)	(45, 0.22534268435451232)	(50, 0.24610501309776273)	(55, 0.2662693485016337)	(60, 0.28692403844379577)	(65, 0.3069380212366229)	(70, 0.3270271803349719)	(75, 0.3471795558720554)	(80, 0.3669509242243343)	(85, 0.3871374708093823)	(90, 0.4065124550052726)	(95, 0.4254483412348186)	(100, 0.4433505532634376)	(105, 0.46112804096698595)	(110, 0.4799272430046739)	(115, 0.49903911013123736)	(120, 0.5175786122043948)	(125, 0.5350810229718287)	(130, 0.5520315713146354)	(135, 0.5692571965935566)	(140, 0.5798997694821104)
KTP-10_S22_R1_001 - polya	(1, 0.005059639508924451)	(2, 0.014635724417853838)	(3, 0.02330852024678224)	(4, 0.03144727692368303)	(5, 0.039793545956800264)	(6, 0.04765460227464669)	(7, 0.05500908431114122)	(8, 0.060706519150201504)	(9, 0.06670911921899185)	(10, 0.08457166077601139)	(15, 0.1113395340670136)	(20, 0.13527852567841814)	(25, 0.15832521415809203)	(30, 0.1804972990893595)	(35, 0.20205356058703167)	(40, 0.22411761702697475)	(45, 0.2468365580499185)	(50, 0.26966291723372726)	(55, 0.29169584682023786)	(60, 0.3142823461334787)	(65, 0.3373876263372607)	(70, 0.3603482582221507)	(75, 0.38307879552382423)	(80, 0.406133418299471)	(85, 0.4293204827848207)	(90, 0.4524867960345487)	(95, 0.4759826877323852)	(100, 0.5001993797028441)	(105, 0.52427264401533)	(110, 0.5478179724803827)	(115, 0.5715604376838411)	(120, 0.595332809079813)	(125, 0.6193621295992177)	(130, 0.6432693840267303)	(135, 0.6669532575060805)	(140, 0.6816048505158803)
KTP-10_S22_R2_001 - polya	(1, 0.007980070757441157)	(2, 0.02109912398353658)	(3, 0.031279436047331494)	(4, 0.04127359732099107)	(5, 0.051661421741002425)	(6, 0.0625954919222306)	(7, 0.0727697006814309)	(8, 0.08149742625171072)	(9, 0.09089956697969397)	(10, 0.11838396823010237)	(15, 0.15868286780733565)	(20, 0.19584833080570058)	(25, 0.23189749939371299)	(30, 0.2665966170053996)	(35, 0.3011120251487886)	(40, 0.3357317998007454)	(45, 0.37032838189524264)	(50, 0.40440618309919885)	(55, 0.4379444521769923)	(60, 0.47209183105332697)	(65, 0.505650851366742)	(70, 0.5392208576284274)	(75, 0.57279391554241)	(80, 0.6069077262434742)	(85, 0.6408158555797006)	(90, 0.6747941729187648)	(95, 0.7072228612212597)	(100, 0.7377406048551848)	(105, 0.7688662376267323)	(110, 0.8011331883574705)	(115, 0.8322868963301531)	(120, 0.8633228105241602)	(125, 0.8936922438564366)	(130, 0.9235453376200097)	(135, 0.9528906364413119)	(140, 0.9715759034576837)
