Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
FZP-2_S51_R1_001	(1.0, 76.22459839121869)	(2.0, 11.322151028066232)	(3.0, 3.3798834005316603)	(4.0, 1.900610230719078)	(5.0, 1.293739332475898)	(6.0, 0.9742073845485067)	(7.0, 0.6867221969109278)	(8.0, 0.551376930379773)	(9.0, 0.41185132621544107)	('>10', 2.6183507066851024)	('>50', 0.5122220145156605)	('>100', 0.12428705773307609)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FZP-2_S51_R2_001	(1.0, 78.00537155197541)	(2.0, 10.467065990682437)	(3.0, 3.19574595448801)	(4.0, 1.7835330457709118)	(5.0, 1.155693358660089)	(6.0, 0.8994179733126368)	(7.0, 0.6308812308952494)	(8.0, 0.5075343231630453)	(9.0, 0.38319251874746335)	('>10', 2.390924876930342)	('>50', 0.4696619111708987)	('>100', 0.11097726420347903)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FZP-3_S52_R1_001	(1.0, 77.60151091579756)	(2.0, 10.20010202756714)	(3.0, 3.1379709961382867)	(4.0, 1.911454789682878)	(5.0, 1.3374931373381025)	(6.0, 1.0056465894962021)	(7.0, 0.7036002186531518)	(8.0, 0.5455987016589031)	(9.0, 0.42433725808569794)	('>10', 2.772415047532044)	('>50', 0.3247682672591068)	('>100', 0.03510205079100921)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FZP-3_S52_R2_001	(1.0, 79.09478241704544)	(2.0, 9.72001920616084)	(3.0, 2.988756784350597)	(4.0, 1.725686026755883)	(5.0, 1.2012901663636426)	(6.0, 0.8870099938445367)	(7.0, 0.7048671146327485)	(8.0, 0.4883245706120049)	(9.0, 0.40076706744817503)	('>10', 2.47185523439615)	('>50', 0.29536984425769885)	('>100', 0.02127157413230049)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HFP-1_S53_R1_001	(1.0, 76.11800983462294)	(2.0, 10.942370291065545)	(3.0, 3.5011011168531363)	(4.0, 1.8726092384375788)	(5.0, 1.4010750289070621)	(6.0, 1.0523509101472575)	(7.0, 0.7903459654330295)	(8.0, 0.6193692477404991)	(9.0, 0.5541126524732505)	('>10', 2.6732941973523676)	('>50', 0.4350999603926599)	('>100', 0.04026155657465509)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HFP-1_S53_R2_001	(1.0, 77.43323513399326)	(2.0, 10.46859849885612)	(3.0, 3.19904123429223)	(4.0, 1.8288027886994191)	(5.0, 1.3335732563045994)	(6.0, 1.0190227858927732)	(7.0, 0.7751839379173836)	(8.0, 0.5783977694629595)	(9.0, 0.47473976898953096)	('>10', 2.430301608930679)	('>50', 0.4266568465556854)	('>100', 0.03244637010541471)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-10_S22_R1_001	(1.0, 74.48394893698014)	(2.0, 10.290070366617696)	(3.0, 2.670453023052105)	(4.0, 1.5562197812574894)	(5.0, 1.2257434976783657)	(6.0, 1.1544005074657464)	(7.0, 0.9731295385355974)	(8.0, 0.9777396547498916)	(9.0, 0.8379855201181683)	('>10', 4.911858125725341)	('>50', 0.489343218207146)	('>100', 0.4291078296122726)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-10_S22_R2_001	(1.0, 77.18846044372773)	(2.0, 9.132902847034543)	(3.0, 2.4687287804401117)	(4.0, 1.4457635527548862)	(5.0, 1.16109200830036)	(6.0, 1.1107018887129603)	(7.0, 0.9977240980138113)	(8.0, 0.8652174897449741)	(9.0, 0.732279409557036)	('>10', 4.133819912941977)	('>50', 0.4169391750488632)	('>100', 0.34637039372264394)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-11_S23_R1_001	(1.0, 80.922971281211)	(2.0, 9.809058545195626)	(3.0, 2.7651675752302176)	(4.0, 1.5159879388955448)	(5.0, 1.088840282137416)	(6.0, 0.7130009545323067)	(7.0, 0.5157951784653444)	(8.0, 0.36102709673187305)	(9.0, 0.23379308240554963)	('>10', 1.5952571897697376)	('>50', 0.4316245915645463)	('>100', 0.047476283860754774)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-11_S23_R2_001	(1.0, 82.68410219770901)	(2.0, 8.959627211173316)	(3.0, 2.518054809587016)	(4.0, 1.4408575503009864)	(5.0, 0.9037824108370307)	(6.0, 0.6450478685508728)	(7.0, 0.4464627648424927)	(8.0, 0.32828600689700377)	(9.0, 0.21427020185858367)	('>10', 1.439817511076061)	('>50', 0.38717893738423614)	('>100', 0.03251252978339576)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
