Sample	Unique Reads	Duplicate Reads
CZP-1_S3_R1_001	16366125.0	3201815.0
CZP-1_S3_R2_001	16628454.0	2939486.0
CZP-2_S4_R1_001	37248985.0	11850025.0
CZP-2_S4_R2_001	38032037.0	11066973.0
ELP-1_S49_R1_001	29827617.0	8141056.0
ELP-1_S49_R2_001	30616322.0	7352351.0
FRUpstream-1_S1_R1_001	4862165.0	687791.0
FRUpstream-1_S1_R2_001	4921820.0	628136.0
FRUpstream-2_S2_R1_001	4241066.0	548262.0
FRUpstream-2_S2_R2_001	4292011.0	497317.0
FZP-1_S50_R1_001	14182815.0	2751126.0
FZP-1_S50_R2_001	14496405.0	2437536.0
FZP-2_S51_R1_001	11296067.0	2137198.0
FZP-2_S51_R2_001	11469842.0	1963423.0
FZP-3_S52_R1_001	10576021.0	1875761.0
FZP-3_S52_R2_001	10716732.0	1735050.0
HFP-1_S53_R1_001	9830113.0	1881329.0
HFP-1_S53_R2_001	9950536.0	1760906.0
KTP-10_S22_R1_001	26847608.0	5940045.0
KTP-10_S22_R2_001	27510303.0	5277350.0
KTP-11_S23_R1_001	11116358.0	1583067.0
KTP-11_S23_R2_001	11275576.0	1423849.0
KTP-12_S24_R1_001	14256929.0	3020178.0
KTP-12_S24_R2_001	14488493.0	2788614.0
KTP-13_S25_R1_001	13285305.0	1557043.0
KTP-13_S25_R2_001	13453273.0	1389075.0
KTP-14_S26_R1_001	15336178.0	2800303.0
KTP-14_S26_R2_001	15642793.0	2493688.0
KTP-15_S27_R1_001	14846538.0	2182868.0
KTP-15_S27_R2_001	15105409.0	1923997.0
KTP-16_S28_R1_001	11879329.0	1775056.0
KTP-16_S28_R2_001	12091793.0	1562592.0
KTP-17_S29_R1_001	14180250.0	2206638.0
KTP-17_S29_R2_001	14411498.0	1975390.0
KTP-18_S30_R1_001	14105222.0	2432393.0
KTP-18_S30_R2_001	14362250.0	2175365.0
KTP-19_S31_R1_001	21614968.0	5163641.0
KTP-19_S31_R2_001	22238396.0	4540213.0
KTP-1_S13_R1_001	10651456.0	1352007.0
KTP-1_S13_R2_001	10800506.0	1202957.0
KTP-2_S14_R1_001	23247990.0	5364468.0
KTP-2_S14_R2_001	23810156.0	4802302.0
KTP-3_S15_R1_001	14146844.0	2015387.0
KTP-3_S15_R2_001	14381313.0	1780918.0
KTP-4_S16_R1_001	15728967.0	2022224.0
KTP-4_S16_R2_001	15970702.0	1780489.0
KTP-5_S17_R1_001	25970272.0	6252955.0
KTP-5_S17_R2_001	26599440.0	5623787.0
KTP-6_S18_R1_001	10178903.0	1717969.0
KTP-6_S18_R2_001	10316698.0	1580174.0
KTP-7_S19_R1_001	9913650.0	1073536.0
KTP-7_S19_R2_001	10004365.0	982821.0
KTP-8_S20_R1_001	17624789.0	2676920.0
KTP-8_S20_R2_001	17963798.0	2337911.0
KTP-9_S21_R1_001	13561546.0	1943152.0
KTP-9_S21_R2_001	13743411.0	1761287.0
STP-1_S46_R1_001	9777402.0	1410497.0
STP-1_S46_R2_001	9940234.0	1247665.0
STP-2_S47_R1_001	11866376.0	1897672.0
STP-2_S47_R2_001	12034750.0	1729298.0
STP-3_S48_R1_001	12055173.0	2128794.0
STP-3_S48_R2_001	12241261.0	1942706.0
WBP-1_S5_R1_001	9569479.0	1692802.0
WBP-1_S5_R2_001	9690096.0	1572185.0
WBP-2_S6_R1_001	10047673.0	2170249.0
WBP-2_S6_R2_001	10231834.0	1986088.0
WBP-3_S7_R1_001	7808934.0	1672424.0
WBP-3_S7_R2_001	7920928.0	1560430.0
WBP-4_S8_R1_001	22485028.0	6301317.0
WBP-4_S8_R2_001	23126971.0	5659374.0
WBP-5_S9_R1_001	17872366.0	5875386.0
WBP-5_S9_R2_001	18436844.0	5310908.0
WBP-6_S10_R1_001	19816214.0	5381088.0
WBP-6_S10_R2_001	20357893.0	4839409.0
WBP-7_S11_R1_001	20468391.0	6675170.0
WBP-7_S11_R2_001	21182329.0	5961232.0
WBP-8_S12_R1_001	7629738.0	1872140.0
WBP-8_S12_R2_001	7777260.0	1724618.0
WZP-10_S41_R1_001	17154560.0	4041140.0
WZP-10_S41_R2_001	17606854.0	3588846.0
WZP-11_S42_R1_001	21156413.0	5414780.0
WZP-11_S42_R2_001	21753224.0	4817969.0
WZP-12_S43_R1_001	16650826.0	3689285.0
WZP-12_S43_R2_001	17040163.0	3299948.0
WZP-13_S44_R1_001	11334013.0	2411849.0
WZP-13_S44_R2_001	11574513.0	2171349.0
WZP-14_S45_R1_001	12218530.0	2969480.0
WZP-14_S45_R2_001	12483066.0	2704944.0
WZP-1_S32_R1_001	17887355.0	3485930.0
WZP-1_S32_R2_001	18288260.0	3085025.0
WZP-2_S33_R1_001	11331453.0	2479014.0
WZP-2_S33_R2_001	11553329.0	2257138.0
WZP-3_S34_R1_001	16228440.0	2842584.0
WZP-3_S34_R2_001	16529899.0	2541125.0
WZP-4_S35_R1_001	11083690.0	2322530.0
WZP-4_S35_R2_001	11303186.0	2103034.0
WZP-5_S36_R1_001	12910739.0	2018115.0
WZP-5_S36_R2_001	13186285.0	1742569.0
WZP-6_S37_R1_001	10628872.0	2585053.0
WZP-6_S37_R2_001	10888047.0	2325878.0
WZP-7_S38_R1_001	10868177.0	2459107.0
WZP-7_S38_R2_001	11092136.0	2235148.0
WZP-8_S39_R1_001	13535741.0	3157629.0
WZP-8_S39_R2_001	13812624.0	2880746.0
WZP-9_S40_R1_001	18579777.0	3667927.0
WZP-9_S40_R2_001	18997599.0	3250105.0
