Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
FZP-1_S50_R1_001	(12.0, 1.0)	(13.0, 1.0)	(14.0, 6.0)	(15.0, 33.0)	(16.0, 173.0)	(17.0, 456.0)	(18.0, 998.0)	(19.0, 2251.0)	(20.0, 4726.0)	(21.0, 9466.0)	(22.0, 16317.0)	(23.0, 26695.0)	(24.0, 40925.0)	(25.0, 58551.0)	(26.0, 81673.0)	(27.0, 107402.0)	(28.0, 137885.0)	(29.0, 173359.0)	(30.0, 211583.0)	(31.0, 255408.0)	(32.0, 307351.0)	(33.0, 369298.0)	(34.0, 447192.0)	(35.0, 554484.0)	(36.0, 716526.0)	(37.0, 1007120.0)	(38.0, 1684372.0)	(39.0, 4084828.0)	(40.0, 6634861.0)		
FZP-1_S50_R2_001	(11.0, 119.0)	(12.0, 1328.0)	(13.0, 4569.0)	(14.0, 10720.0)	(15.0, 24821.0)	(16.0, 48302.0)	(17.0, 72479.0)	(18.0, 88181.0)	(19.0, 101260.0)	(20.0, 118220.0)	(21.0, 138095.0)	(22.0, 162280.0)	(23.0, 191183.0)	(24.0, 223288.0)	(25.0, 262622.0)	(26.0, 308296.0)	(27.0, 358516.0)	(28.0, 413836.0)	(29.0, 476468.0)	(30.0, 552868.0)	(31.0, 650645.0)	(32.0, 775767.0)	(33.0, 938241.0)	(34.0, 1147894.0)	(35.0, 1431203.0)	(36.0, 1791482.0)	(37.0, 2205204.0)	(38.0, 2439288.0)	(39.0, 1760307.0)	(40.0, 236459.0)	
FZP-2_S51_R1_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 10.0)	(16.0, 37.0)	(17.0, 131.0)	(18.0, 377.0)	(19.0, 1155.0)	(20.0, 2711.0)	(21.0, 5454.0)	(22.0, 10077.0)	(23.0, 16406.0)	(24.0, 26129.0)	(25.0, 38407.0)	(26.0, 54829.0)	(27.0, 73753.0)	(28.0, 95796.0)	(29.0, 121489.0)	(30.0, 150441.0)	(31.0, 181852.0)	(32.0, 220524.0)	(33.0, 267179.0)	(34.0, 325263.0)	(35.0, 406111.0)	(36.0, 532502.0)	(37.0, 759776.0)	(38.0, 1308988.0)	(39.0, 3324777.0)	(40.0, 5509089.0)			
FZP-2_S51_R2_001	(11.0, 35.0)	(12.0, 389.0)	(13.0, 1438.0)	(14.0, 4013.0)	(15.0, 10570.0)	(16.0, 22100.0)	(17.0, 34198.0)	(18.0, 43852.0)	(19.0, 53405.0)	(20.0, 65544.0)	(21.0, 78358.0)	(22.0, 95829.0)	(23.0, 114976.0)	(24.0, 138939.0)	(25.0, 166856.0)	(26.0, 200043.0)	(27.0, 236582.0)	(28.0, 276098.0)	(29.0, 323650.0)	(30.0, 382465.0)	(31.0, 460528.0)	(32.0, 561727.0)	(33.0, 702451.0)	(34.0, 893295.0)	(35.0, 1157201.0)	(36.0, 1514745.0)	(37.0, 1942703.0)	(38.0, 2207148.0)	(39.0, 1556049.0)	(40.0, 188078.0)	
FZP-3_S52_R1_001	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 22.0)	(16.0, 88.0)	(17.0, 238.0)	(18.0, 655.0)	(19.0, 1502.0)	(20.0, 3040.0)	(21.0, 6027.0)	(22.0, 10378.0)	(23.0, 16878.0)	(24.0, 25413.0)	(25.0, 37193.0)	(26.0, 52245.0)	(27.0, 69567.0)	(28.0, 90499.0)	(29.0, 114218.0)	(30.0, 139374.0)	(31.0, 169031.0)	(32.0, 203421.0)	(33.0, 246704.0)	(34.0, 301895.0)	(35.0, 376560.0)	(36.0, 493417.0)	(37.0, 709720.0)	(38.0, 1227616.0)	(39.0, 3122778.0)	(40.0, 5033301.0)		
FZP-3_S52_R2_001	(11.0, 15.0)	(12.0, 225.0)	(13.0, 851.0)	(14.0, 2590.0)	(15.0, 7298.0)	(16.0, 15945.0)	(17.0, 25187.0)	(18.0, 33752.0)	(19.0, 42305.0)	(20.0, 52681.0)	(21.0, 64899.0)	(22.0, 79057.0)	(23.0, 96377.0)	(24.0, 117454.0)	(25.0, 143182.0)	(26.0, 173068.0)	(27.0, 205263.0)	(28.0, 241545.0)	(29.0, 285578.0)	(30.0, 341618.0)	(31.0, 414241.0)	(32.0, 513625.0)	(33.0, 647123.0)	(34.0, 827977.0)	(35.0, 1077887.0)	(36.0, 1415681.0)	(37.0, 1818996.0)	(38.0, 2094379.0)	(39.0, 1516694.0)	(40.0, 196289.0)	
HFP-1_S53_R1_001	(13.0, 2.0)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 33.0)	(17.0, 140.0)	(18.0, 392.0)	(19.0, 992.0)	(20.0, 2427.0)	(21.0, 4844.0)	(22.0, 8568.0)	(23.0, 14290.0)	(24.0, 22414.0)	(25.0, 33141.0)	(26.0, 47056.0)	(27.0, 63470.0)	(28.0, 82938.0)	(29.0, 104194.0)	(30.0, 128606.0)	(31.0, 156780.0)	(32.0, 188782.0)	(33.0, 227883.0)	(34.0, 279893.0)	(35.0, 350738.0)	(36.0, 462144.0)	(37.0, 667358.0)	(38.0, 1157266.0)	(39.0, 2909728.0)	(40.0, 4797357.0)			
HFP-1_S53_R2_001	(11.0, 27.0)	(12.0, 183.0)	(13.0, 689.0)	(14.0, 2329.0)	(15.0, 6694.0)	(16.0, 14670.0)	(17.0, 23531.0)	(18.0, 31440.0)	(19.0, 39611.0)	(20.0, 49683.0)	(21.0, 61344.0)	(22.0, 75029.0)	(23.0, 92139.0)	(24.0, 111762.0)	(25.0, 137755.0)	(26.0, 167468.0)	(27.0, 199775.0)	(28.0, 235640.0)	(29.0, 277717.0)	(30.0, 331880.0)	(31.0, 403338.0)	(32.0, 496844.0)	(33.0, 620300.0)	(34.0, 787804.0)	(35.0, 1013270.0)	(36.0, 1308113.0)	(37.0, 1673429.0)	(38.0, 1936007.0)	(39.0, 1428273.0)	(40.0, 184698.0)	
KTP-10_S22_R1_001	(12.0, 2.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 43.0)	(16.0, 193.0)	(17.0, 597.0)	(18.0, 1628.0)	(19.0, 3958.0)	(20.0, 9170.0)	(21.0, 18090.0)	(22.0, 32093.0)	(23.0, 52619.0)	(24.0, 79731.0)	(25.0, 115719.0)	(26.0, 161469.0)	(27.0, 213010.0)	(28.0, 273123.0)	(29.0, 340417.0)	(30.0, 418059.0)	(31.0, 505012.0)	(32.0, 606781.0)	(33.0, 730707.0)	(34.0, 884055.0)	(35.0, 1100119.0)	(36.0, 1423350.0)	(37.0, 2010830.0)	(38.0, 3372219.0)	(39.0, 7996234.0)	(40.0, 12438419.0)		
KTP-10_S22_R2_001	(10.0, 1.0)	(11.0, 112.0)	(12.0, 1482.0)	(13.0, 5887.0)	(14.0, 16550.0)	(15.0, 42522.0)	(16.0, 88968.0)	(17.0, 135643.0)	(18.0, 167070.0)	(19.0, 195352.0)	(20.0, 229860.0)	(21.0, 272579.0)	(22.0, 321479.0)	(23.0, 378848.0)	(24.0, 448601.0)	(25.0, 532532.0)	(26.0, 627258.0)	(27.0, 729747.0)	(28.0, 842771.0)	(29.0, 973469.0)	(30.0, 1133523.0)	(31.0, 1333319.0)	(32.0, 1584433.0)	(33.0, 1907601.0)	(34.0, 2321181.0)	(35.0, 2851167.0)	(36.0, 3503928.0)	(37.0, 4207726.0)	(38.0, 4494857.0)	(39.0, 3061946.0)	(40.0, 377241.0)
