Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
KTP-8_S20_R1_001	KTP-8_S20_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20301709.0	3 Gbp	0.0	151.0	38.0	86.81430824271564	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
KTP-8_S20_R2_001	KTP-8_S20_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20301709.0	3 Gbp	0.0	151.0	38.0	88.48416612145189	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
KTP-9_S21_R1_001	KTP-9_S21_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15504698.0	2.3 Gbp	0.0	151.0	42.0	87.46733122178124	151.0	151	pass	fail	fail	pass	warn	fail	fail	pass	pass	pass	pass
KTP-9_S21_R2_001	KTP-9_S21_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15504698.0	2.3 Gbp	0.0	151.0	43.0	88.64029953989433	151.0	151	pass	fail	fail	pass	pass	fail	fail	pass	pass	pass	pass
STP-1_S46_R1_001	STP-1_S46_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11187899.0	1.6 Gbp	0.0	151.0	35.0	87.3926494241788	151.0	151	pass	fail	fail	pass	warn	pass	fail	pass	pass	pass	pass
STP-1_S46_R2_001	STP-1_S46_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11187899.0	1.6 Gbp	0.0	151.0	36.0	88.8480788275449	151.0	151	pass	fail	fail	pass	warn	pass	fail	pass	pass	pass	pass
STP-2_S47_R1_001	STP-2_S47_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13764048.0	2 Gbp	0.0	151.0	39.0	86.21283035512434	151.0	151	pass	fail	fail	pass	warn	warn	fail	pass	pass	pass	warn
STP-2_S47_R2_001	STP-2_S47_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13764048.0	2 Gbp	0.0	151.0	40.0	87.43612187903545	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	warn
STP-3_S48_R1_001	STP-3_S48_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14183967.0	2.1 Gbp	0.0	151.0	38.0	84.99154128353652	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
STP-3_S48_R2_001	STP-3_S48_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14183967.0	2.1 Gbp	0.0	151.0	39.0	86.30350358848115	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WBP-1_S5_R1_001	WBP-1_S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11262281.0	1.7 Gbp	0.0	151.0	40.0	84.9692753915604	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	warn
WBP-1_S5_R2_001	WBP-1_S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11262281.0	1.7 Gbp	0.0	151.0	40.0	86.04025593978281	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	warn
