Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
FZP-1_S50_R1_001	(1, 27.741764306371447)	(2, 0.0042222894245350215)	(3, 0.009401237431971684)	(4, 0.008237893352764133)	(5, 0.0)	(6, 1.7715899683363723e-05)	(7, 0.0)	(8, 0.00040746569271736565)	(9, 5.9052998944545745e-06)	(10, 0.0)	(15, 5.9052998944545745e-06)	(20, 1.4172719746690979e-05)	(25, 0.00033423997402612897)	(30, 0.0011444471195452967)	(35, 0.0007995776057091494)	(40, 0.0002846354549127105)	(45, 0.0005928921094032393)	(50, 0.0007712321662157674)	(55, 0.003432160298656999)	(60, 0.0005858057495298939)	(65, 0.0013806591153234795)	(70, 0.0006413155685377668)	(75, 0.0004830535313663842)	(80, 0.06139622194266533)	(85, 6.613935881789124e-05)	(90, 0.00020668549630591012)	(95, 0.00036730965343507457)	(100, 0.00020314231636923735)	(105, 0.028002932099503594)	(110, 0.009788625105047903)	(115, 0.0003247914941950016)	(120, 0.0005113989708597662)	(125, 0.0003129808944060925)	(130, 0.00043226795227407493)	(135, 0.0008102071455191676)	(140, 0.0003921119129917838)	(145, 0.0002456604756093103)	(150, 0.00034841269377281994)
FZP-1_S50_R2_001	(1, 25.67783837206)	(2, 0.004287247723374021)	(3, 0.00012991659767800065)	(4, 0.00011220069799463692)	(5, 4.1337099261182025e-05)	(6, 0.00037793919324509277)	(7, 0.00023030669588372844)	(8, 0.00017125369693918267)	(9, 0.00027754909503936503)	(10, 0.00046769975164080236)	(15, 0.0007700511062368766)	(20, 0.0008857949841681862)	(25, 0.001334597776146734)	(30, 0.0008539063647381315)	(35, 0.001623957470975008)	(40, 0.0011031100202841147)	(45, 0.0617505399363326)	(50, 0.0007452488466801674)	(55, 0.0006861958477356216)	(60, 0.0007346193068701491)	(65, 0.06171983237688144)	(70, 0.0010995668403474418)	(75, 0.00045234597191522044)	(80, 0.058839227088366496)	(85, 0.05839396747632462)	(90, 0.0005173042707542208)	(95, 0.0003980172128862384)	(100, 0.0007570594464690765)	(105, 1.673785210424437)	(110, 0.0008432768249281133)	(115, 0.06288317645608898)	(120, 0.0003460505738150381)	(125, 0.00036140435354061997)	(130, 0.059194726142012655)	(135, 0.00021731503611592838)	(140, 0.0005728140897620937)	(145, 0.0007913101858569131)	(150, 0.00043403954224241123)
FZP-2_S51_R1_001	(1, 27.756342184867194)	(2, 0.004451635548022018)	(3, 0.01011667677217713)	(4, 0.007674977006706858)	(5, 0.0)	(6, 7.444206602043509e-06)	(7, 0.0)	(8, 0.0005062060489389586)	(9, 0.0)	(10, 0.0)	(15, 4.466523961226106e-06)	(20, 8.933047922452211e-06)	(25, 0.00037667685406340154)	(30, 0.0012342494546188137)	(35, 0.0008441730286717339)	(40, 0.00030967899464501)	(45, 0.0005672485430757154)	(50, 0.0007816416932145685)	(55, 0.0033766921146869354)	(60, 0.0005672485430757154)	(65, 0.0014054662064658145)	(70, 0.0007116661511553595)	(75, 0.0004377193482001583)	(80, 0.059793356268933874)	(85, 6.997554205920898e-05)	(90, 0.00020843778485721826)	(95, 0.00037221033010217545)	(100, 0.00015781717996332239)	(105, 0.02811230181195711)	(110, 0.009431809764789127)	(115, 0.00029181289880010554)	(120, 0.00048536227045323677)	(125, 0.0003662549648205407)	(130, 0.0004436747134817932)	(135, 0.00073399877096149)	(140, 0.00042878630027770614)	(145, 0.00024268113522661839)	(150, 0.0003908208466072842)
FZP-2_S51_R2_001	(1, 25.67610331516575)	(2, 0.0038560990198585375)	(3, 8.933047922452211e-05)	(4, 6.699785941839158e-05)	(5, 2.9776826408174037e-05)	(6, 0.000394542949908306)	(7, 0.0002307704046633488)	(8, 0.00020843778485721826)	(9, 0.00020099357825517476)	(10, 0.00046898501592874107)	(15, 0.0008203515675451947)	(20, 0.0008784163790411341)	(25, 0.0013593121255331448)	(30, 0.0008620391245166383)	(35, 0.001593060212837311)	(40, 0.0011404524514330658)	(45, 0.06107078212184454)	(50, 0.000719110357757403)	(55, 0.0006625343875818723)	(60, 0.000689333531349229)	(65, 0.060991873531862875)	(70, 0.0010570773374901784)	(75, 0.0004674961746083324)	(80, 0.05729508053328807)	(85, 0.056866294233010366)	(90, 0.0005017395249777325)	(95, 0.00035732191689808845)	(100, 0.0008114185196227426)	(105, 1.6167402340384114)	(110, 0.0008605502831962296)	(115, 0.061383438799130365)	(120, 0.00043325282423893217)	(125, 0.00042431977631648005)	(130, 0.05763006983038003)	(135, 0.00020843778485721826)	(140, 0.0005464047645899935)	(145, 0.000818862726224786)	(150, 0.0003498777102960449)
FZP-3_S52_R1_001	(1, 27.84250479168363)	(2, 0.004601750978293709)	(3, 0.010343900977386208)	(4, 0.007765956712059366)	(5, 0.0)	(6, 2.4092937059129367e-05)	(7, 0.0)	(8, 0.0003533630768672307)	(9, 0.0)	(10, 0.0)	(15, 8.03097901970979e-06)	(20, 1.1243370627593705e-05)	(25, 0.0003260577482002174)	(30, 0.0011532485872303257)	(35, 0.0007790049649118496)	(40, 0.00029875241953320413)	(45, 0.000571805706203337)	(50, 0.000803097901970979)	(55, 0.003440471412043674)	(60, 0.0005942924474585244)	(65, 0.0012897752305653922)	(70, 0.0006312349509491895)	(75, 0.00046258439153528384)	(80, 0.05982276271781822)	(85, 6.585402796162028e-05)	(90, 0.00022968599996369999)	(95, 0.0003790622097303021)	(100, 0.00014777001396266013)	(105, 0.027898014918667866)	(110, 0.009409095019491989)	(115, 0.00033730111882781117)	(120, 0.000534863202712672)	(125, 0.00035978786008299856)	(130, 0.00041439851741702514)	(135, 0.0007838235523236754)	(140, 0.0003951241677697216)	(145, 0.0002457479580031196)	(150, 0.0003935179719657797)
FZP-3_S52_R2_001	(1, 25.755598676558904)	(2, 0.0034774139155343384)	(3, 0.00012046468529564684)	(4, 0.00012046468529564684)	(5, 6.424783215767832e-05)	(6, 0.0003533630768672307)	(7, 0.0002730532866701328)	(8, 0.00020077447549274476)	(9, 0.00024896034961100345)	(10, 0.0004914959160062392)	(15, 0.0007806111607157915)	(20, 0.0008593147551089474)	(25, 0.0013636602375467221)	(30, 0.0008143412725985727)	(35, 0.001529098405352744)	(40, 0.0010729387970332279)	(45, 0.06056482517923941)	(50, 0.0006729960418516804)	(55, 0.0006456907131846671)	(60, 0.0006681774544398544)	(65, 0.06027249754292197)	(70, 0.0010793635802489956)	(75, 0.0004882835243983552)	(80, 0.05763030544543745)	(85, 0.05713399094201938)	(90, 0.0005188012446732524)	(95, 0.0003999427551815475)	(100, 0.0008191598600103986)	(105, 1.6044402319282491)	(110, 0.0008689519299325993)	(115, 0.06131010003226847)	(120, 0.0004111861258091412)	(125, 0.00042564188804461884)	(130, 0.05801579243838352)	(135, 0.00029232763631743635)	(140, 0.0006135667971058279)	(145, 0.0008753767131483669)	(150, 0.00039753346147563455)
HFP-1_S53_R1_001	(1, 27.728583721799588)	(2, 0.004687723339277947)	(3, 0.01029762176169254)	(4, 0.007795794915775529)	(5, 0.0)	(6, 1.7077316354382322e-05)	(7, 0.0)	(8, 0.00038423961797360223)	(9, 0.0)	(10, 0.0)	(15, 5.123194906314697e-06)	(20, 6.830926541752929e-06)	(25, 0.0002851911831181848)	(30, 0.0011493033906499301)	(35, 0.0007514019195928222)	(40, 0.0002766525249409936)	(45, 0.0005464741233402343)	(50, 0.0008282498431875426)	(55, 0.003249813302238956)	(60, 0.0005259813437149754)	(65, 0.0012927528480267418)	(70, 0.0005669669029654931)	(75, 0.00043376383540131094)	(80, 0.059750114460712864)	(85, 4.0985559250517574e-05)	(90, 0.00017760409008557614)	(95, 0.0003552081801711523)	(100, 0.000169065431908385)	(105, 0.027706238053349878)	(110, 0.009430094090889917)	(115, 0.0002851911831181848)	(120, 0.0004525488833911315)	(125, 0.0003398385954522082)	(130, 0.0003535004485357141)	(135, 0.0007548173828636986)	(140, 0.00038423961797360223)	(145, 0.0002390824289613525)	(150, 0.0003543543143534332)
HFP-1_S53_R2_001	(1, 25.6386532076921)	(2, 0.0035862364344202875)	(3, 7.684792359472044e-05)	(4, 5.1231949063146964e-05)	(5, 7.684792359472044e-05)	(6, 0.00040131693432798453)	(7, 0.00014515718901224973)	(8, 0.00014515718901224973)	(9, 0.00013661853083505858)	(10, 0.00043717929867218746)	(15, 0.0007667715043117663)	(20, 0.000787264283937025)	(25, 0.0012637214102242918)	(30, 0.0007479864563219457)	(35, 0.0015113424973628355)	(40, 0.00104342402925276)	(45, 0.06051517823338919)	(50, 0.0006455225581956517)	(55, 0.0005891674142261902)	(60, 0.000669430801091787)	(65, 0.06075938385725686)	(70, 0.0010536704190653892)	(75, 0.0004679184681100756)	(80, 0.05683843202229068)	(85, 0.056341482116378155)	(90, 0.0005533050498819872)	(95, 0.00038253188633816397)	(100, 0.0008009261370205309)	(105, 1.5965787987508286)	(110, 0.0009016823035113865)	(115, 0.061123130695605196)	(120, 0.00037399322816097284)	(125, 0.00042693290885955807)	(130, 0.057248287614795855)	(135, 0.00025957520858661126)	(140, 0.0005857519509553136)	(145, 0.0008248343799166661)	(150, 0.0004055862634165801)
KTP-10_S22_R1_001	(1, 27.747066860808857)	(2, 0.004394947085721568)	(3, 0.009302282173109492)	(4, 0.007658370667763258)	(5, 0.0)	(6, 1.5249642906736875e-05)	(7, 0.0)	(8, 0.000317192572460127)	(9, 0.0)	(10, 0.0)	(15, 1.0369757176581075e-05)	(20, 1.1589728609120026e-05)	(25, 0.00032085248675774386)	(30, 0.001108344046461636)	(35, 0.0007618721596205742)	(40, 0.00024338430079152052)	(45, 0.00052275775884294)	(50, 0.0007527223738765321)	(55, 0.0032262144533492534)	(60, 0.0006136456305670918)	(65, 0.0012968296327889037)	(70, 0.0006246253734599424)	(75, 0.00044223964429536937)	(80, 0.062378969302865316)	(85, 6.404850020829488e-05)	(90, 0.00019214550062488463)	(95, 0.0003781911440870745)	(100, 0.00015554635764871612)	(105, 0.027715311004419867)	(110, 0.009455998573609401)	(115, 0.0002879132580791922)	(120, 0.00047395890154138204)	(125, 0.0003214624724740133)	(130, 0.0003861209583985776)	(135, 0.0007210031166305195)	(140, 0.00039161082984500296)	(145, 0.00025131411510302367)	(150, 0.0003476918582736007)
KTP-10_S22_R2_001	(1, 25.697508754286257)	(2, 0.0033732210109701966)	(3, 7.929814311503175e-05)	(4, 8.539800027772649e-05)	(5, 3.3549214394821124e-05)	(6, 0.0002805934294839585)	(7, 0.00020434521495027412)	(8, 0.00014944650048602138)	(9, 0.0002165449292756636)	(10, 0.0004251600442398241)	(15, 0.0007569922738904184)	(20, 0.000851540059912187)	(25, 0.0012937797042075563)	(30, 0.0007990812883130123)	(35, 0.0014865351905487105)	(40, 0.0010430755748208021)	(45, 0.06274374076119446)	(50, 0.0006630544735849194)	(55, 0.0006112056877020139)	(60, 0.0007008735879936267)	(65, 0.06217462408791505)	(70, 0.0010308758604954127)	(75, 0.0004373597585652136)	(80, 0.05940711889320044)	(85, 0.058953289520295944)	(90, 0.0004971383587596221)	(95, 0.0003611115440315292)	(100, 0.0007765118168110416)	(105, 1.697196807590955)	(110, 0.0008393403455867975)	(115, 0.06330980750589253)	(120, 0.00034220198682717546)	(125, 0.0003391520582458281)	(130, 0.05974139106571611)	(135, 0.00022203480072208886)	(140, 0.0005514270875076054)	(145, 0.0007893215168527007)	(150, 0.0003644664654710113)
