Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
FZP-1_S50_R1_001	(1, 21.19379782886925)	(2, 31.621852349668632)	(3, 34.18872913281084)	(4, 36.05053909187472)	(5, 36.35797981107883)	(6, 39.924966846170065)	(7, 40.092764820664016)	(8, 40.1489622527916)	(9, 40.18223265334396)	(10, 40.21371778725343)	(15, 40.18078431949184)	(20, 40.13126904127043)	(25, 40.007520765544186)	(30, 39.930918455426294)	(35, 39.875662068268696)	(40, 39.8074581457441)	(45, 39.754359259902934)	(50, 39.67921545256358)	(55, 39.599292308860655)	(60, 39.5271867665064)	(65, 39.422729806369354)	(70, 39.32090646825804)	(75, 38.912594357096204)	(80, 39.176568277874594)	(85, 39.156961737377024)	(90, 39.00164032696229)	(95, 38.84328191529663)	(100, 38.64418226093973)	(105, 38.33612109549691)	(110, 38.04468541611193)	(115, 37.677663941311714)	(120, 37.26620960826544)	(125, 36.74367820225664)	(130, 36.17381202639126)	(135, 35.479566605316506)	(140, 34.83286789531155)	(145, 34.19304972185742)	(150, 31.57184260887646)
FZP-1_S50_R2_001	(1, 21.05600238007207)	(2, 30.976672884356926)	(3, 33.036984479867975)	(4, 35.02699737763348)	(5, 35.465991289328336)	(6, 38.721148786333906)	(7, 38.90302186596729)	(8, 38.91639648443324)	(9, 39.03267674075397)	(10, 39.046003160162186)	(15, 38.99045541731839)	(20, 38.87515911387668)	(25, 38.713157108554945)	(30, 38.661875566945696)	(35, 38.38041062030392)	(40, 38.18061644362645)	(45, 37.9502431832023)	(50, 37.800691463375244)	(55, 37.57184837244915)	(60, 37.35827482805095)	(65, 37.00253234613254)	(70, 36.61440303825318)	(75, 35.33324434046392)	(80, 35.81197155464283)	(85, 35.267386735314595)	(90, 34.557346302316745)	(95, 33.649596003670965)	(100, 33.15677404332518)	(105, 32.05916580198313)	(110, 31.859405568969446)	(115, 31.07054031899603)	(120, 30.4295474750975)	(125, 29.554228280351275)	(130, 28.537232531990043)	(135, 27.621977979018588)	(140, 26.32554460890114)	(145, 25.321626466042368)	(150, 22.07735237178398)
FZP-2_S51_R1_001	(1, 21.226271647287536)	(2, 31.66328923013132)	(3, 34.268023819972285)	(4, 36.12616329686044)	(5, 36.41244998888952)	(6, 39.98968567954254)	(7, 40.14389919353188)	(8, 40.20040824029006)	(9, 40.231146113770556)	(10, 40.256819961491125)	(15, 40.228488725563)	(20, 40.18355336546997)	(25, 40.07763735770864)	(30, 40.01993333712988)	(35, 39.97425838022254)	(40, 39.91481585452234)	(45, 39.86747186182957)	(50, 39.79939250807604)	(55, 39.724694748447234)	(60, 39.66250572738645)	(65, 39.56817424505509)	(70, 39.47835578319939)	(75, 39.10740157363083)	(80, 39.35625746979606)	(85, 39.3421466486368)	(90, 39.20342244420847)	(95, 39.06173505845377)	(100, 38.87470691600292)	(105, 38.581153874355934)	(110, 38.31276552647476)	(115, 37.968105892350074)	(120, 37.566138180107366)	(125, 37.05373210459259)	(130, 36.484128214547994)	(135, 35.78315258427493)	(140, 35.12634076674583)	(145, 34.474116009771265)	(150, 31.788710637361802)
FZP-2_S51_R2_001	(1, 21.168175197913538)	(2, 31.246251227828825)	(3, 33.401833433644015)	(4, 35.3788505623912)	(5, 35.77614742208986)	(6, 39.1200087990522)	(7, 39.28540083144343)	(8, 39.30949102842831)	(9, 39.39771001316508)	(10, 39.41885306364462)	(15, 39.3779543841352)	(20, 39.297997828524935)	(25, 39.17190691912949)	(30, 39.12770311610767)	(35, 38.85014749578751)	(40, 38.66711430169806)	(45, 38.470394502006776)	(50, 38.35124562792441)	(55, 38.15257611608199)	(60, 37.95302958737135)	(65, 37.6177754402969)	(70, 37.26312885214428)	(75, 36.04891199570618)	(80, 36.53884465169116)	(85, 36.03593523986908)	(90, 35.36389259052062)	(95, 34.49147776061888)	(100, 34.012088766208365)	(105, 32.93360957295192)	(110, 32.74177224970995)	(115, 31.9555317043176)	(120, 31.30652278504146)	(125, 30.403331461115375)	(130, 29.370386157051172)	(135, 28.424741311959526)	(140, 27.078869031467782)	(145, 26.02164581730503)	(150, 22.549475462592305)
FZP-3_S52_R1_001	(1, 21.20322874268117)	(2, 31.660594764669025)	(3, 34.25938825462894)	(4, 36.11794552779674)	(5, 36.40267336835804)	(6, 39.97409021455724)	(7, 40.13036760521506)	(8, 40.18941666341412)	(9, 40.21757271368869)	(10, 40.24168550332796)	(15, 40.21083825592193)	(20, 40.16544264909232)	(25, 40.055904126814944)	(30, 39.996471990916646)	(35, 39.950318886083934)	(40, 39.88927478813876)	(45, 39.84164534843286)	(50, 39.7716847596593)	(55, 39.69680917960177)	(60, 39.63438993711904)	(65, 39.537824578040315)	(70, 39.44675059360982)	(75, 39.08085631438135)	(80, 39.32622050402103)	(85, 39.31383206034285)	(90, 39.17661806157544)	(95, 39.03510080725795)	(100, 38.85055694036404)	(105, 38.556960088122324)	(110, 38.28921029937723)	(115, 37.94450871369254)	(120, 37.54723736731016)	(125, 37.03439380805092)	(130, 36.46794221100241)	(135, 35.76424922954803)	(140, 35.10503637150088)	(145, 34.458956830436)	(150, 31.746428382700564)
FZP-3_S52_R2_001	(1, 21.199091101980425)	(2, 31.364881588836038)	(3, 33.53564967648807)	(4, 35.549437743127854)	(5, 35.8347344982429)	(6, 39.3139084831392)	(7, 39.43641464330166)	(8, 39.44825656279559)	(9, 39.54911971635867)	(10, 39.57271444360333)	(15, 39.511265198828575)	(20, 39.44565802710006)	(25, 39.316418099835026)	(30, 39.27940803974885)	(35, 38.975223048395804)	(40, 38.79270920419261)	(45, 38.60614430930448)	(50, 38.49842621722738)	(55, 38.31170495917773)	(60, 38.12582557259675)	(65, 37.80193684727214)	(70, 37.459333643971604)	(75, 36.254248171064994)	(80, 36.73509443066061)	(85, 36.24779290225287)	(90, 35.584328010239815)	(95, 34.71391702810088)	(100, 34.23710792559651)	(105, 33.166430893184604)	(110, 32.98091885964595)	(115, 32.209458244611085)	(120, 31.55907927074213)	(125, 30.66206584728194)	(130, 29.632056070368083)	(135, 28.685847648151885)	(140, 27.33204858549563)	(145, 26.27113778574023)	(150, 22.71077003275515)
HFP-1_S53_R1_001	(1, 21.222014761290712)	(2, 31.666688781791347)	(3, 34.27559125511615)	(4, 36.1345937588215)	(5, 36.4141936577921)	(6, 39.99071156224827)	(7, 40.1436387594286)	(8, 40.199475094527216)	(9, 40.230077816207434)	(10, 40.253172000510276)	(15, 40.22320142984954)	(20, 40.17832861230922)	(25, 40.07227468658428)	(30, 40.01333523233092)	(35, 39.96954525326599)	(40, 39.91053649926286)	(45, 39.86338052991254)	(50, 39.79353493788383)	(55, 39.717458464978094)	(60, 39.65733321310903)	(65, 39.56332069099603)	(70, 39.472083745110126)	(75, 39.11278725540373)	(80, 39.35578795506139)	(85, 39.34213371846097)	(90, 39.205981654522134)	(95, 39.070593356479925)	(100, 38.88498157613725)	(105, 38.5968025457497)	(110, 38.33264487840182)	(115, 37.9949799862391)	(120, 37.60317598806364)	(125, 37.099739656312174)	(130, 36.54639835128757)	(135, 35.85008597574919)	(140, 35.195780365901996)	(145, 34.56104329424165)	(150, 31.8200046586919)
HFP-1_S53_R2_001	(1, 21.173957570724426)	(2, 31.259552324982696)	(3, 33.3746142447702)	(4, 35.427232530374994)	(5, 35.84397933234865)	(6, 39.234300609608965)	(7, 39.39461212376751)	(8, 39.378185623939395)	(9, 39.49597718197298)	(10, 39.544461595762506)	(15, 39.50889786244939)	(20, 39.43550541427776)	(25, 39.323094747854284)	(30, 39.27470072430022)	(35, 38.9913759210864)	(40, 38.79917851277409)	(45, 38.60219549394515)	(50, 38.482104936351995)	(55, 38.285130182944165)	(60, 38.09582859224338)	(65, 37.765093572593365)	(70, 37.41519433729851)	(75, 36.19530045915781)	(80, 36.67336490246034)	(85, 36.182350747243596)	(90, 35.50440318109418)	(95, 34.6152652252387)	(100, 34.136342885871784)	(105, 33.06868387342908)	(110, 32.877153402629666)	(115, 32.10544515355154)	(120, 31.466272248968146)	(125, 30.570525661997902)	(130, 29.541588354363192)	(135, 28.598460309157485)	(140, 27.2510601341833)	(145, 26.192419891589783)	(150, 22.607091594698588)
KTP-10_S22_R1_001	(1, 21.204793462953873)	(2, 31.615834045822066)	(3, 34.18507116078116)	(4, 36.041292464575)	(5, 36.35407959819509)	(6, 39.91146740512351)	(7, 40.08074152181615)	(8, 40.13593519487351)	(9, 40.17026631945873)	(10, 40.20126648894326)	(15, 40.167770251807895)	(20, 40.11676236173415)	(25, 39.99276607569319)	(30, 39.91756651810363)	(35, 39.860806914114896)	(40, 39.78916872763049)	(45, 39.734110678797286)	(50, 39.655804524953346)	(55, 39.572842594131394)	(60, 39.49936201898928)	(65, 39.390633242336676)	(70, 39.28735704870367)	(75, 38.8759640465879)	(80, 39.13994092837325)	(85, 39.1197776309271)	(90, 38.9611575003554)	(95, 38.800181464650734)	(100, 38.59587217175929)	(105, 38.28210748723002)	(110, 37.98378481070298)	(115, 37.61109129098079)	(120, 37.188437873244546)	(125, 36.65541115736464)	(130, 36.074401714572254)	(135, 35.36813254062436)	(140, 34.705622564689214)	(145, 34.056645146268934)	(150, 31.41082318395891)
KTP-10_S22_R2_001	(1, 20.996725688172923)	(2, 31.011284003768125)	(3, 32.98243247237001)	(4, 34.977461363275985)	(5, 35.45083818594762)	(6, 38.727828368807)	(7, 38.84674554168302)	(8, 38.85574429496371)	(9, 38.97619622240116)	(10, 39.02264199270378)	(15, 38.95235518687476)	(20, 38.85331497194996)	(25, 38.699506427007755)	(30, 38.63169940221095)	(35, 38.29301684387107)	(40, 38.08215025942845)	(45, 37.8522352057343)	(50, 37.702428618480255)	(55, 37.47436476773741)	(60, 37.24917498059407)	(65, 36.88276421005188)	(70, 36.484537908218066)	(75, 35.17520811263923)	(80, 35.64804938615155)	(85, 35.0871213929219)	(90, 34.35226087088332)	(95, 33.41529017645758)	(100, 32.91280576258386)	(105, 31.80444354464774)	(110, 31.600030767679527)	(115, 30.804431216836413)	(120, 30.164759258614822)	(125, 29.286720949498886)	(130, 28.269499515564597)	(135, 27.362354914516146)	(140, 26.07189603354653)	(145, 25.082024437674754)	(150, 21.87224328011523)
KTP-11_S23_R1_001	(1, 21.2555058201454)	(2, 31.64359016254673)	(3, 34.245207164891326)	(4, 36.09607757831555)	(5, 36.39016168054853)	(6, 39.95207578295868)	(7, 40.10859397177431)	(8, 40.16530315348923)	(9, 40.19779454581605)	(10, 40.22165351580879)	(15, 40.1878257322674)	(20, 40.139415571964875)	(25, 40.027703490512366)	(30, 39.964970492758525)	(35, 39.91635199231461)	(40, 39.8518782858279)	(45, 39.79901817601978)	(50, 39.722429763552284)	(55, 39.640573600773266)	(60, 39.57102585353274)	(65, 39.46613072639115)	(70, 39.3642226163783)	(75, 38.97283557326414)	(80, 39.23275042767684)	(85, 39.21646855664725)	(90, 39.066208131470525)	(95, 38.9119908027332)	(100, 38.707701726652985)	(105, 38.39232675495151)	(110, 38.096192780381784)	(115, 37.726551036759545)	(120, 37.297352202954066)	(125, 36.75287066934133)	(130, 36.155270006319185)	(135, 35.418462300458486)	(140, 34.72173930709461)	(145, 34.05439928185724)	(150, 31.313895668504674)
KTP-11_S23_R2_001	(1, 21.173204219876098)	(2, 31.22357744543552)	(3, 33.297911125897436)	(4, 35.31089005998303)	(5, 35.63656086791331)	(6, 39.03510056557679)	(7, 39.17670870925259)	(8, 39.16194150522563)	(9, 39.280223474684874)	(10, 39.32389581418057)	(15, 39.25522250023131)	(20, 39.17066372690102)	(25, 39.02544730962228)	(30, 38.97326390761786)	(35, 38.62380140833148)	(40, 38.403402500506914)	(45, 38.18435269313375)	(50, 38.04448236042183)	(55, 37.828290320231034)	(60, 37.60690062739061)	(65, 37.24213215952691)	(70, 36.855977810018956)	(75, 35.55091150977308)	(80, 36.01901629404481)	(85, 35.47481745039638)	(90, 34.73473455687954)	(95, 33.77737639302567)	(100, 33.26565023219555)	(105, 32.170123371727456)	(110, 31.951629731267367)	(115, 31.155897609537437)	(120, 30.50991644109871)	(125, 29.60762773117681)	(130, 28.578937282593508)	(135, 27.649054583179947)	(140, 26.32729037732023)	(145, 25.308303706663885)	(150, 21.9289854068196)
KTP-12_S24_R1_001	(1, 21.227833224624934)	(2, 31.656551007063857)	(3, 34.26694781713165)	(4, 36.11640820422076)	(5, 36.40359308997739)	(6, 39.973684888332286)	(7, 40.12889223872955)	(8, 40.1866847846691)	(9, 40.216971452454395)	(10, 40.242820085561775)	(15, 40.2125786221038)	(20, 40.16569348097456)	(25, 40.05898201591273)	(30, 40.00017181117186)	(35, 39.94984313056578)	(40, 39.88603980978992)	(45, 39.838908921499424)	(50, 39.7706330579535)	(55, 39.69519508098201)	(60, 39.63340735228415)	(65, 39.53775168493197)	(70, 39.44700956010749)	(75, 39.08079030823853)	(80, 39.32913020681066)	(85, 39.31596304867476)	(90, 39.17825735523893)	(95, 39.04015259036134)	(100, 38.85476537246658)	(105, 38.56299785606468)	(110, 38.297072872211764)	(115, 37.959287674724706)	(120, 37.56783962731724)	(125, 37.069147456226325)	(130, 36.517273580582675)	(135, 35.83929198331642)	(140, 35.20216190129516)	(145, 34.57534760883289)	(150, 31.889350398767572)
