Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
KTP-7_S19_R1_001										9.770800431107318	46.0	151.0	151	36.36363636363637	10.987186
KTP-7_S19_R2_001										8.945160454704947	46.0	151.0	151	36.36363636363637	10.987186
KTP-8_S20	2.39551	84.4877	5180.041932	40.603418	38.6162	100.0	100.0	151.0	151.0						
KTP-8_S20_R1_001										13.18569175728436	38.0	151.0	151	27.27272727272727	20.301709
KTP-8_S20_R2_001										11.515833878548108	38.0	151.0	151	27.27272727272727	20.301709
KTP-9_S21	2.9852	85.1122	3985.308322	31.009396	42.7743	100.0	100.0	151.0	151.0						
KTP-9_S21_R1_001										12.532668778218763	42.0	151.0	151	36.36363636363637	15.504698
KTP-9_S21_R2_001										11.359700460105671	43.0	151.0	151	36.36363636363637	15.504698
STP-1_S46	2.2744299999999997	84.3118	2848.6814139999997	22.375798	35.8748	100.0	100.0	151.0	151.0						
STP-1_S46_R1_001										12.6073505758212	35.0	151.0	151	27.27272727272727	11.187899
STP-1_S46_R2_001										11.151921172455104	36.0	151.0	151	27.27272727272727	11.187899
STP-2_S47	2.6861099999999998	86.0314	3576.10268	27.528095999999998	39.9974	100.0	100.0	151.0	151.0						
STP-2_S47_R1_001										13.78716964487566	39.0	151.0	151	27.27272727272727	13.764047999999999
STP-2_S47_R2_001										12.563878120964546	40.0	151.0	151	27.27272727272727	13.764047999999999
STP-3_S48	3.34413	86.2769	3695.72223	28.367933999999998	39.0728	100.0	100.0	151.0	151.0						
STP-3_S48_R1_001										15.00845871646348	38.0	151.0	151	27.27272727272727	14.183966999999999
STP-3_S48_R2_001										13.69649641151885	39.0	151.0	151	27.27272727272727	14.183966999999999
WBP-1_S5	2.66091	86.40679999999999	2938.8754839999997	22.524562	40.3767	100.0	100.0	151.0	151.0						
WBP-1_S5_R1_001										15.030724608439598	40.0	151.0	151	27.27272727272727	11.262281
WBP-1_S5_R2_001										13.95974406021719	40.0	151.0	151	27.27272727272727	11.262281
WBP-2_S6	2.58006	86.1186	3177.6156189999997	24.435844	38.596799999999995	100.0	100.0	151.0	151.0						
WBP-2_S6_R1_001										17.76283613151108	38.0	151.0	151	27.27272727272727	12.217922
WBP-2_S6_R2_001										16.255534131315144	38.0	151.0	151	27.27272727272727	12.217922
WBP-3_S7	3.30013	87.235	2497.861672	18.962716	40.2933	100.0	100.0	151.0	151.0						
WBP-3_S7_R1_001										17.63908403350615	40.0	151.0	151	27.27272727272727	9.481358
WBP-3_S7_R2_001										16.457875687419588	40.0	151.0	151	27.27272727272727	9.481358
WBP-4_S8	2.8770000000000002	84.6568	7359.614721999999	57.572689999999994	36.7867	100.0	100.0	151.0	151.0						
WBP-4_S8_R1_001										21.889954528345044	36.0	151.0	151	27.27272727272727	28.786344999999997
WBP-4_S8_R2_001										19.6599289541942	37.0	151.0	151	27.27272727272727	28.786344999999997
WBP-5_S9	2.7399799999999996	85.0428	6099.114848	47.495504	36.8425	100.0	100.0	151.0	151.0						
WBP-5_S9_R1_001										24.740809705957872	36.0	151.0	151	27.27272727272727	23.747752
WBP-5_S9_R2_001										22.36383495531514	37.0	151.0	151	27.27272727272727	23.747752
WBP-6_S10	2.79123	85.1053	6476.163600999999	50.394604	36.8023	100.0	100.0	151.0	151.0						
WBP-6_S10_R1_001										21.35581061853688	36.0	151.0	151	27.27272727272727	25.197302
WBP-6_S10_R2_001										19.20606118754135	37.0	151.0	151	27.27272727272727	25.197302
WBP-7_S11	3.1286899999999997	84.6024	6935.1601359999995	54.287122	36.024	100.0	100.0	151.0	151.0						
WBP-7_S11_R1_001										24.592096637756825	35.0	151.0	151	27.27272727272727	27.143561
WBP-7_S11_R2_001										21.961864581291067	36.0	151.0	151	27.27272727272727	27.143561
WBP-8_S12	2.81599	86.62729999999999	2485.829619	19.003756	39.6156	100.0	100.0	151.0	151.0						
WBP-8_S12_R1_001										19.702842054597724	39.0	151.0	151	27.27272727272727	9.501878
WBP-8_S12_R2_001										18.150288109386494	39.0	151.0	151	27.27272727272727	9.501878
WZP-10_S41	2.4899299999999998	83.2231	5327.1972319999995	42.3914	36.0216	100.0	100.0	151.0	151.0						
WZP-10_S41_R1_001										19.065850860061275	35.0	151.0	151	27.27272727272727	21.1957
WZP-10_S41_R2_001										16.93195403392879	36.0	151.0	151	27.27272727272727	21.1957
WZP-11_S42	2.35805	84.5861	6787.614301	53.142385999999995	36.2789	100.0	100.0	151.0	151.0						
WZP-11_S42_R1_001										20.37838583705674	36.0	151.0	151	27.27272727272727	26.571192999999997
WZP-11_S42_R2_001										18.132303289880014	36.0	151.0	151	27.27272727272727	26.571192999999997
WZP-12_S43	2.5183400000000002	84.8666	5213.10993	40.680222	35.9369	100.0	100.0	151.0	151.0						
WZP-12_S43_R1_001										18.137983460555347	35.0	151.0	151	27.27272727272727	20.340111
WZP-12_S43_R2_001										16.22384549748817	36.0	151.0	151	27.27272727272727	20.340111
WZP-13_S44	2.69389	85.1996	3536.849248	27.491723999999998	37.6695	100.0	100.0	151.0	151.0						
WZP-13_S44_R1_001										17.54600054110128	37.0	151.0	151	27.27272727272727	13.745861999999999
WZP-13_S44_R2_001										15.79638816139412	37.0	151.0	151	27.27272727272727	13.745861999999999
WZP-14_S45	2.91681	85.9059	3940.3144159999997	30.376019999999997	37.719500000000004	100.0	100.0	151.0	151.0						
WZP-14_S45_R1_001										19.551479394576702	37.0	151.0	151	27.27272727272727	15.188009999999998
WZP-14_S45_R2_001										17.809737188196905	38.0	151.0	151	27.27272727272727	15.188009999999998
WZP-1_S32	2.40307	84.2341	5437.0832	42.74657	36.3921	100.0	100.0	151.0	151.0						
WZP-1_S32_R1_001										16.309754927805983	36.0	151.0	151	27.27272727272727	21.373285
WZP-1_S32_R2_001										14.434025398580644	36.0	151.0	151	27.27272727272727	21.373285
WZP-2_S33	2.7238100000000003	86.1912	3594.829492	27.620934	39.772600000000004	100.0	100.0	151.0	151.0						
WZP-2_S33_R1_001										17.95025543860274	39.0	151.0	151	27.27272727272727	13.810467
WZP-2_S33_R2_001										16.34368263160347	40.0	151.0	151	27.27272727272727	13.810467
WZP-3_S34	2.70952	85.2145	4907.888127	38.142047999999996	38.029	100.0	100.0	151.0	151.0						
WZP-3_S34_R1_001										14.905252713265938	37.0	151.0	151	27.27272727272727	19.071023999999998
WZP-3_S34_R2_001										13.324535468753112	38.0	151.0	151	27.27272727272727	19.071023999999998
WZP-4_S35	3.08847	85.80290000000001	3473.884698	26.81244	38.518	100.0	100.0	151.0	151.0						
WZP-4_S35_R1_001										17.324277646942647	38.0	151.0	151	27.27272727272727	13.40622
WZP-4_S35_R2_001										15.687003574539517	38.0	151.0	151	27.27272727272727	13.40622
WZP-5_S36	2.4617199999999997	83.8854	3781.985236	29.857708	36.5544	100.0	100.0	151.0	151.0						
WZP-5_S36_R1_001										13.51822353474509	36.0	151.0	151	27.27272727272727	14.928854
WZP-5_S36_R2_001										11.672491524626622	36.0	151.0	151	27.27272727272727	14.928854
WZP-6_S37	2.57668	84.8439	3385.787045	26.42785	36.6351	100.0	100.0	151.0	151.0						
WZP-6_S37_R1_001										19.56309732475124	36.0	151.0	151	27.27272727272727	13.213925
WZP-6_S37_R2_001										17.60172351182848	36.0	151.0	151	27.27272727272727	13.213925
WZP-7_S38	2.6823900000000003	85.4318	3438.4911119999997	26.654567999999998	38.658300000000004	100.0	100.0	151.0	151.0						
WZP-7_S38_R1_001										18.45168064335344	38.0	151.0	151	27.27272727272727	13.327283999999999
WZP-7_S38_R2_001										16.771220823220858	38.0	151.0	151	27.27272727272727	13.327283999999999
WZP-8_S39	2.91268	85.45819999999999	4308.290022	33.386739999999996	38.825500000000005	100.0	100.0	151.0	151.0						
WZP-8_S39_R1_001										18.915468679694683	38.0	151.0	151	27.27272727272727	16.693369999999998
WZP-8_S39_R2_001										17.256830126551705	39.0	151.0	151	27.27272727272727	16.693369999999998
WZP-9_S40	2.6258	84.4866	5676.4893759999995	44.495408	38.2634	100.0	100.0	151.0	151.0						
WZP-9_S40_R1_001										16.486767718486533	38.0	151.0	151	27.27272727272727	22.247704
WZP-9_S40_R2_001										14.608721998911633	38.0	151.0	151	27.27272727272727	22.247704
