Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CZP-1_S3	2.9038399999999998	85.9652	5080.131805	39.13588	40.1369	100.0	100.0	151.0	151.0						
CZP-1_S3_R1_001										16.362559585092555	39.0	151.0	151	27.27272727272727	19.56794
CZP-1_S3_R2_001										15.021950661089988	40.0	151.0	151	27.27272727272727	19.56794
CZP-2_S4	2.99391	86.5985	12840.741089	98.19802	39.974199999999996	100.0	100.0	151.0	151.0						
CZP-2_S4_R1_001										24.13495754683659	39.0	151.0	151	27.27272727272727	49.09901
CZP-2_S4_R2_001										22.540115040560906	40.0	151.0	151	27.27272727272727	49.09901
ELP-1_S49	3.10561	85.4477	9797.894838999999	75.93734599999999	37.3478	100.0	100.0	151.0	151.0						
ELP-1_S49_R1_001										21.441507909392215	37.0	151.0	151	27.27272727272727	37.968672999999995
ELP-1_S49_R2_001										19.36425655542297	37.0	151.0	151	27.27272727272727	37.968672999999995
FRUpstream-1_S1	3.03999	86.1573	1444.070534	11.099912	36.4542	100.0	100.0	151.0	151.0						
FRUpstream-1_S1_R1_001										12.39274582108213	36.0	151.0	151	27.27272727272727	5.549956
FRUpstream-1_S1_R2_001										11.317870647947018	36.0	151.0	151	27.27272727272727	5.549956
FRUpstream-2_S2	2.88349	85.9868	1243.693573	9.578655999999999	36.3001	100.0	100.0	151.0	151.0						
FRUpstream-2_S2_R1_001										11.447584851829959	36.0	151.0	151	27.27272727272727	4.789327999999999
FRUpstream-2_S2_R2_001										10.383876833371417	36.0	151.0	151	27.27272727272727	4.789327999999999
FZP-1_S50	2.72283	84.6157	4327.28899	33.867882	36.364999999999995	100.0	100.0	151.0	151.0						
FZP-1_S50_R1_001										16.246227991599056	36.0	151.0	151	27.27272727272727	16.933941
FZP-1_S50_R2_001										14.394385405923913	36.0	151.0	151	27.27272727272727	16.933941
FZP-2_S51	3.07443	86.1788	3496.1428029999997	26.866529999999997	39.1102	100.0	100.0	151.0	151.0						
FZP-2_S51_R1_001										15.909746043609488	38.0	151.0	151	27.27272727272727	13.433264999999999
FZP-2_S51_R2_001										14.616128764288035	39.0	151.0	151	27.27272727272727	13.433264999999999
FZP-3_S52	2.70876	86.51689999999999	3253.414758	24.903564	40.2308	100.0	100.0	151.0	151.0						
FZP-3_S52_R1_001										15.064197978834471	40.0	151.0	151	27.27272727272727	12.451782
FZP-3_S52_R2_001										13.93415667204566	40.0	151.0	151	27.27272727272727	12.451782
HFP-1_S53	3.2328500000000004	86.4722	3058.39673	23.422884	41.1834	100.0	100.0	151.0	151.0						
HFP-1_S53_R1_001										16.064025288057962	41.0	151.0	151	27.27272727272727	11.711442
HFP-1_S53_R2_001										15.03578282095745	41.0	151.0	151	27.27272727272727	11.711442
KTP-10_S22	2.47947	84.2552	8342.843734	65.575306	37.543	100.0	100.0	151.0	151.0						
KTP-10_S22_R1_001										18.116715182672934	37.0	151.0	151	27.27272727272727	32.787653
KTP-10_S22_R2_001										16.09554085859051	37.0	151.0	151	27.27272727272727	32.787653
KTP-11_S23	2.26633	85.0209	3260.745191	25.39885	41.3136	100.0	100.0	151.0	151.0						
KTP-11_S23_R1_001										12.465661279708144	41.0	151.0	151	36.36363636363637	12.699425
KTP-11_S23_R2_001										11.211920821633413	41.0	151.0	151	36.36363636363637	12.699425
KTP-12_S24	2.93365	86.0846	4491.625127	34.554214	39.9893	100.0	100.0	151.0	151.0						
KTP-12_S24_R1_001										17.4808096287735	39.0	151.0	151	27.27272727272727	17.277107
KTP-12_S24_R2_001										16.140520221797345	40.0	151.0	151	27.27272727272727	17.277107
KTP-13_S25	2.6040799999999997	85.4268	3829.1613399999997	29.684696	39.3851	100.0	100.0	151.0	151.0						
KTP-13_S25_R1_001										10.490545770218944	39.0	151.0	151	27.27272727272727	14.842348
KTP-13_S25_R2_001										9.358866596818572	39.0	151.0	151	27.27272727272727	14.842348
KTP-14_S26	2.26821	84.5701	4632.087305999999	36.272962	38.643499999999996	100.0	100.0	151.0	151.0						
KTP-14_S26_R1_001										15.44016795783017	38.0	151.0	151	27.27272727272727	18.136481
KTP-14_S26_R2_001										13.749573284440359	39.0	151.0	151	27.27272727272727	18.136481
KTP-15_S27	2.63269	84.3622	4338.6485569999995	34.058811999999996	36.7844	100.0	100.0	151.0	151.0						
KTP-15_S27_R1_001										12.818228067389143	36.0	151.0	151	27.27272727272727	17.029405999999998
KTP-15_S27_R2_001										11.298086952182771	37.0	151.0	151	27.27272727272727	17.029405999999998
KTP-16_S28	2.46697	84.2679	3474.893438	27.30877	38.5054	100.0	100.0	151.0	151.0						
KTP-16_S28_R1_001										12.999900419105899	38.0	151.0	151	27.27272727272727	13.654385
KTP-16_S28_R2_001										11.443885153203652	38.0	151.0	151	27.27272727272727	13.654385
KTP-17_S29	2.65677	84.6122	4187.324041	32.773776	36.870000000000005	100.0	100.0	151.0	151.0						
KTP-17_S29_R1_001										13.46587790317416	36.0	151.0	151	27.27272727272727	16.386888
KTP-17_S29_R2_001										12.054701519031894	37.0	151.0	151	27.27272727272727	16.386888
KTP-18_S30	3.01539	85.10079999999999	4250.239294	33.07523	37.0385	100.0	100.0	151.0	151.0						
KTP-18_S30_R1_001										14.708249325982663	36.0	151.0	151	27.27272727272727	16.537615
KTP-18_S30_R2_001										13.15404510682005	37.0	151.0	151	27.27272727272727	16.537615
KTP-19_S31	2.60535	84.2474	6813.204296999999	53.557218	36.1452	100.0	100.0	151.0	151.0						
KTP-19_S31_R1_001										19.282710244020222	35.0	151.0	151	27.27272727272727	26.778609
KTP-19_S31_R2_001										16.95462794625415	36.0	151.0	151	27.27272727272727	26.778609
KTP-1_S13	2.57937	85.0239	3082.155374	24.006926	39.8028	100.0	100.0	151.0	151.0						
KTP-1_S13_R1_001										11.263476987266543	39.0	151.0	151	36.36363636363637	12.003463
KTP-1_S13_R2_001										10.021757400643608	40.0	151.0	151	27.27272727272727	12.003463
KTP-2_S14	3.06007	84.639	7313.627385	57.224916	36.6448	100.0	100.0	151.0	151.0						
KTP-2_S14_R1_001										18.74871539360427	36.0	151.0	151	27.27272727272727	28.612458
KTP-2_S14_R2_001										16.783958194961272	36.0	151.0	151	27.27272727272727	28.612458
KTP-3_S15	2.28084	84.10379999999999	4105.100925	32.324462	38.988099999999996	100.0	100.0	151.0	151.0						
KTP-3_S15_R1_001										12.4697362101128	38.0	151.0	151	27.27272727272727	16.162231
KTP-3_S15_R2_001										11.019013484280151	39.0	151.0	151	27.27272727272727	16.162231
KTP-4_S16	2.47908	84.1884	4513.221399	35.502382	37.3455	100.0	100.0	151.0	151.0						
KTP-4_S16_R1_001										11.39204925093857	37.0	151.0	151	27.27272727272727	17.751191
KTP-4_S16_R2_001										10.030256136630527	37.0	151.0	151	27.27272727272727	17.751191
KTP-5_S17	2.93201	84.9757	8269.338447	64.446454	38.4999	100.0	100.0	151.0	151.0						
KTP-5_S17_R1_001										19.405118251434743	38.0	151.0	151	27.27272727272727	32.223227
KTP-5_S17_R2_001										17.452590061336196	38.0	151.0	151	27.27272727272727	32.223227
KTP-6_S18	2.55671	85.50710000000001	3072.1453659999997	23.793744	39.5051	100.0	100.0	151.0	151.0						
KTP-6_S18_R1_001										14.440518453529265	39.0	151.0	151	27.27272727272727	11.896872
KTP-6_S18_R2_001										13.2822708873437	39.0	151.0	151	27.27272727272727	11.896872
KTP-7_S19	2.2114100000000003	84.2557	2795.714794	21.974372	46.4292	100.0	100.0	151.0	151.0						
