Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ELP-1_S49_R2_001 - illumina_universal_adapter	(1, 1.3168750985845621e-05)	(2, 2.1070001577352994e-05)	(3, 2.3703751774522117e-05)	(4, 3.6872502760367736e-05)	(5, 5.0041253746213356e-05)	(6, 6.057625453488985e-05)	(7, 8.428000630941198e-05)	(8, 9.74487572952576e-05)	(9, 0.00010535000788676497)	(10, 0.0001696135126976916)	(15, 0.00043562228261177316)	(20, 0.0010635083296168923)	(25, 0.002578968193068006)	(30, 0.005217459140592035)	(35, 0.009890785490448929)	(40, 0.01814443185833753)	(45, 0.030906005063700802)	(50, 0.04962986196541554)	(55, 0.0750550328688074)	(60, 0.1091052089178887)	(65, 0.15230239940173837)	(70, 0.2072292597637005)	(75, 0.2745542358038165)	(80, 0.3556932316280846)	(85, 0.45028015595909815)	(90, 0.5593990603780121)	(95, 0.6790845705879687)	(100, 0.8087915002981536)	(105, 0.9529903770932421)	(110, 1.1227777173039466)	(115, 1.3121359284797758)	(120, 1.522861228255199)	(125, 1.7558454044469767)	(130, 2.0124090194039703)	(135, 2.2953180375832463)	(140, 2.4775635429766005)
ELP-1_S49_R2_001 - polya	(1, 0.00835688937561763)	(2, 0.021391319101407628)	(3, 0.031325824845129566)	(4, 0.04090477431223367)	(5, 0.05095516506463105)	(6, 0.06092127581071901)	(7, 0.07067405279083627)	(8, 0.07928641593557931)	(9, 0.08832017911186942)	(10, 0.1138080332699539)	(15, 0.15046825576442982)	(20, 0.18372251250392657)	(25, 0.21651375595876104)	(30, 0.24854068510637709)	(35, 0.2802736877319889)	(40, 0.31191187535050274)	(45, 0.3438160717389307)	(50, 0.37538367485216034)	(55, 0.4064708819294264)	(60, 0.437744558520652)	(65, 0.4686637323353386)	(70, 0.49988736767281805)	(75, 0.5310309370043035)	(80, 0.562448943106334)	(85, 0.5938406117063928)	(90, 0.6252738935595669)	(95, 0.6574678024696834)	(100, 0.6897228143843742)	(105, 0.7262819008712789)	(110, 0.7687748265524055)	(115, 0.8149118090063352)	(120, 0.8655240597952949)	(125, 0.9211804689618729)	(130, 0.9822202635314646)	(135, 1.0486629332555286)	(140, 1.0950053482248379)
FRUpstream-1_S1_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.8018160864698748e-05)	(4, 1.8018160864698748e-05)	(5, 1.8018160864698748e-05)	(6, 1.8018160864698748e-05)	(7, 1.8018160864698748e-05)	(8, 3.6036321729397496e-05)	(9, 5.4054482594096244e-05)	(10, 7.207264345879499e-05)	(15, 0.00012612712605289124)	(20, 0.0002846869416622402)	(25, 0.00046486855030922767)	(30, 0.0007135191702420704)	(35, 0.0011711804562054185)	(40, 0.0017225361786652002)	(45, 0.0026198405897271976)	(50, 0.003754984724203219)	(55, 0.005610855293267189)	(60, 0.008302768526453183)	(65, 0.011711804562054185)	(70, 0.015737061699227888)	(75, 0.02054791065010245)	(80, 0.02645786741372364)	(85, 0.033301164910136224)	(90, 0.04218051458425977)	(95, 0.052522938920596854)	(100, 0.06567979998399988)	(105, 0.08146010526930304)	(110, 0.10131972217437399)	(115, 0.12482261120628704)	(120, 0.15419581704791893)	(125, 0.18952222323924733)	(130, 0.2344847418610166)	(135, 0.291339246653487)	(140, 0.3296422530196636)
FRUpstream-1_S1_R1_001 - polya	(1, 0.007441500437120583)	(2, 0.020468630742297777)	(3, 0.029099329796488476)	(4, 0.03686515712917364)	(5, 0.04428863940542952)	(6, 0.05236077547281456)	(7, 0.05917164027967069)	(8, 0.06560412370836814)	(9, 0.07178435288495981)	(10, 0.08969080115229741)	(15, 0.11533424769493668)	(20, 0.1384263226591346)	(25, 0.16010577381154012)	(30, 0.1803834120486721)	(35, 0.20161961644380605)	(40, 0.22405943398470188)	(45, 0.24625060090566486)	(50, 0.26778590677115277)	(55, 0.29004193907122866)	(60, 0.31193400452183767)	(65, 0.34043152774544516)	(70, 0.36427676183378754)	(75, 0.3875490184066324)	(80, 0.4108717258298985)	(85, 0.4343638039652927)	(90, 0.45817300173190556)	(95, 0.482378599037542)	(100, 0.5073625808925332)	(105, 0.5314312401755977)	(110, 0.5559287316872422)	(115, 0.580646044761436)	(120, 0.6057309283172695)	(125, 0.6311905896190888)	(130, 0.6570502540921046)	(135, 0.6820918940618628)	(140, 0.6983658969548587)
FRUpstream-1_S1_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 1.8018160864698748e-05)	(3, 1.8018160864698748e-05)	(4, 1.8018160864698748e-05)	(5, 1.8018160864698748e-05)	(6, 1.8018160864698748e-05)	(7, 1.8018160864698748e-05)	(8, 1.8018160864698748e-05)	(9, 3.6036321729397496e-05)	(10, 7.207264345879499e-05)	(15, 0.00028829057383517997)	(20, 0.0009621697901749133)	(25, 0.002111728453342693)	(30, 0.004191024217128928)	(35, 0.006962217358119596)	(40, 0.01049017325542761)	(45, 0.015632556366212635)	(50, 0.02171188384196199)	(55, 0.029535369289414186)	(60, 0.03871742406606467)	(65, 0.04911029925282291)	(70, 0.06126535057214868)	(75, 0.07553213034481716)	(80, 0.09186018772040716)	(85, 0.10907473861054036)	(90, 0.1280802946906246)	(95, 0.14786783895223674)	(100, 0.16916170146213771)	(105, 0.1930573864009012)	(110, 0.2225675302651048)	(115, 0.25502904887894606)	(120, 0.29235547092625597)	(125, 0.33432697484448526)	(130, 0.3854661190106733)	(135, 0.44684678581235604)	(140, 0.48692277920761895)
FRUpstream-1_S1_R2_001 - polya	(1, 0.012198294905401051)	(2, 0.027261477388289206)	(3, 0.03807237390710845)	(4, 0.04785623525663987)	(5, 0.05942389453177647)	(6, 0.07135191702420704)	(7, 0.08160425055622063)	(8, 0.09077549443635229)	(9, 0.09969448406437817)	(10, 0.12731632466996134)	(15, 0.16793286289116527)	(20, 0.20326287271466653)	(25, 0.2384307190903856)	(30, 0.2734904565009164)	(35, 0.3081033435220027)	(40, 0.3432892080585864)	(45, 0.37856876703166653)	(50, 0.4132212940066552)	(55, 0.45180178005014815)	(60, 0.49201471146798276)	(65, 0.5261951626283163)	(70, 0.5609774203615309)	(75, 0.5962677902311297)	(80, 0.6326500606491295)	(85, 0.6688053022402339)	(90, 0.7027731391023642)	(95, 0.736326558264606)	(100, 0.7673790566988279)	(105, 0.8001576949438878)	(110, 0.8357795989733973)	(115, 0.8708609581769657)	(120, 0.9072756612845219)	(125, 0.9417407993865176)	(130, 0.9767032387283792)	(135, 1.0133161416054468)	(140, 1.0364766855809306)
FRUpstream-2_S2_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 2.087975599081959e-05)	(3, 2.087975599081959e-05)	(4, 4.175951198163918e-05)	(5, 4.175951198163918e-05)	(6, 4.175951198163918e-05)	(7, 4.175951198163918e-05)	(8, 6.263926797245877e-05)	(9, 6.263926797245877e-05)	(10, 0.00015033424313390105)	(15, 0.0002380292182953433)	(20, 0.0003883634614292444)	(25, 0.0005428736557613093)	(30, 0.0007892547764529803)	(35, 0.0012945448714308146)	(40, 0.001879178039173763)	(45, 0.0027352480347973664)	(50, 0.004130015734984114)	(55, 0.0058087481166460096)	(60, 0.008201568153193934)	(65, 0.010782305993659235)	(70, 0.013688768027581321)	(75, 0.01739283674035272)	(80, 0.02199055900953119)	(85, 0.027887002101338643)	(90, 0.03450170879923029)	(95, 0.042770092171594845)	(100, 0.05363591718921736)	(105, 0.06656466209873285)	(110, 0.08296362245392255)	(115, 0.10240685123257376)	(120, 0.12605526286777602)	(125, 0.15448931457607412)	(130, 0.18935015517834652)	(135, 0.2348805510919277)	(140, 0.2666344840027661)
FRUpstream-2_S2_R1_001 - polya	(1, 0.006911199232961284)	(2, 0.01824890673597632)	(3, 0.026600809132304157)	(4, 0.034305439092916584)	(5, 0.04213534758947393)	(6, 0.049547660966214886)	(7, 0.057189651658854854)	(8, 0.06403821162384368)	(9, 0.06984278378929153)	(10, 0.08693077609217828)	(15, 0.11412457029462171)	(20, 0.13794001997775052)	(25, 0.15927913060036816)	(30, 0.18182509111925516)	(35, 0.2037655387144084)	(40, 0.22579368128472305)	(45, 0.2480389733173422)	(50, 0.26981655881576705)	(55, 0.2922205369939165)	(60, 0.31426955932022194)	(65, 0.3477648638806947)	(70, 0.3742946818426301)	(75, 0.39765495284515906)	(80, 0.42157897725944016)	(85, 0.4451062863098956)	(90, 0.46925998804007574)	(95, 0.49368930254933474)	(100, 0.5183775260328798)	(105, 0.5440470980479933)	(110, 0.5690986292857787)	(115, 0.5944257733026429)	(120, 0.6210808698005231)	(125, 0.6463495505006132)	(130, 0.6725452923666954)	(135, 0.7000815145673881)	(140, 0.7163844280450201)
FRUpstream-2_S2_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.087975599081959e-05)	(4, 2.087975599081959e-05)	(5, 2.087975599081959e-05)	(6, 2.087975599081959e-05)	(7, 2.087975599081959e-05)	(8, 2.087975599081959e-05)	(9, 2.087975599081959e-05)	(10, 8.351902396327837e-05)	(15, 0.00026308492548432683)	(20, 0.0007474952644713412)	(25, 0.0019376413559480579)	(30, 0.003507799006457691)	(35, 0.006176231822084434)	(40, 0.009951291705224616)	(45, 0.014820450802283744)	(50, 0.021334934671419455)	(55, 0.029444631898253783)	(60, 0.0386191966806199)	(65, 0.04843268199630511)	(70, 0.059749509743329335)	(75, 0.07314596118703917)	(80, 0.08807498672047517)	(85, 0.10449900278285387)	(90, 0.12181667240163965)	(95, 0.1404205349894599)	(100, 0.1599556346944707)	(105, 0.18145760741381672)	(110, 0.20767005308469164)	(115, 0.23685160005746111)	(120, 0.2698207347669652)	(125, 0.30747946267200743)	(130, 0.3498277837725877)	(135, 0.3994422599579733)	(140, 0.43273294290973596)
FRUpstream-2_S2_R2_001 - polya	(1, 0.01175530262283143)	(2, 0.026788726936221533)	(3, 0.03697804785974149)	(4, 0.04685417244339916)	(5, 0.057273170682818134)	(6, 0.06765040941025546)	(7, 0.07733861618999575)	(8, 0.08700594321374523)	(9, 0.09633919414164158)	(10, 0.12321561605302456)	(15, 0.1637515743336017)	(20, 0.20074632599813585)	(25, 0.23677643293589418)	(30, 0.2722427864619003)	(35, 0.3082728933996585)	(40, 0.34509643106506804)	(45, 0.38037069083595865)	(50, 0.41447568427136333)	(55, 0.45519120845346156)	(60, 0.5000993876385162)	(65, 0.5341166860987596)	(70, 0.569106981188175)	(75, 0.6040889243751942)	(80, 0.6398434185338737)	(85, 0.6736477434830106)	(90, 0.7072474468234374)	(95, 0.74078868684709)	(100, 0.7726511944890807)	(105, 0.8064471675358214)	(110, 0.8424522187663908)	(115, 0.8780814343891252)	(120, 0.9137774652310302)	(125, 0.9486048982237174)	(130, 0.9829395689750211)	(135, 1.0188778049864198)	(140, 1.041377830042127)
