Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
FZP-2_S51_R1_001	(1.0, 75.99682779252672)	(2.0, 11.333574619077426)	(3.0, 3.4028809578567847)	(4.0, 1.9020289432498974)	(5.0, 1.3175857208828643)	(6.0, 0.9799908426832072)	(7.0, 0.6977128113137117)	(8.0, 0.5532510643403308)	(9.0, 0.4302050609148528)	('>10', 2.6524746152789396)	('>50', 0.5773886598891483)	('>100', 0.1560789119862604)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FZP-2_S51_R2_001	(1.0, 77.90887950083278)	(2.0, 10.453197894873137)	(3.0, 3.1951671527874073)	(4.0, 1.783207618127982)	(5.0, 1.1635682923483825)	(6.0, 0.901281364867056)	(7.0, 0.6419726309350849)	(8.0, 0.5156235031031082)	(9.0, 0.39030996283639136)	('>10', 2.4077869871193034)	('>50', 0.5091105297043766)	('>100', 0.12989456246500672)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FZP-3_S52_R1_001	(1.0, 77.46442367571525)	(2.0, 10.208026362844262)	(3.0, 3.129303721964548)	(4.0, 1.9312238064761)	(5.0, 1.334182714983592)	(6.0, 1.0176397841757774)	(7.0, 0.7003925498935285)	(8.0, 0.5506129134884914)	(9.0, 0.4304278821055146)	('>10', 2.818174408800607)	('>50', 0.367231633579746)	('>100', 0.04836054597254437)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
FZP-3_S52_R2_001	(1.0, 79.01652156238566)	(2.0, 9.71282620743724)	(3.0, 2.990392408206526)	(4.0, 1.7254675820735317)	(5.0, 1.201135845271528)	(6.0, 0.9021505953520329)	(7.0, 0.7017096942322087)	(8.0, 0.4810788220873919)	(9.0, 0.41101368914872444)	('>10', 2.5141123791196027)	('>50', 0.31688244535838)	('>100', 0.02670876932719157)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HFP-1_S53_R1_001	(1.0, 75.92112884841394)	(2.0, 10.942069223702108)	(3.0, 3.5060648125053877)	(4.0, 1.8911967472530367)	(5.0, 1.4006504735137368)	(6.0, 1.075432530654584)	(7.0, 0.8095260504690439)	(8.0, 0.606858541959467)	(9.0, 0.5487857653722533)	('>10', 2.7333104635091527)	('>50', 0.5102047958117895)	('>100', 0.05477174683537427)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HFP-1_S53_R2_001	(1.0, 77.3673239078212)	(2.0, 10.456204580990752)	(3.0, 3.205634261872771)	(4.0, 1.8164476524498658)	(5.0, 1.3394659101583357)	(6.0, 1.0260031485846828)	(7.0, 0.778139900265262)	(8.0, 0.589612528170575)	(9.0, 0.47157384376808853)	('>10', 2.4627576503513287)	('>50', 0.45111072180931583)	('>100', 0.035725893757824444)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-10_S22_R1_001	(1.0, 74.31991605148193)	(2.0, 10.263690009390224)	(3.0, 2.678817936792508)	(4.0, 1.5538493396436026)	(5.0, 1.239492949606367)	(6.0, 1.1491047684519298)	(7.0, 0.9809476777690002)	(8.0, 0.9865773889349)	(9.0, 0.8408147440255738)	('>10', 4.97535004332762)	('>50', 0.5039584425049484)	('>100', 0.5051787943492763)	('>500', 0.0023018537221768474)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-10_S22_R2_001	(1.0, 77.12287278123821)	(2.0, 9.09591051887723)	(3.0, 2.4714451052797775)	(4.0, 1.4506049357006205)	(5.0, 1.1619598828750526)	(6.0, 1.1055461222531446)	(7.0, 1.0116993428205543)	(8.0, 0.8661226890649706)	(9.0, 0.7342114080194663)	('>10', 4.167043453942951)	('>50', 0.4268646132826256)	('>100', 0.38327987172522276)	('>500', 0.0024392749200767513)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-11_S23_R1_001	(1.0, 80.74505597314392)	(2.0, 9.776961141731654)	(3.0, 2.787387738501965)	(4.0, 1.5145002588866592)	(5.0, 1.0976089146131083)	(6.0, 0.728027389631199)	(7.0, 0.5268635808578231)	(8.0, 0.3588622139834977)	(9.0, 0.25842947682958634)	('>10', 1.6392508680432534)	('>50', 0.48857091650848194)	('>100', 0.07848152726887515)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-11_S23_R2_001	(1.0, 82.60631898360296)	(2.0, 8.940301132563574)	(3.0, 2.5227038767679266)	(4.0, 1.4456853947478359)	(5.0, 0.8985799639239469)	(6.0, 0.6551216509183371)	(7.0, 0.441286125506225)	(8.0, 0.33541477291299754)	(9.0, 0.2183562713190917)	('>10', 1.467153754756598)	('>50', 0.43026801082336585)	('>100', 0.03881006215714161)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-12_S24_R1_001	(1.0, 74.24329848315665)	(2.0, 11.51547589497987)	(3.0, 3.3797488610056674)	(4.0, 1.929446886368549)	(5.0, 1.3074303896893307)	(6.0, 1.0005470947684667)	(7.0, 0.780856610075771)	(8.0, 0.5922936488008577)	(9.0, 0.46267342750498663)	('>10', 3.7000407473446426)	('>50', 0.7525083443341233)	('>100', 0.3356796119710353)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-12_S24_R2_001	(1.0, 76.19361908614869)	(2.0, 10.595575914739316)	(3.0, 3.2546110025667896)	(4.0, 1.7980064070278294)	(5.0, 1.1933276246363997)	(6.0, 0.9293375031441233)	(7.0, 0.6799093997203285)	(8.0, 0.5996833944454222)	(9.0, 0.4771511206874704)	('>10', 3.3098157448967926)	('>50', 0.6837529547011186)	('>100', 0.28520984728576293)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-13_S25_R1_001	(1.0, 83.07578846667319)	(2.0, 9.616154244076158)	(3.0, 2.587804654587951)	(4.0, 1.3393997613569768)	(5.0, 0.8502515566792477)	(6.0, 0.5901989209845262)	(7.0, 0.3639508564564964)	(8.0, 0.23327046181722005)	(9.0, 0.16531005583724964)	('>10', 1.0050174545438788)	('>50', 0.1366593279531718)	('>100', 0.03619423903390709)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-13_S25_R2_001	(1.0, 84.76825400995315)	(2.0, 8.896232842183126)	(3.0, 2.255885078972826)	(4.0, 1.1995655010256894)	(5.0, 0.7593631442489476)	(6.0, 0.5598660522648098)	(7.0, 0.2906162040001797)	(8.0, 0.18317600050173766)	(9.0, 0.13761287271563313)	('>10', 0.8382462761376429)	('>50', 0.0798119808806942)	('>100', 0.031370037115529735)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-14_S26_R1_001	(1.0, 77.12895733118629)	(2.0, 10.104603953949672)	(3.0, 3.0492150459103144)	(4.0, 1.8646442322607755)	(5.0, 1.3643004533343424)	(6.0, 1.0691757997646651)	(7.0, 0.8229819679609028)	(8.0, 0.6495382503537848)	(9.0, 0.526043794484677)	('>10', 2.7319034321837234)	('>50', 0.56718798035331)	('>100', 0.11500441892072497)	('>500', 0.0064433393368730045)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-14_S26_R2_001	(1.0, 79.56676636917915)	(2.0, 9.070126521621603)	(3.0, 2.744217780653462)	(4.0, 1.742002317224824)	(5.0, 1.2682200229981397)	(6.0, 0.9797162328207716)	(7.0, 0.7037158339832542)	(8.0, 0.5888118007844741)	(9.0, 0.41713833402202305)	('>10', 2.3321541706754294)	('>50', 0.4830213822215385)	('>100', 0.09784272115107913)	('>500', 0.006266512664300616)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-15_S27_R1_001	(1.0, 79.73116264342599)	(2.0, 10.949331021639148)	(3.0, 3.009390587739477)	(4.0, 1.5914846905622018)	(5.0, 1.112805451570262)	(6.0, 0.7354275203789663)	(7.0, 0.49792449974520514)	(8.0, 0.34658442613153145)	(9.0, 0.2607543547642482)	('>10', 1.3460194911488204)	('>50', 0.35608221353453756)	('>100', 0.06303309935956028)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-15_S27_R2_001	(1.0, 82.03435612656078)	(2.0, 9.862000405250996)	(3.0, 2.690298739182079)	(4.0, 1.4681794578482532)	(5.0, 0.9131550678310283)	(6.0, 0.5816223116838525)	(7.0, 0.42283812434137913)	(8.0, 0.27835156927109933)	(9.0, 0.19637267425921334)	('>10', 1.2246454718724435)	('>50', 0.28335496810453)	('>100', 0.04482508379434931)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-16_S28_R1_001	(1.0, 79.81795540056991)	(2.0, 9.998129729365079)	(3.0, 3.0290123166182124)	(4.0, 1.9112812897725655)	(5.0, 1.3608620122593458)	(6.0, 0.9931310762780773)	(7.0, 0.6459674889273774)	(8.0, 0.44974275010850023)	(9.0, 0.29516985729167733)	('>10', 1.217052968646193)	('>50', 0.2601095609230301)	('>100', 0.021585549240061657)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-16_S28_R2_001	(1.0, 82.14580788059112)	(2.0, 8.952137009776871)	(3.0, 2.7286712615413986)	(4.0, 1.737407347172032)	(5.0, 1.2022759084452432)	(6.0, 0.8063235192154674)	(7.0, 0.560388217073719)	(8.0, 0.36991518418263764)	(9.0, 0.23762002554363412)	('>10', 1.0207682410082235)	('>50', 0.21712257532174203)	('>100', 0.021562830127905566)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-17_S29_R1_001	(1.0, 79.03335340033718)	(2.0, 10.637856599864303)	(3.0, 3.12776850168986)	(4.0, 1.8252234490347883)	(5.0, 1.3322382749119592)	(6.0, 0.9059243752806787)	(7.0, 0.6171047259126154)	(8.0, 0.4263444929604815)	(9.0, 0.28652006533902735)	('>10', 1.387615149915264)	('>50', 0.3484441728924145)	('>100', 0.07160679186137898)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-17_S29_R2_001	(1.0, 81.1742673943533)	(2.0, 9.620007500445652)	(3.0, 2.8617560802148048)	(4.0, 1.6897991824700112)	(5.0, 1.1365848721898373)	(6.0, 0.8078158078997911)	(7.0, 0.520627533091207)	(8.0, 0.3488870817899623)	(9.0, 0.222084677992545)	('>10', 1.2491745622826949)	('>50', 0.31759522108039573)	('>100', 0.05140008618972473)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-18_S30_R1_001	(1.0, 77.28083725156522)	(2.0, 11.479711903438368)	(3.0, 3.1545882032813255)	(4.0, 1.9134392960972566)	(5.0, 1.3595351218213274)	(6.0, 0.9194450604903606)	(7.0, 0.7091055718991115)	(8.0, 0.48616963945339753)	(9.0, 0.3343717884991093)	('>10', 1.7697594060561088)	('>50', 0.48779335429226295)	('>100', 0.10524340310614103)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-18_S30_R2_001	(1.0, 79.6024803994897)	(2.0, 10.334930945427613)	(3.0, 2.9696000152903936)	(4.0, 1.766407832380143)	(5.0, 1.2066681486279125)	(6.0, 0.8367669953304454)	(7.0, 0.5843800184968634)	(8.0, 0.4190548017351072)	(9.0, 0.29152366401351426)	('>10', 1.512652136420197)	('>50', 0.40342761719688713)	('>100', 0.07210742559126675)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-19_S31_R1_001	(1.0, 72.70612460155856)	(2.0, 10.688413280250607)	(3.0, 2.82560446468369)	(4.0, 1.6899615137222541)	(5.0, 1.502754397707137)	(6.0, 1.3761027971493103)	(7.0, 1.2781437478750928)	(8.0, 1.0617050405971713)	(9.0, 0.9252917887297237)	('>10', 4.818582772807883)	('>50', 0.5125472619000406)	('>100', 0.6147683330184579)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-19_S31_R2_001	(1.0, 75.96322903584671)	(2.0, 9.336220941579532)	(3.0, 2.562400757234485)	(4.0, 1.6709285358285646)	(5.0, 1.3952095389543169)	(6.0, 1.239074948776919)	(7.0, 1.075258651819824)	(8.0, 0.9834868690330569)	(9.0, 0.7921946022709911)	('>10', 3.964580800995634)	('>50', 0.4673952764582223)	('>100', 0.5500200412017056)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-1_S13_R1_001	(1.0, 81.78456180580113)	(2.0, 10.43085615063341)	(3.0, 2.857780409952871)	(4.0, 1.4448720453202886)	(5.0, 0.8778944081154496)	(6.0, 0.5637430811371477)	(7.0, 0.34917045187975715)	(8.0, 0.19233079172841513)	(9.0, 0.1518608229551527)	('>10', 1.1048214353362993)	('>50', 0.22246158239071578)	('>100', 0.019647014749394065)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-1_S13_R2_001	(1.0, 83.71494561290395)	(2.0, 9.490509228831515)	(3.0, 2.4865569688278617)	(4.0, 1.265467003649987)	(5.0, 0.7908642090471225)	(6.0, 0.47824717469788675)	(7.0, 0.27858691856787443)	(8.0, 0.2088320914897013)	(9.0, 0.11882438202716995)	('>10', 0.9861739226226505)	('>50', 0.17120668879221)	('>100', 0.009785798542092031)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
