Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20150415.B-CAMA_reseq_10_R1	(1.0, 69.24280151972546)	(2.0, 9.362960685466721)	(3.0, 2.9163402845095985)	(4.0, 1.738706211463035)	(5.0, 1.380711788994666)	(6.0, 1.079941549292447)	(7.0, 0.935172520814743)	(8.0, 0.8610843070042355)	(9.0, 0.7472832863801544)	('>10', 9.30427696850559)	('>50', 1.37822748988511)	('>100', 1.0333083251489004)	('>500', 0.019185062809370112)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_10_R2	(1.0, 69.6929786628831)	(2.0, 9.23593312109183)	(3.0, 2.864247168248259)	(4.0, 1.7699187352369843)	(5.0, 1.3180714229535173)	(6.0, 1.0551247344992953)	(7.0, 0.9734915210856568)	(8.0, 0.8290561825505836)	(9.0, 0.7464209971395552)	('>10', 9.064093449037296)	('>50', 1.4321343311920696)	('>100', 1.0125753680504568)	('>500', 0.005954306031332563)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_11_R1	(1.0, 71.41765495742634)	(2.0, 8.988934863093318)	(3.0, 2.539698476596859)	(4.0, 1.6425094347181104)	(5.0, 1.1866925486967226)	(6.0, 1.068507437309752)	(7.0, 0.9697913846012624)	(8.0, 0.8473305223708025)	(9.0, 0.7221758883832584)	('>10', 8.816296619553754)	('>50', 1.000766444585348)	('>100', 0.7996414226645235)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_11_R2	(1.0, 71.7135555081014)	(2.0, 8.745555855180811)	(3.0, 2.73660753038366)	(4.0, 1.661988129877643)	(5.0, 1.2030757736869384)	(6.0, 1.08690287242401)	(7.0, 0.9318499036064265)	(8.0, 0.7789756968897842)	(9.0, 0.762866451121153)	('>10', 8.698261573460222)	('>50', 0.9097936505341048)	('>100', 0.7705670547339722)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_12_R1	(1.0, 70.51632076303115)	(2.0, 8.631673402777453)	(3.0, 2.700738557729374)	(4.0, 1.7072020550259077)	(5.0, 1.269588302579601)	(6.0, 1.1427192571039582)	(7.0, 1.0181244005479384)	(8.0, 0.9402656238250274)	(9.0, 0.8092777964290101)	('>10', 9.632006775043624)	('>50', 1.2738648652570503)	('>100', 0.3549586881810567)	('>500', 0.0032595124688771563)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_12_R2	(1.0, 70.93249605123295)	(2.0, 8.611394760220987)	(3.0, 2.6480723652955196)	(4.0, 1.590049478194126)	(5.0, 1.2931492785806467)	(6.0, 1.1150620201610995)	(7.0, 1.0548121722965125)	(8.0, 0.8871032171726838)	(9.0, 0.8288632993873603)	('>10', 9.549216208308255)	('>50', 1.1550924184133597)	('>100', 0.33156094381805185)	('>500', 0.0031277869184677012)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_13_R1	(1.0, 76.65969252524887)	(2.0, 9.988092609831007)	(3.0, 2.7437372228618817)	(4.0, 1.7761892135364103)	(5.0, 1.280123888423352)	(6.0, 0.9729775385625937)	(7.0, 0.7106924483696144)	(8.0, 0.5463425018876962)	(9.0, 0.5010394928080776)	('>10', 3.889828571389246)	('>50', 0.6682154952339475)	('>100', 0.2630684918471887)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_13_R2	(1.0, 76.86053958125338)	(2.0, 10.00929332782004)	(3.0, 2.7628141337412857)	(4.0, 1.6980063663372564)	(5.0, 1.217810828629713)	(6.0, 0.9861133678377227)	(7.0, 0.7248671542160491)	(8.0, 0.5443319121074871)	(9.0, 0.44718929927164386)	('>10', 3.763601875764762)	('>50', 0.6691990000595602)	('>100', 0.31623315296105553)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_14_R1	(1.0, 73.04441306365644)	(2.0, 9.34836231684164)	(3.0, 2.9999880615750287)	(4.0, 1.858765567664398)	(5.0, 1.3799823192328375)	(6.0, 1.1584153180050816)	(7.0, 0.9991737603506351)	(8.0, 0.8348253352844002)	(9.0, 0.7223845432159182)	('>10', 6.924935876636239)	('>50', 0.5482648550542548)	('>100', 0.18048898248310158)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_14_R2	(1.0, 73.3319081881352)	(2.0, 9.265286174032173)	(3.0, 2.9692074621182267)	(4.0, 1.8598973357227817)	(5.0, 1.357952135466472)	(6.0, 1.1696023551667003)	(7.0, 0.9577419440096999)	(8.0, 0.8399702850703064)	(9.0, 0.7285577220139522)	('>10', 6.795536717035033)	('>50', 0.5280353879646784)	('>100', 0.196304293264894)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_15_R1	(1.0, 71.17625347505661)	(2.0, 8.501690228411613)	(3.0, 2.283268266277036)	(4.0, 1.433427614556071)	(5.0, 1.1636030395467254)	(6.0, 1.136688420527842)	(7.0, 1.0662350807581837)	(8.0, 0.9882945140869502)	(9.0, 1.0113457955136362)	('>10', 10.575166047091974)	('>50', 0.4691041093596551)	('>100', 0.1887348956607358)	('>500', 0.006188513152860581)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20150415.B-CAMA_reseq_15_R2	(1.0, 71.27278671965057)	(2.0, 8.439411423513977)	(3.0, 2.325269007169892)	(4.0, 1.4945133899227239)	(5.0, 1.2108033664807643)	(6.0, 1.1498165892502457)	(7.0, 0.9805357857297816)	(8.0, 0.9428156715527085)	(9.0, 0.9738558197783163)	('>10', 10.571198249411745)	('>50', 0.43217171441930047)	('>100', 0.20682226311980098)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
