Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
20150415.B-CAMA_reseq_15_R1 - polya	(1, 0.002249437946748677)	(2, 0.008491071457405278)	(3, 0.014504420423961146)	(4, 0.020434250654870405)	(5, 0.02670929165978565)	(6, 0.03291194976047383)	(7, 0.03904779287264473)	(8, 0.0450834135020397)	(9, 0.05060121797042568)	(10, 0.0586552080446137)	(12, 0.06893079648700154)	(14, 0.07833222216295485)	(16, 0.08752763495764654)	(18, 0.09552037795902704)	(20, 0.10293405772659106)	(22, 0.1105370466282874)	(24, 0.11826809759130852)	(26, 0.12575972817880937)	(28, 0.13316227211495385)	(30, 0.14041448232693443)	(32, 0.14788662520945106)	(34, 0.15525019373562712)	(36, 0.1625859226832543)	(38, 0.1700274420293672)	(40, 0.17763599884677328)	(42, 0.185032974867208)	(44, 0.19228796903704345)	(46, 0.19977403170883454)	(48, 0.20722947084422186)	(50, 0.214615311033237)	(52, 0.22194268810729953)	(54, 0.22907797208937486)	(56, 0.2363747256270336)	(58, 0.24337637963207437)	(60, 0.2509765845759158)	(62, 0.2586964997075174)	(64, 0.2660238767815799)	(66, 0.27328443886712517)	(68, 0.28046426617487863)	(70, 0.28803106362446146)	(72, 0.29548371880199387)	(74, 0.30276098463466844)	(76, 0.3100187627623588)	(78, 0.3174909056448754)	(80, 0.32479879501395376)	(82, 0.3325827411762178)	(84, 0.34039174295917574)	(86, 0.3482592078570863)	(88, 0.35645796373972843)	(90, 0.364152823250636)	(92, 0.37174189236305794)	(94, 0.3793142577283505)	(96, 0.3868225920629807)	(98, 0.3945619948995665)	(100, 0.40260206518448005)	(102, 0.41015494284478843)	(104, 0.417407153056769)	(106, 0.4249182713492541)	(108, 0.4327077854272279)	(110, 0.4403775893174415)	(112, 0.4482784617096107)	(114, 0.45621552555389344)
20150415.B-CAMA_reseq_15_R2 - polya	(1, 0.0067483138402460304)	(2, 0.016581252983706832)	(3, 0.024682570341427932)	(4, 0.0334965809100001)	(5, 0.042577851432641416)	(6, 0.05086291000878506)	(7, 0.05916467233205802)	(8, 0.06716019929129342)	(9, 0.07449314428106571)	(10, 0.08521416598023546)	(12, 0.09857159576798318)	(14, 0.11159216665528957)	(16, 0.12367732770335392)	(18, 0.13527808008466796)	(20, 0.14686769663456245)	(22, 0.1585658875407975)	(24, 0.17008033722861005)	(26, 0.18168665752563384)	(28, 0.19279464936663288)	(30, 0.20425898781305746)	(32, 0.21547555401039709)	(34, 0.22685915767902992)	(36, 0.23849888547031237)	(38, 0.2498435137289768)	(40, 0.261268876765433)	(42, 0.2724603873420786)	(44, 0.28362405834017534)	(46, 0.2954336075606059)	(48, 0.30710117493043726)	(50, 0.31883834124664073)	(52, 0.33065902629849087)	(54, 0.3423098899211928)	(56, 0.3539162102182166)	(58, 0.3652497026454615)	(60, 0.37694789355169656)	(62, 0.388735171109288)	(64, 0.4004667695097818)	(66, 0.41197286732402966)	(68, 0.42383809570155795)	(70, 0.4353219218529667)	(72, 0.44655797575529055)	(74, 0.45788868422468054)	(76, 0.46935859058681484)	(78, 0.4806809471826402)	(80, 0.4920923904298219)	(82, 0.5033785555735337)	(84, 0.5143473495217884)	(86, 0.5259425339873927)	(88, 0.5372008595525556)	(90, 0.5485816792633336)	(92, 0.5598650604491905)	(94, 0.5712458801599685)	(96, 0.5824346067787592)	(98, 0.5937430435853102)	(100, 0.6055386730164662)	(102, 0.6168331900337427)	(104, 0.6286538750855928)	(106, 0.6406583013558654)	(108, 0.6522117264536464)	(110, 0.6636649290686514)	(112, 0.6749483102545083)	(114, 0.6864182166166426)
20150415.B-CAMA_reseq_16_R1 - polya	(1, 0.0013329678577825087)	(2, 0.005156162031695067)	(3, 0.009033886708880548)	(4, 0.012566251532004195)	(5, 0.016498506712462595)	(6, 0.020406526113688588)	(7, 0.02432060445972268)	(8, 0.027943853454967863)	(9, 0.03151863089174822)	(10, 0.03677476551277698)	(12, 0.04350019424977055)	(14, 0.04961669903354983)	(16, 0.055430256576924006)	(18, 0.06097722054874166)	(20, 0.06582437639522351)	(22, 0.07082906480671602)	(24, 0.07557624806386419)	(26, 0.08035978498986096)	(28, 0.08497973040603898)	(30, 0.08972994313559118)	(32, 0.09457406950966898)	(34, 0.0992061328154632)	(36, 0.104050259189541)	(38, 0.10886712031198234)	(40, 0.11354765517624138)	(42, 0.11826151423694498)	(44, 0.12287843018071892)	(46, 0.12734387250429033)	(48, 0.13205167262018586)	(50, 0.13682915060137452)	(52, 0.1415611864965024)	(54, 0.1462326329435493)	(56, 0.15085560783213137)	(58, 0.15524228387319744)	(60, 0.15994402504428484)	(62, 0.1647336209150897)	(64, 0.16956865887195535)	(66, 0.17435219579795214)	(68, 0.1794023262955054)	(70, 0.18398591804283482)	(72, 0.188854280196145)	(74, 0.19365902342897015)	(76, 0.19829108673476437)	(78, 0.20301100474027606)	(80, 0.20755824281875684)	(82, 0.21229330818628878)	(84, 0.21717075875681116)	(86, 0.22205426827214164)	(88, 0.2272104303038367)	(90, 0.23239991653197634)	(92, 0.237474282808762)	(94, 0.24260015011641656)	(96, 0.247716929006859)	(98, 0.2529700341554837)	(100, 0.2582958466418056)	(102, 0.26359742334889513)	(104, 0.2690141200073386)	(106, 0.2745338187275198)	(108, 0.2798838669930741)	(110, 0.28514909003131506)	(112, 0.29078087923044615)	(114, 0.2964641694604461)
20150415.B-CAMA_reseq_16_R2 - polya	(1, 0.005828704905394424)	(2, 0.012820727213944491)	(3, 0.01918261926245192)	(4, 0.0254233324147973)	(5, 0.031754929739264214)	(6, 0.03768663670639638)	(7, 0.043260865929850505)	(8, 0.04880480042926412)	(9, 0.05409425924673744)	(10, 0.06187697385274486)	(12, 0.07107142259904012)	(14, 0.07993868832569785)	(16, 0.08825761954722233)	(18, 0.09590400789504744)	(20, 0.10368369302865081)	(22, 0.11129069823522326)	(24, 0.11892799816583623)	(26, 0.12661679912731805)	(28, 0.13441466109534572)	(30, 0.14194895896422097)	(32, 0.15002553239342134)	(34, 0.15786883644750976)	(36, 0.16530013225464726)	(38, 0.17279201750986578)	(40, 0.18036266904758963)	(42, 0.18774852276866633)	(44, 0.19498593234194456)	(46, 0.20244146392831444)	(48, 0.2098364060666033)	(50, 0.21710108089151797)	(52, 0.22470202715328233)	(54, 0.23229388499783454)	(56, 0.23978274078064898)	(58, 0.24698985562988668)	(60, 0.25470895131540905)	(62, 0.26255528484190155)	(64, 0.26976239969113924)	(66, 0.2771634007742362)	(68, 0.2844189871819387)	(70, 0.2918472535166722)	(72, 0.29938458085795144)	(74, 0.306997645009332)	(76, 0.31445317659570193)	(78, 0.3217481461446571)	(80, 0.32919458931381484)	(82, 0.3365259125316186)	(84, 0.3440511219832817)	(86, 0.3511703821328019)	(88, 0.3585986484675353)	(90, 0.3662026242017037)	(92, 0.3735127411126792)	(94, 0.3808319464408667)	(96, 0.38826324224800424)	(98, 0.3959338663750618)	(100, 0.4036226673365436)	(102, 0.4108025169341448)	(104, 0.41844890528197)	(106, 0.4263437103669273)	(108, 0.4334478231544272)	(110, 0.4406246432796245)	(112, 0.44795899596983224)	(114, 0.455817447385941)
20150415.B-CAMA_reseq_17_R1 - polya	(1, 0.002256599932906131)	(2, 0.008013595037328071)	(3, 0.013219766536080013)	(4, 0.0185147805518755)	(5, 0.024129627629027765)	(6, 0.029774088878527876)	(7, 0.035039488721975515)	(8, 0.04010943502792735)	(9, 0.04531560652667929)	(10, 0.052547387414024135)	(12, 0.06214830208919694)	(14, 0.07151230338558695)	(16, 0.07997307242536755)	(18, 0.08772606274603455)	(20, 0.09523621685344918)	(22, 0.10279671505385515)	(24, 0.10982415815199983)	(26, 0.11700263352911855)	(28, 0.12395307977915881)	(30, 0.1310397512219992)	(32, 0.13821526518188315)	(34, 0.14550627441392366)	(36, 0.15287131907683385)	(38, 0.16013863697099612)	(40, 0.16713646589679293)	(42, 0.17435640111519865)	(44, 0.18154079932678696)	(46, 0.18874000462454915)	(48, 0.19593624850507657)	(50, 0.20336052151268247)	(52, 0.21031689059719227)	(54, 0.2173591407815109)	(56, 0.2245790759999166)	(58, 0.23144660256738292)	(60, 0.2386250779445016)	(62, 0.2456732509632898)	(64, 0.2527391924854867)	(66, 0.26005685447264026)	(68, 0.2671435259154807)	(70, 0.27429830995472115)	(72, 0.2816455861142226)	(74, 0.2890047079426632)	(76, 0.29592257860312077)	(78, 0.30329058468326575)	(80, 0.31058159391530626)	(82, 0.31788444881628597)	(84, 0.32526133914813526)	(86, 0.3325020042871845)	(88, 0.33983447336051203)	(90, 0.3471995180234222)	(92, 0.3546237910310281)	(94, 0.3621013695488601)	(96, 0.3694752984634746)	(98, 0.3772608643737242)	(100, 0.3848480153292433)	(102, 0.3920768347993533)	(104, 0.3993234227728721)	(106, 0.40669735168748666)	(108, 0.41399132233676195)	(110, 0.42162289455080276)	(112, 0.4292959266061306)	(114, 0.43691565315123226)
20150415.B-CAMA_reseq_17_R2 - polya	(1, 0.004886338437395166)	(2, 0.013225689370549583)	(3, 0.020741766312433782)	(4, 0.0278610133448568)	(5, 0.03564361783787164)	(6, 0.04285170738733821)	(7, 0.04969850403416101)	(8, 0.056598606191209946)	(9, 0.06294788474258887)	(10, 0.07218454509788313)	(12, 0.0838614132546402)	(14, 0.09507333890553601)	(16, 0.10609573385340558)	(18, 0.11657026661283995)	(20, 0.12662427812493485)	(22, 0.13699219986391697)	(24, 0.14738973577524692)	(26, 0.15803603073429878)	(28, 0.16830326428729822)	(30, 0.1784253883957932)	(32, 0.1883994416425489)	(34, 0.1984534531546438)	(36, 0.20856669301143438)	(38, 0.21819426044172024)	(40, 0.22848814674983275)	(42, 0.23856584959980592)	(44, 0.24836221781247453)	(46, 0.2583244253902911)	(48, 0.2683725140679164)	(50, 0.27831991455955907)	(52, 0.288690797715776)	(54, 0.2990113367790015)	(56, 0.30892320026382675)	(58, 0.31946880703689595)	(60, 0.32968569649690405)	(62, 0.33990554737414685)	(64, 0.3496604557455285)	(66, 0.35978257985402345)	(68, 0.3694634527945354)	(70, 0.37922724541762143)	(72, 0.3897106624287602)	(74, 0.399806133782142)	(76, 0.40997860198362834)	(78, 0.41999115365443623)	(80, 0.4301665832731574)	(82, 0.44027390029547836)	(84, 0.45047005983484295)	(86, 0.4602042382855811)	(88, 0.4699946836637801)	(90, 0.47970813219387476)	(92, 0.48956372875123905)	(94, 0.4996710457735601)	(96, 0.509434838396646)	(98, 0.5194177758951062)	(100, 0.5299604212509406)	(102, 0.54022765480394)	(104, 0.550266859229861)	(106, 0.5602794109006688)	(108, 0.5698388657345547)	(110, 0.5800824079496758)	(112, 0.5906132076365711)	(114, 0.6010995860649446)
20150415.B-CAMA_reseq_18_R1 - polya	(1, 0.002386392193647928)	(2, 0.008449118307239963)	(3, 0.014330079904853897)	(4, 0.01973024504084835)	(5, 0.02523595086353976)	(6, 0.030876514230343956)	(7, 0.03652294096863132)	(8, 0.04194655959055842)	(9, 0.047082873009810476)	(10, 0.05478441145294697)	(12, 0.06441499911404458)	(14, 0.07328628016807237)	(16, 0.0817412618467955)	(18, 0.08943693691844884)	(20, 0.09667820070015692)	(22, 0.1039370545963145)	(24, 0.11102293903371872)	(26, 0.11848701093178707)	(28, 0.1255230567115844)	(30, 0.13268223329252818)	(32, 0.13956876309950483)	(34, 0.1462823234477281)	(36, 0.15327146225566013)	(38, 0.15982964325957955)	(40, 0.16660476900837606)	(42, 0.17361736130224073)	(44, 0.180668065510746)	(46, 0.1880031432361847)	(48, 0.19532649421865708)	(50, 0.20236840336993758)	(52, 0.209389790721027)	(54, 0.21620889175594726)	(56, 0.22305144627680015)	(58, 0.23020182780051918)	(60, 0.23777437207102606)	(62, 0.2455022956858368)	(64, 0.25296343589816356)	(66, 0.26041578105326557)	(68, 0.26770688349258054)	(70, 0.27468429555754625)	(72, 0.2819753979968612)	(74, 0.28943653820918797)	(76, 0.29641688195989524)	(78, 0.30368746259901913)	(80, 0.3110254720101995)	(82, 0.3185540409945826)	(84, 0.3262057407801122)	(86, 0.33384278213693386)	(88, 0.34167917812418314)	(90, 0.3493719215100949)	(92, 0.3572493610977263)	(94, 0.36547567128860603)	(96, 0.37345571987719284)	(98, 0.38203090067132084)	(100, 0.39020150883311056)	(102, 0.3986418320831257)	(104, 0.4070352483612756)	(106, 0.4153700309245939)	(108, 0.42391589486130604)	(110, 0.43230637945371436)	(112, 0.44106039307807887)	(114, 0.44967954915833064)
20150415.B-CAMA_reseq_18_R2 - polya	(1, 0.006907051607167714)	(2, 0.016370533180995125)	(3, 0.024602706743358002)	(4, 0.03234235710113507)	(5, 0.04022272837450808)	(6, 0.047387768326935024)	(7, 0.054435540849698684)	(8, 0.06127223199906843)	(9, 0.06776884760241463)	(10, 0.07710333500361242)	(12, 0.08902063754314415)	(14, 0.10025485730488723)	(16, 0.11100241723352765)	(18, 0.12147439870245935)	(20, 0.13216039323052653)	(22, 0.14286104618730167)	(24, 0.15325973551269378)	(26, 0.16355874752287214)	(28, 0.1735088889298022)	(30, 0.18339453325041744)	(32, 0.19333294791438116)	(34, 0.20340622012245768)	(36, 0.21350587750220845)	(38, 0.2238547281699937)	(40, 0.2341273550084978)	(42, 0.24396316067150614)	(44, 0.2536523820474354)	(46, 0.26408331991598494)	(48, 0.2745758231851077)	(50, 0.28476929450858907)	(52, 0.29536733846440877)	(54, 0.3057367109323851)	(56, 0.3160591764284961)	(58, 0.3263523250671913)	(60, 0.33679498967870714)	(62, 0.34694741740180646)	(64, 0.3568858320657701)	(66, 0.3669854894455209)	(68, 0.3771672340260359)	(70, 0.38762455706625976)	(72, 0.39790891064773015)	(74, 0.4077095360818396)	(76, 0.41750722983020727)	(78, 0.42732837706450777)	(80, 0.43744269287296644)	(82, 0.447410424394346)	(84, 0.45750715008835513)	(86, 0.46815796438752333)	(88, 0.4781755345665098)	(90, 0.4880699739443498)	(92, 0.4982693086393143)	(94, 0.5083308541044246)	(96, 0.5185624373425465)	(98, 0.5288233374380842)	(100, 0.5391516663056785)	(102, 0.549245460313946)	(104, 0.5595327455811581)	(106, 0.5697760555622463)	(108, 0.5795796126820972)	(110, 0.5892365855148691)	(112, 0.5988818316046747)	(114, 0.6091134148427966)
20150415.B-CAMA_reseq_19_R1 - polya	(1, 0.0020684155306844804)	(2, 0.007341908584616501)	(3, 0.012418225578614115)	(4, 0.017107922847250143)	(5, 0.02243167646547917)	(6, 0.027392007541868307)	(7, 0.0323175428429749)	(8, 0.03745958519028399)	(9, 0.04221500781223148)	(10, 0.04935007484377954)	(12, 0.05802775457952031)	(14, 0.06647926177592456)	(16, 0.0742464520584388)	(18, 0.08156709655816043)	(20, 0.08857651217896595)	(22, 0.0954912059670579)	(24, 0.10247355820708814)	(26, 0.10925100199267673)	(28, 0.11588732957850834)	(30, 0.12266670646272373)	(32, 0.1292914354567945)	(34, 0.13598382290280353)	(36, 0.14253122795180198)	(38, 0.14919848511566253)	(40, 0.1559314676328345)	(42, 0.16269151353078182)	(44, 0.16928724604545048)	(46, 0.17572059827546727)	(48, 0.1821481512096036)	(50, 0.1887574154146599)	(52, 0.1952893556746439)	(54, 0.20171497551015344)	(56, 0.20835710239186545)	(58, 0.21496829969554856)	(60, 0.22181340193307542)	(62, 0.22867010276236316)	(64, 0.23511118738688713)	(66, 0.24168178961940728)	(68, 0.24826592354231508)	(70, 0.2547340715476144)	(72, 0.2612930751883737)	(74, 0.2676780999527203)	(76, 0.274192642325063)	(78, 0.2809604206175175)	(80, 0.2876760052470483)	(82, 0.2945133750900679)	(84, 0.30114390338001906)	(86, 0.30786915350268385)	(88, 0.3146949247539427)	(90, 0.32131578755075973)	(92, 0.32795018203796455)	(94, 0.3348571434315493)	(96, 0.3417351083457319)	(98, 0.34869233030361363)	(100, 0.3553982494400103)	(102, 0.3623632037923993)	(104, 0.3691986405367921)	(106, 0.37605920756333344)	(108, 0.38264334148624124)	(110, 0.38960249654274975)	(112, 0.39657325019101913)	(114, 0.4034106200340388)
20150415.B-CAMA_reseq_19_R2 - polya	(1, 0.0045853099427883995)	(2, 0.01258060586326598)	(3, 0.019539760919774513)	(4, 0.02629787371909502)	(5, 0.033257028775603555)	(6, 0.04024711341014101)	(7, 0.04681964874128796)	(8, 0.05312928265918903)	(9, 0.05945051516885094)	(10, 0.06857474068738437)	(12, 0.07957987116980186)	(14, 0.09012685727766592)	(16, 0.10019636802470841)	(18, 0.1102194844047075)	(20, 0.12017687543139512)	(22, 0.1294847453194753)	(24, 0.13934161521756888)	(26, 0.14889498863125367)	(28, 0.1583149782396887)	(30, 0.1679727389792211)	(32, 0.17706216872247194)	(34, 0.18628691536959938)	(36, 0.19535508102795535)	(38, 0.204728676269347)	(40, 0.2141003384121118)	(42, 0.22326515900180816)	(44, 0.2327122119910185)	(46, 0.24214186709258756)	(48, 0.2513008883864035)	(50, 0.2607228110934654)	(52, 0.27020852605521184)	(54, 0.27965171284716855)	(56, 0.2892379489375091)	(58, 0.2985864138967522)	(60, 0.3079793401244119)	(62, 0.31728141071661164)	(64, 0.3262877172189098)	(66, 0.3356303828822725)	(68, 0.34527847812867085)	(70, 0.3544162353375919)	(72, 0.3635617249410202)	(74, 0.3725776969364524)	(76, 0.38201701753115547)	(78, 0.391321021221982)	(80, 0.401123764358525)	(82, 0.410735130731014)	(84, 0.42034069780762257)	(86, 0.4296041064272862)	(88, 0.4391690784327318)	(90, 0.4484421525455294)	(92, 0.4572860787631756)	(94, 0.4665398218897052)	(96, 0.47602553685145166)	(98, 0.48520775532878935)	(100, 0.4947282660658184)	(102, 0.5042526430001011)	(104, 0.5138814072602313)	(106, 0.5235314356052565)	(108, 0.5330538794409123)	(110, 0.5421278443951487)	(112, 0.5513197283656204)	(114, 0.5608035102287401)
20150415.B-CAMA_reseq_1_R1 - polya	(1, 0.0021221779680130467)	(2, 0.007487002563549678)	(3, 0.012149597953125788)	(4, 0.0169825871941482)	(5, 0.022125383437800256)	(6, 0.026824122977683156)	(7, 0.03158482391809198)	(8, 0.036381669008807606)	(9, 0.04095132229759482)	(10, 0.04819047925904079)	(12, 0.0569296184582186)	(14, 0.06520404715345195)	(16, 0.07263425176651953)	(18, 0.08020128780574853)	(20, 0.08716678191487165)	(22, 0.09420198259958643)	(24, 0.10113133255840276)	(26, 0.10799355766664931)	(28, 0.11461051889781408)	(30, 0.1214443450308196)	(32, 0.1282730077137813)	(34, 0.13466535886803954)	(36, 0.1410680369223855)	(38, 0.14797931480604842)	(40, 0.15452656946162152)	(42, 0.16120549209331222)	(44, 0.16779405434923594)	(46, 0.1745452652815402)	(48, 0.18143330764000593)	(50, 0.18829036929820864)	(52, 0.195038998505491)	(54, 0.20210517989046878)	(56, 0.2092797937263669)	(58, 0.21669192626428108)	(60, 0.22420216435302798)	(62, 0.2314516482145616)	(64, 0.2389618863033085)	(66, 0.24684131107018903)	(68, 0.2545400150855357)	(70, 0.2623781322520656)	(72, 0.27048733054589646)	(74, 0.27824799596176897)	(76, 0.2859131375518307)	(78, 0.29430374387305014)	(80, 0.30241036044185915)	(82, 0.3105970104863474)	(84, 0.3190160157828079)	(86, 0.32753312663010115)	(88, 0.33622837650390647)	(90, 0.34518696232994694)	(92, 0.3544476099835513)	(94, 0.36378570938781307)	(96, 0.37332260161876224)	(98, 0.38293436387534685)	(100, 0.39244027540603305)	(102, 0.4018842255361933)	(104, 0.41159151161858876)	(106, 0.4213168697761376)	(108, 0.4306084981300049)	(110, 0.43965228088176855)	(112, 0.449060086861622)	(114, 0.4590229637211869)
20150415.B-CAMA_reseq_1_R2 - polya	(1, 0.009443950130160248)	(2, 0.0195488218659304)	(3, 0.028311196590305437)	(4, 0.03625774620775575)	(5, 0.04458639112844929)	(6, 0.05251745039576812)	(7, 0.059668828706469015)	(8, 0.06719197542032548)	(9, 0.07435884408115787)	(10, 0.08424168746504344)	(12, 0.09665978482044826)	(14, 0.10901850250034906)	(16, 0.12069564477446462)	(18, 0.13170412026790457)	(20, 0.14299400378873312)	(22, 0.15421676245899188)	(24, 0.16544468457929448)	(26, 0.17672165947501345)	(28, 0.18791085571998734)	(30, 0.19910263368998316)	(32, 0.21046738723644717)	(34, 0.2216617469314649)	(36, 0.2328302893762635)	(38, 0.2437974572693528)	(40, 0.2546639378865875)	(42, 0.2656001250794139)	(44, 0.2764382067214075)	(46, 0.28788299374355086)	(48, 0.29898441133777964)	(50, 0.3102226603581699)	(52, 0.3220237254333374)	(54, 0.33326971962879337)	(56, 0.3438599556686833)	(58, 0.35469803731067695)	(60, 0.3656936041790073)	(62, 0.37689570904909075)	(64, 0.38773379069108443)	(66, 0.3991553421880305)	(68, 0.41068532613589703)	(70, 0.4216808930042274)	(72, 0.4324131239203226)	(74, 0.443109210686111)	(76, 0.4541899744801645)	(78, 0.46509776269774983)	(80, 0.4759642433149845)	(82, 0.48690043050781084)	(84, 0.4980896267527848)	(86, 0.5092194433222546)	(88, 0.5205738699686311)	(90, 0.5311795963586524)	(92, 0.5417982313737835)	(94, 0.5526724571660838)	(96, 0.5633582170317846)	(98, 0.5739123089213676)	(100, 0.5848691499143693)	(102, 0.5957511208817355)	(104, 0.6067337791249563)	(106, 0.6173859765653722)	(108, 0.6280898085062263)	(110, 0.6389459622233733)	(112, 0.649515544463088)	(114, 0.6605188565064841)
20150415.B-CAMA_reseq_20_R1 - polya	(1, 0.0020137720068756056)	(2, 0.007493513263057808)	(3, 0.012354644817781493)	(4, 0.0175930844173664)	(5, 0.02296753040521524)	(6, 0.02846920817563356)	(7, 0.03344440960438506)	(8, 0.0382792173420254)	(9, 0.043377263250499155)	(10, 0.05068212249112635)	(12, 0.060046820418525)	(14, 0.06878194038734707)	(16, 0.07667469820950222)	(18, 0.08409801462700445)	(20, 0.09117034681672881)	(22, 0.09778420585891828)	(24, 0.1043454172669411)	(26, 0.11087372390360972)	(28, 0.11720679556357691)	(30, 0.12414312136503733)	(32, 0.13052664700774758)	(34, 0.13713392509566624)	(36, 0.1435020951784112)	(38, 0.14991852559247565)	(40, 0.156617937040186)	(42, 0.16297075156296567)	(44, 0.16939156927987734)	(46, 0.17577509492258758)	(48, 0.18224417297081869)	(50, 0.18857724463078587)	(52, 0.19485547500516276)	(54, 0.2012740990706508)	(56, 0.2077760818902361)	(58, 0.21426051549843247)	(60, 0.22111567619721928)	(62, 0.22813097344992972)	(64, 0.2342797783903135)	(66, 0.24061065639885706)	(68, 0.24702708681292151)	(70, 0.25324389494743726)	(72, 0.2597919444469184)	(74, 0.2661666954839342)	(76, 0.2726774529092139)	(78, 0.2792759563914381)	(80, 0.28587445987366233)	(82, 0.2923194077562338)	(84, 0.2988411334386315)	(86, 0.3055997734747794)	(88, 0.3121697594884967)	(90, 0.3186169010224916)	(92, 0.325355798195827)	(94, 0.33170641906718307)	(96, 0.33798684309298355)	(98, 0.3445085687753814)	(100, 0.35087235155527907)	(102, 0.35749717885458665)	(104, 0.3642426569821928)	(106, 0.3708477414186879)	(108, 0.3776239306662247)	(110, 0.38406010394310164)	(112, 0.39059060423119385)	(114, 0.3974523458842515)
20150415.B-CAMA_reseq_20_R2 - polya	(1, 0.004847969646182013)	(2, 0.01364012455201799)	(3, 0.021186285449242483)	(4, 0.02871489713507808)	(5, 0.03668223910563603)	(6, 0.04403535867758269)	(7, 0.051278795678348754)	(8, 0.0582019595712675)	(9, 0.06467323127092223)	(10, 0.0744525293173835)	(12, 0.0860635263025606)	(14, 0.09737399304270289)	(16, 0.10796932941874773)	(18, 0.11832555778961892)	(20, 0.12843609720104557)	(22, 0.13851592549254166)	(24, 0.1482710933733432)	(26, 0.15821710892799895)	(28, 0.16827500070525891)	(30, 0.17802358763178966)	(32, 0.18813851434606352)	(34, 0.19827537757457353)	(36, 0.20808538674096533)	(38, 0.2179546244957947)	(40, 0.22769663046805458)	(42, 0.23789052863357846)	(44, 0.2476983441485467)	(46, 0.2573569913667093)	(48, 0.2668423401224066)	(50, 0.27680590488845125)	(52, 0.2868265045915098)	(54, 0.2970664694369296)	(56, 0.3069006087689812)	(58, 0.31686417353502583)	(60, 0.3267882525754455)	(62, 0.3365587760162123)	(64, 0.3461384517831249)	(66, 0.3559572355552112)	(68, 0.3659405431840684)	(70, 0.37592385081292556)	(72, 0.3858939965332411)	(74, 0.3952872119291466)	(76, 0.4045202907711286)	(78, 0.41395957284693)	(80, 0.4237410645448149)	(82, 0.43347648956280393)	(84, 0.4434334733745778)	(86, 0.45352426992319195)	(88, 0.46338473307232686)	(90, 0.47335268514121875)	(92, 0.4831122403248675)	(94, 0.4929968336396621)	(96, 0.5026949665834497)	(98, 0.5124128423900499)	(100, 0.5225869976927613)	(102, 0.532307067150785)	(104, 0.542020555654538)	(106, 0.5518832124550965)	(108, 0.5615923136560022)	(110, 0.5710842433659703)	(112, 0.5804116492191675)	(114, 0.5903269536538928)
20150415.B-CAMA_reseq_21_R1 - polya	(1, 0.002164401786889484)	(2, 0.007716053301636698)	(3, 0.013009851895924154)	(4, 0.018338812252092485)	(5, 0.02381232651821553)	(6, 0.029442115281586915)	(7, 0.03492735013500359)	(8, 0.040143011480666874)	(9, 0.045382114000917406)	(10, 0.05319779229454992)	(12, 0.06302550474025478)	(14, 0.07211872704889247)	(16, 0.08048527294532537)	(18, 0.08810365468618186)	(20, 0.09562827172868935)	(22, 0.10309233240351309)	(24, 0.11030244702030831)	(26, 0.11748130673765383)	(28, 0.1244882645080262)	(30, 0.1315167100217702)	(32, 0.13860375847198236)	(34, 0.14574745642744702)	(36, 0.15290287497020527)	(38, 0.16000945773257347)	(40, 0.16696171942890892)	(42, 0.1738065424083861)	(44, 0.18066308597515696)	(46, 0.18755674473502426)	(48, 0.1943527319341114)	(50, 0.20146322155891078)	(52, 0.2081224685729056)	(54, 0.2150591028195162)	(56, 0.2221324772512191)	(58, 0.2290066016989304)	(60, 0.2363593167944647)	(62, 0.24372961277093946)	(64, 0.2507971269089955)	(66, 0.25789784937771687)	(68, 0.2650063855713007)	(70, 0.271974274717361)	(72, 0.2790496025802795)	(74, 0.2863593421890705)	(76, 0.29341513573983297)	(78, 0.30057446114502245)	(80, 0.30776504144966166)	(82, 0.314885298230539)	(84, 0.3222126187202705)	(86, 0.32949696372325865)	(88, 0.3367422401019347)	(90, 0.3436652003300361)	(92, 0.3509651727827491)	(94, 0.3584155594390636)	(96, 0.365694044148405)	(98, 0.3728709504345349)	(100, 0.38010645965713297)	(102, 0.38720522869463875)	(104, 0.39465170848852205)	(106, 0.4018852642799045)	(108, 0.409034822529016)	(110, 0.4165125572223489)	(112, 0.4239922453468975)	(114, 0.43131565897419777)
