Sample	Unique Reads	Duplicate Reads
20150415.B-CAMA_reseq_10_R1	15311004.0	4663607.0
20150415.B-CAMA_reseq_10_R2	15381021.0	4593590.0
20150415.B-CAMA_reseq_11_R1	14623342.0	4021976.0
20150415.B-CAMA_reseq_11_R2	14667574.0	3977744.0
20150415.B-CAMA_reseq_12_R1	13533703.0	3924233.0
20150415.B-CAMA_reseq_12_R2	13595773.0	3862163.0
20150415.B-CAMA_reseq_13_R1	15859480.0	3044427.0
20150415.B-CAMA_reseq_13_R2	15893694.0	3010213.0
20150415.B-CAMA_reseq_14_R1	12501031.0	3043679.0
20150415.B-CAMA_reseq_14_R2	12535257.0	3009453.0
20150415.B-CAMA_reseq_15_R1	14008612.0	3951430.0
20150415.B-CAMA_reseq_15_R2	14024147.0	3935895.0
20150415.B-CAMA_reseq_16_R1	12946933.0	3557591.0
20150415.B-CAMA_reseq_16_R2	12981092.0	3523432.0
20150415.B-CAMA_reseq_17_R1	13331509.0	3552299.0
20150415.B-CAMA_reseq_17_R2	13394288.0	3489520.0
20150415.B-CAMA_reseq_18_R1	13264717.0	3790317.0
20150415.B-CAMA_reseq_18_R2	13324593.0	3730441.0
20150415.B-CAMA_reseq_19_R1	19769221.0	6095988.0
20150415.B-CAMA_reseq_19_R2	19926887.0	5938322.0
20150415.B-CAMA_reseq_1_R1	15615961.0	3750935.0
20150415.B-CAMA_reseq_1_R2	15648815.0	3718081.0
20150415.B-CAMA_reseq_20_R1	17845106.0	4947941.0
20150415.B-CAMA_reseq_20_R2	17914475.0	4878572.0
20150415.B-CAMA_reseq_21_R1	19887227.0	5708760.0
20150415.B-CAMA_reseq_21_R2	20016140.0	5579847.0
20150415.B-CAMA_reseq_22_R1	16622806.0	4628946.0
20150415.B-CAMA_reseq_22_R2	16722922.0	4528830.0
20150415.B-CAMA_reseq_23_R1	15687259.0	4575144.0
20150415.B-CAMA_reseq_23_R2	15737810.0	4524593.0
20150415.B-CAMA_reseq_24_R1	14125235.0	4042205.0
20150415.B-CAMA_reseq_24_R2	14151422.0	4016018.0
20150415.B-CAMA_reseq_25_R1	15668930.0	4437014.0
20150415.B-CAMA_reseq_25_R2	15774098.0	4331846.0
20150415.B-CAMA_reseq_26_R1	15761494.0	4359360.0
20150415.B-CAMA_reseq_26_R2	15866998.0	4253856.0
20150415.B-CAMA_reseq_2_R1	14074147.0	3071897.0
20150415.B-CAMA_reseq_2_R2	14133641.0	3012403.0
20150415.B-CAMA_reseq_3_R1	15231101.0	3483220.0
20150415.B-CAMA_reseq_3_R2	15261820.0	3452501.0
20150415.B-CAMA_reseq_4_R1	13434194.0	4125273.0
20150415.B-CAMA_reseq_4_R2	13492726.0	4066741.0
20150415.B-CAMA_reseq_5_R1	16916956.0	4758442.0
20150415.B-CAMA_reseq_5_R2	16988309.0	4687089.0
20150415.B-CAMA_reseq_6_R1	15060823.0	3687292.0
20150415.B-CAMA_reseq_6_R2	15122887.0	3625228.0
20150415.B-CAMA_reseq_7_R1	17980769.0	4473482.0
20150415.B-CAMA_reseq_7_R2	18055334.0	4398917.0
20150415.B-CAMA_reseq_8_R1	16955822.0	5431432.0
20150415.B-CAMA_reseq_8_R2	17008448.0	5378806.0
20150415.B-CAMA_reseq_9_R1	15531540.0	3511140.0
20150415.B-CAMA_reseq_9_R2	15561257.0	3481423.0
