.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
20150415.B-CAMA_reseq_10_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_10_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_11_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_11_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_12_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_12_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_13_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_13_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_14_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_14_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_15_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_15_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_16_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_16_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_17_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_17_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_18_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_18_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_19_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_19_R2	1	0.25	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_1_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_1_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_20_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_20_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_21_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_21_R2	1	0.25	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_22_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_22_R2	1	0.25	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_23_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_23_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_24_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_24_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_25_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_25_R2	1	0.25	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_26_R1	1	1	0.5	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_26_R2	1	0.25	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_2_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_2_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_3_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_3_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_4_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_4_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_5_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_5_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_6_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_6_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_7_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_7_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_8_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_8_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_9_R1	1	1	1	1	0.5	1	1	0.5	1	1	1
20150415.B-CAMA_reseq_9_R2	1	1	0.25	1	0.5	1	1	0.5	1	1	1
