Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
20150415.B-CAMA_reseq_15_R2	(0, 291.0)	(5, 351.0)	(10, 358.0)	(15, 344.0)	(20, 356.0)	(25, 410.0)	(30, 14132.0)	(35, 16592.0)	(40, 15168.0)	(45, 14184.0)	(50, 13451.0)	(55, 13809.0)	(60, 13902.0)	(65, 13446.0)	(70, 13218.0)	(75, 13064.0)	(80, 12487.0)	(85, 12549.0)	(90, 11855.0)	(95, 13475.0)	(100, 13076.0)	(105, 11372.0)	(110, 11539.0)	(115, 47780.0)	(120, 59625.0)	(125, 17623208.0)
20150415.B-CAMA_reseq_16_R1	(0, 294.0)	(5, 341.0)	(10, 381.0)	(15, 335.0)	(20, 379.0)	(25, 366.0)	(30, 14584.0)	(35, 16935.0)	(40, 15370.0)	(45, 14438.0)	(50, 13156.0)	(55, 13504.0)	(60, 13777.0)	(65, 13212.0)	(70, 12757.0)	(75, 12505.0)	(80, 12073.0)	(85, 11678.0)	(90, 11489.0)	(95, 12614.0)	(100, 12113.0)	(105, 10586.0)	(110, 10814.0)	(115, 37522.0)	(120, 47080.0)	(125, 16196221.0)
20150415.B-CAMA_reseq_16_R2	(0, 271.0)	(5, 337.0)	(10, 375.0)	(15, 379.0)	(20, 311.0)	(25, 366.0)	(30, 14633.0)	(35, 16915.0)	(40, 15408.0)	(45, 14467.0)	(50, 13138.0)	(55, 13508.0)	(60, 13790.0)	(65, 13216.0)	(70, 12748.0)	(75, 12492.0)	(80, 12090.0)	(85, 11698.0)	(90, 11478.0)	(95, 12529.0)	(100, 12170.0)	(105, 10654.0)	(110, 10801.0)	(115, 37422.0)	(120, 46469.0)	(125, 16196859.0)
20150415.B-CAMA_reseq_17_R1	(0, 437.0)	(5, 349.0)	(10, 323.0)	(15, 321.0)	(20, 355.0)	(25, 370.0)	(30, 14565.0)	(35, 17671.0)	(40, 17158.0)	(45, 16750.0)	(50, 16839.0)	(55, 17420.0)	(60, 17388.0)	(65, 17686.0)	(70, 17565.0)	(75, 17599.0)	(80, 17418.0)	(85, 17291.0)	(90, 17299.0)	(95, 18239.0)	(100, 18031.0)	(105, 16855.0)	(110, 16539.0)	(115, 50934.0)	(120, 62601.0)	(125, 16475805.0)
20150415.B-CAMA_reseq_17_R2	(0, 302.0)	(5, 355.0)	(10, 389.0)	(15, 359.0)	(20, 340.0)	(25, 357.0)	(30, 14563.0)	(35, 17648.0)	(40, 17165.0)	(45, 16752.0)	(50, 16824.0)	(55, 17395.0)	(60, 17415.0)	(65, 17714.0)	(70, 17587.0)	(75, 17581.0)	(80, 17407.0)	(85, 17321.0)	(90, 17256.0)	(95, 18293.0)	(100, 18070.0)	(105, 16802.0)	(110, 16577.0)	(115, 50691.0)	(120, 62506.0)	(125, 16476139.0)
20150415.B-CAMA_reseq_18_R1	(0, 489.0)	(5, 337.0)	(10, 370.0)	(15, 359.0)	(20, 375.0)	(25, 349.0)	(30, 13527.0)	(35, 16146.0)	(40, 15581.0)	(45, 15358.0)	(50, 15032.0)	(55, 16099.0)	(60, 16544.0)	(65, 16804.0)	(70, 16779.0)	(75, 16850.0)	(80, 16920.0)	(85, 16925.0)	(90, 16850.0)	(95, 18363.0)	(100, 18276.0)	(105, 16586.0)	(110, 17125.0)	(115, 52077.0)	(120, 63983.0)	(125, 16656930.0)
20150415.B-CAMA_reseq_18_R2	(0, 268.0)	(5, 322.0)	(10, 328.0)	(15, 363.0)	(20, 383.0)	(25, 430.0)	(30, 13516.0)	(35, 16125.0)	(40, 15581.0)	(45, 15336.0)	(50, 15061.0)	(55, 16093.0)	(60, 16548.0)	(65, 16773.0)	(70, 16768.0)	(75, 16865.0)	(80, 16926.0)	(85, 16929.0)	(90, 16869.0)	(95, 18394.0)	(100, 18355.0)	(105, 16544.0)	(110, 17110.0)	(115, 51454.0)	(120, 63359.0)	(125, 16658334.0)
20150415.B-CAMA_reseq_19_R1	(0, 669.0)	(5, 500.0)	(10, 548.0)	(15, 513.0)	(20, 554.0)	(25, 511.0)	(30, 27640.0)	(35, 33589.0)	(40, 32044.0)	(45, 31364.0)	(50, 30531.0)	(55, 30510.0)	(60, 31135.0)	(65, 30647.0)	(70, 29826.0)	(75, 29438.0)	(80, 28836.0)	(85, 28418.0)	(90, 28189.0)	(95, 29176.0)	(100, 28393.0)	(105, 25883.0)	(110, 25627.0)	(115, 77205.0)	(120, 95558.0)	(125, 25187905.0)
20150415.B-CAMA_reseq_19_R2	(0, 461.0)	(5, 525.0)	(10, 497.0)	(15, 562.0)	(20, 519.0)	(25, 561.0)	(30, 27655.0)	(35, 33588.0)	(40, 32008.0)	(45, 31419.0)	(50, 30467.0)	(55, 30559.0)	(60, 31140.0)	(65, 30673.0)	(70, 29884.0)	(75, 29437.0)	(80, 28882.0)	(85, 28482.0)	(90, 28161.0)	(95, 29170.0)	(100, 28476.0)	(105, 25853.0)	(110, 25555.0)	(115, 76856.0)	(120, 94996.0)	(125, 25188823.0)
20150415.B-CAMA_reseq_1_R1	(0, 611.0)	(5, 397.0)	(10, 429.0)	(15, 440.0)	(20, 411.0)	(25, 400.0)	(30, 17845.0)	(35, 21025.0)	(40, 19695.0)	(45, 18698.0)	(50, 17526.0)	(55, 17959.0)	(60, 17811.0)	(65, 17353.0)	(70, 16895.0)	(75, 16142.0)	(80, 15572.0)	(85, 15350.0)	(90, 15114.0)	(95, 16383.0)	(100, 15756.0)	(105, 14039.0)	(110, 14140.0)	(115, 53697.0)	(120, 66368.0)	(125, 18956840.0)
20150415.B-CAMA_reseq_1_R2	(0, 350.0)	(5, 411.0)	(10, 428.0)	(15, 425.0)	(20, 420.0)	(25, 443.0)	(30, 17799.0)	(35, 21023.0)	(40, 19650.0)	(45, 18711.0)	(50, 17562.0)	(55, 17957.0)	(60, 17824.0)	(65, 17330.0)	(70, 16892.0)	(75, 16143.0)	(80, 15569.0)	(85, 15347.0)	(90, 15043.0)	(95, 16350.0)	(100, 15719.0)	(105, 14044.0)	(110, 14095.0)	(115, 53058.0)	(120, 66149.0)	(125, 18958154.0)
20150415.B-CAMA_reseq_20_R1	(0, 692.0)	(5, 512.0)	(10, 483.0)	(15, 490.0)	(20, 495.0)	(25, 496.0)	(30, 20802.0)	(35, 24183.0)	(40, 22749.0)	(45, 21288.0)	(50, 19830.0)	(55, 20278.0)	(60, 20026.0)	(65, 19178.0)	(70, 18998.0)	(75, 18219.0)	(80, 17522.0)	(85, 17510.0)	(90, 17288.0)	(95, 18760.0)	(100, 18511.0)	(105, 16115.0)	(110, 17012.0)	(115, 63982.0)	(120, 80477.0)	(125, 22317151.0)
20150415.B-CAMA_reseq_20_R2	(0, 384.0)	(5, 481.0)	(10, 482.0)	(15, 478.0)	(20, 481.0)	(25, 553.0)	(30, 20834.0)	(35, 24181.0)	(40, 22773.0)	(45, 21269.0)	(50, 19875.0)	(55, 20278.0)	(60, 20076.0)	(65, 19186.0)	(70, 19002.0)	(75, 18221.0)	(80, 17490.0)	(85, 17436.0)	(90, 17319.0)	(95, 18901.0)	(100, 18590.0)	(105, 16133.0)	(110, 16987.0)	(115, 62944.0)	(120, 79251.0)	(125, 22319442.0)
20150415.B-CAMA_reseq_21_R1	(0, 824.0)	(5, 524.0)	(10, 542.0)	(15, 556.0)	(20, 545.0)	(25, 553.0)	(30, 20114.0)	(35, 23977.0)	(40, 23866.0)	(45, 23087.0)	(50, 22986.0)	(55, 24219.0)	(60, 24803.0)	(65, 25561.0)	(70, 25302.0)	(75, 25649.0)	(80, 25613.0)	(85, 25516.0)	(90, 25885.0)	(95, 27674.0)	(100, 27742.0)	(105, 25416.0)	(110, 25622.0)	(115, 77691.0)	(120, 95789.0)	(125, 24995931.0)
20150415.B-CAMA_reseq_21_R2	(0, 429.0)	(5, 545.0)	(10, 541.0)	(15, 515.0)	(20, 531.0)	(25, 582.0)	(30, 20064.0)	(35, 23986.0)	(40, 23879.0)	(45, 23106.0)	(50, 22973.0)	(55, 24239.0)	(60, 24813.0)	(65, 25514.0)	(70, 25319.0)	(75, 25643.0)	(80, 25586.0)	(85, 25554.0)	(90, 25849.0)	(95, 27739.0)	(100, 27700.0)	(105, 25439.0)	(110, 25570.0)	(115, 77195.0)	(120, 94434.0)	(125, 24998242.0)
20150415.B-CAMA_reseq_22_R1	(0, 624.0)	(5, 441.0)	(10, 435.0)	(15, 466.0)	(20, 452.0)	(25, 476.0)	(30, 18514.0)	(35, 22767.0)	(40, 21970.0)	(45, 21634.0)	(50, 21360.0)	(55, 22477.0)	(60, 23407.0)	(65, 23206.0)	(70, 23232.0)	(75, 23170.0)	(80, 23252.0)	(85, 22635.0)	(90, 22630.0)	(95, 24386.0)	(100, 24184.0)	(105, 21549.0)	(110, 21882.0)	(115, 64649.0)	(120, 79480.0)	(125, 20722474.0)
20150415.B-CAMA_reseq_22_R2	(0, 316.0)	(5, 413.0)	(10, 445.0)	(15, 475.0)	(20, 446.0)	(25, 488.0)	(30, 18495.0)	(35, 22802.0)	(40, 21979.0)	(45, 21625.0)	(50, 21368.0)	(55, 22409.0)	(60, 23399.0)	(65, 23197.0)	(70, 23190.0)	(75, 23166.0)	(80, 23230.0)	(85, 22692.0)	(90, 22602.0)	(95, 24414.0)	(100, 24188.0)	(105, 21574.0)	(110, 21876.0)	(115, 64243.0)	(120, 78323.0)	(125, 20724397.0)
20150415.B-CAMA_reseq_23_R1	(0, 346.0)	(5, 391.0)	(10, 421.0)	(15, 451.0)	(20, 469.0)	(25, 751.0)	(30, 13008.0)	(35, 16910.0)	(40, 17434.0)	(45, 19952.0)	(50, 22743.0)	(55, 27193.0)	(60, 32087.0)	(65, 36446.0)	(70, 41268.0)	(75, 46517.0)	(80, 52257.0)	(85, 58320.0)	(90, 64991.0)	(95, 73120.0)	(100, 81585.0)	(105, 87434.0)	(110, 97502.0)	(115, 136820.0)	(120, 159427.0)	(125, 19174560.0)
