Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
20150415.B-CAMA_reseq_15_R1	(2.0, 47.0)	(3.0, 63.0)	(4.0, 54.0)	(5.0, 80.0)	(6.0, 128.0)	(7.0, 288.0)	(8.0, 648.0)	(9.0, 943.0)	(10.0, 1265.0)	(11.0, 1495.0)	(12.0, 1895.0)	(13.0, 2328.0)	(14.0, 2853.0)	(15.0, 3572.0)	(16.0, 4521.0)	(17.0, 5395.0)	(18.0, 6477.0)	(19.0, 7435.0)	(20.0, 8855.0)	(21.0, 10650.0)	(22.0, 13594.0)	(23.0, 17539.0)	(24.0, 23632.0)	(25.0, 32063.0)	(26.0, 43714.0)	(27.0, 58364.0)	(28.0, 76382.0)	(29.0, 98886.0)	(30.0, 126822.0)	(31.0, 163809.0)	(32.0, 212320.0)	(33.0, 284628.0)	(34.0, 404992.0)	(35.0, 643312.0)	(36.0, 1379500.0)	(37.0, 14321493.0)
20150415.B-CAMA_reseq_15_R2	(2.0, 17350.0)	(3.0, 1848.0)	(4.0, 1628.0)	(5.0, 1486.0)	(6.0, 1520.0)	(7.0, 1762.0)	(8.0, 2193.0)	(9.0, 2800.0)	(10.0, 3336.0)	(11.0, 4051.0)	(12.0, 4957.0)	(13.0, 6068.0)	(14.0, 7907.0)	(15.0, 9852.0)	(16.0, 11988.0)	(17.0, 14938.0)	(18.0, 18532.0)	(19.0, 23078.0)	(20.0, 29013.0)	(21.0, 36931.0)	(22.0, 46529.0)	(23.0, 57228.0)	(24.0, 69424.0)	(25.0, 82704.0)	(26.0, 98624.0)	(27.0, 114492.0)	(28.0, 133245.0)	(29.0, 155535.0)	(30.0, 182713.0)	(31.0, 221480.0)	(32.0, 276749.0)	(33.0, 362283.0)	(34.0, 503186.0)	(35.0, 789133.0)	(36.0, 1656796.0)	(37.0, 13008683.0)
20150415.B-CAMA_reseq_16_R1	(2.0, 37.0)	(3.0, 48.0)	(4.0, 63.0)	(5.0, 74.0)	(6.0, 107.0)	(7.0, 212.0)	(8.0, 573.0)	(9.0, 663.0)	(10.0, 870.0)	(11.0, 1051.0)	(12.0, 1343.0)	(13.0, 1627.0)	(14.0, 2019.0)	(15.0, 2579.0)	(16.0, 3249.0)	(17.0, 3808.0)	(18.0, 4775.0)	(19.0, 5584.0)	(20.0, 6874.0)	(21.0, 8347.0)	(22.0, 10729.0)	(23.0, 14542.0)	(24.0, 20056.0)	(25.0, 27846.0)	(26.0, 38528.0)	(27.0, 52111.0)	(28.0, 69018.0)	(29.0, 90587.0)	(30.0, 118398.0)	(31.0, 154693.0)	(32.0, 205052.0)	(33.0, 281784.0)	(34.0, 413637.0)	(35.0, 692419.0)	(36.0, 1603015.0)	(37.0, 12668206.0)
20150415.B-CAMA_reseq_16_R2	(2.0, 15322.0)	(3.0, 1413.0)	(4.0, 1021.0)	(5.0, 913.0)	(6.0, 1076.0)	(7.0, 1267.0)	(8.0, 1595.0)	(9.0, 1995.0)	(10.0, 2326.0)	(11.0, 2786.0)	(12.0, 3348.0)	(13.0, 4330.0)	(14.0, 5523.0)	(15.0, 6839.0)	(16.0, 8381.0)	(17.0, 10470.0)	(18.0, 13505.0)	(19.0, 16739.0)	(20.0, 21413.0)	(21.0, 27694.0)	(22.0, 35322.0)	(23.0, 44500.0)	(24.0, 54786.0)	(25.0, 66703.0)	(26.0, 80644.0)	(27.0, 95947.0)	(28.0, 113928.0)	(29.0, 133774.0)	(30.0, 159929.0)	(31.0, 196873.0)	(32.0, 250635.0)	(33.0, 330997.0)	(34.0, 466845.0)	(35.0, 741654.0)	(36.0, 1573438.0)	(37.0, 12010593.0)
20150415.B-CAMA_reseq_17_R1	(2.0, 58.0)	(3.0, 51.0)	(4.0, 76.0)	(5.0, 58.0)	(6.0, 137.0)	(7.0, 256.0)	(8.0, 691.0)	(9.0, 857.0)	(10.0, 1124.0)	(11.0, 1348.0)	(12.0, 1797.0)	(13.0, 2156.0)	(14.0, 2747.0)	(15.0, 3462.0)	(16.0, 4109.0)	(17.0, 5056.0)	(18.0, 6101.0)	(19.0, 7044.0)	(20.0, 8432.0)	(21.0, 10397.0)	(22.0, 13163.0)	(23.0, 17331.0)	(24.0, 23739.0)	(25.0, 33025.0)	(26.0, 45465.0)	(27.0, 60737.0)	(28.0, 80946.0)	(29.0, 105185.0)	(30.0, 137614.0)	(31.0, 178682.0)	(32.0, 235541.0)	(33.0, 319542.0)	(34.0, 456503.0)	(35.0, 733091.0)	(36.0, 1594058.0)	(37.0, 12793229.0)
20150415.B-CAMA_reseq_17_R2	(2.0, 17231.0)	(3.0, 2038.0)	(4.0, 1603.0)	(5.0, 1560.0)	(6.0, 1715.0)	(7.0, 1906.0)	(8.0, 2258.0)	(9.0, 2744.0)	(10.0, 3501.0)	(11.0, 4062.0)	(12.0, 4838.0)	(13.0, 5998.0)	(14.0, 7852.0)	(15.0, 9839.0)	(16.0, 12388.0)	(17.0, 15751.0)	(18.0, 20406.0)	(19.0, 25149.0)	(20.0, 32342.0)	(21.0, 40814.0)	(22.0, 51164.0)	(23.0, 63282.0)	(24.0, 76758.0)	(25.0, 91286.0)	(26.0, 107130.0)	(27.0, 125505.0)	(28.0, 146151.0)	(29.0, 170595.0)	(30.0, 201994.0)	(31.0, 244754.0)	(32.0, 304597.0)	(33.0, 397289.0)	(34.0, 550662.0)	(35.0, 857585.0)	(36.0, 1779196.0)	(37.0, 11501865.0)
20150415.B-CAMA_reseq_18_R1	(2.0, 64.0)	(3.0, 60.0)	(4.0, 71.0)	(5.0, 75.0)	(6.0, 112.0)	(7.0, 268.0)	(8.0, 687.0)	(9.0, 946.0)	(10.0, 1167.0)	(11.0, 1388.0)	(12.0, 1870.0)	(13.0, 2262.0)	(14.0, 2761.0)	(15.0, 3545.0)	(16.0, 4476.0)	(17.0, 5454.0)	(18.0, 6750.0)	(19.0, 8064.0)	(20.0, 9787.0)	(21.0, 11691.0)	(22.0, 15156.0)	(23.0, 20015.0)	(24.0, 27408.0)	(25.0, 37611.0)	(26.0, 50897.0)	(27.0, 67831.0)	(28.0, 89934.0)	(29.0, 116992.0)	(30.0, 150098.0)	(31.0, 195338.0)	(32.0, 258836.0)	(33.0, 353130.0)	(34.0, 516554.0)	(35.0, 859155.0)	(36.0, 1954809.0)	(37.0, 12279772.0)
20150415.B-CAMA_reseq_18_R2	(2.0, 19821.0)	(3.0, 2953.0)	(4.0, 2212.0)	(5.0, 1969.0)	(6.0, 2060.0)	(7.0, 2295.0)	(8.0, 2597.0)	(9.0, 3132.0)	(10.0, 3761.0)	(11.0, 4426.0)	(12.0, 5279.0)	(13.0, 6516.0)	(14.0, 8549.0)	(15.0, 10467.0)	(16.0, 13034.0)	(17.0, 16575.0)	(18.0, 21187.0)	(19.0, 26573.0)	(20.0, 33554.0)	(21.0, 42628.0)	(22.0, 53540.0)	(23.0, 65184.0)	(24.0, 79360.0)	(25.0, 94633.0)	(26.0, 111879.0)	(27.0, 130231.0)	(28.0, 152022.0)	(29.0, 176902.0)	(30.0, 209947.0)	(31.0, 253662.0)	(32.0, 317500.0)	(33.0, 413602.0)	(34.0, 573427.0)	(35.0, 897504.0)	(36.0, 1863344.0)	(37.0, 11432709.0)
20150415.B-CAMA_reseq_19_R1	(2.0, 70.0)	(3.0, 85.0)	(4.0, 86.0)	(5.0, 103.0)	(6.0, 178.0)	(7.0, 383.0)	(8.0, 921.0)	(9.0, 1234.0)	(10.0, 1746.0)	(11.0, 2073.0)	(12.0, 2657.0)	(13.0, 3197.0)	(14.0, 4060.0)	(15.0, 4864.0)	(16.0, 6030.0)	(17.0, 7276.0)	(18.0, 8585.0)	(19.0, 10088.0)	(20.0, 11811.0)	(21.0, 14729.0)	(22.0, 18523.0)	(23.0, 24897.0)	(24.0, 34640.0)	(25.0, 48049.0)	(26.0, 66891.0)	(27.0, 90335.0)	(28.0, 120349.0)	(29.0, 157581.0)	(30.0, 205897.0)	(31.0, 268508.0)	(32.0, 353085.0)	(33.0, 481122.0)	(34.0, 693312.0)	(35.0, 1123795.0)	(36.0, 2565069.0)	(37.0, 19532980.0)
20150415.B-CAMA_reseq_19_R2	(2.0, 29714.0)	(3.0, 5411.0)	(4.0, 3088.0)	(5.0, 3055.0)	(6.0, 3332.0)	(7.0, 3525.0)	(8.0, 3906.0)	(9.0, 4539.0)	(10.0, 5395.0)	(11.0, 6390.0)	(12.0, 7593.0)	(13.0, 9187.0)	(14.0, 11332.0)	(15.0, 14494.0)	(16.0, 18465.0)	(17.0, 23250.0)	(18.0, 29591.0)	(19.0, 38055.0)	(20.0, 48782.0)	(21.0, 61069.0)	(22.0, 75748.0)	(23.0, 93519.0)	(24.0, 113239.0)	(25.0, 135440.0)	(26.0, 159277.0)	(27.0, 187223.0)	(28.0, 219057.0)	(29.0, 256076.0)	(30.0, 304690.0)	(31.0, 373677.0)	(32.0, 469362.0)	(33.0, 618587.0)	(34.0, 868003.0)	(35.0, 1384661.0)	(36.0, 3004057.0)	(37.0, 17272420.0)
