Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20150415.B-CAMA_reseq_10_R1	20150415.B-CAMA_reseq_10_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19974611.0	2.4 Gbp	0.0	1-126	39.0	76.65232475084724	125.06535306244513	126	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_10_R2	20150415.B-CAMA_reseq_10_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19974611.0	2.4 Gbp	0.0	1-126	39.0	77.00285266357827	125.06745157640367	126	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_11_R1	20150415.B-CAMA_reseq_11_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18645318.0	2.3 Gbp	0.0	1-126	39.0	78.42902626201597	125.03949747598834	126	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_11_R2	20150415.B-CAMA_reseq_11_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18645318.0	2.3 Gbp	0.0	1-126	39.0	78.66625743051625	125.04065052685077	126	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_12_R1	20150415.B-CAMA_reseq_12_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17457936.0	2.1 Gbp	0.0	1-126	39.0	77.52177825920927	125.19456973607876	126	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_12_R2	20150415.B-CAMA_reseq_12_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17457936.0	2.1 Gbp	0.0	1-126	39.0	77.87731751800553	125.19780230606871	126	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_13_R1	20150415.B-CAMA_reseq_13_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18903907.0	2.3 Gbp	0.0	1-126	39.0	83.8952485624143	125.14196282281753	126	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_13_R2	20150415.B-CAMA_reseq_13_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18903907.0	2.3 Gbp	0.0	1-126	39.0	84.07623802925879	125.14259766512816	126	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_14_R1	20150415.B-CAMA_reseq_14_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15544710.0	1.9 Gbp	0.0	1-126	38.0	80.4198389691641	125.27207236416761	126	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
20150415.B-CAMA_reseq_14_R2	20150415.B-CAMA_reseq_14_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15544710.0	1.9 Gbp	0.0	1-126	38.0	80.64001836269978	125.27392939463007	126	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
