Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
20150415.B-CAMA_reseq_1	38733792.0	0.0	0.0	nan	30448.0	0.0
20150415.B-CAMA_reseq_10	39949222.0	0.0	0.0	nan	46868.0	0.0
20150415.B-CAMA_reseq_11	37290636.0	0.0	0.0	nan	40496.0	0.0
20150415.B-CAMA_reseq_12	34915872.0	0.0	0.0	nan	35152.0	0.0
20150415.B-CAMA_reseq_13	37807814.0	0.0	0.0	nan	27358.0	0.0
20150415.B-CAMA_reseq_14	31089420.0	0.0	0.0	nan	23572.0	0.0
20150415.B-CAMA_reseq_15	35920084.0	0.0	0.0	nan	26862.0	0.0
20150415.B-CAMA_reseq_16	33009048.0	0.0	0.0	nan	23476.0	0.0
20150415.B-CAMA_reseq_17	33767616.0	0.0	0.0	nan	25688.0	0.0
20150415.B-CAMA_reseq_18	34110068.0	0.0	0.0	nan	25904.0	0.0
20150415.B-CAMA_reseq_19	51730418.0	0.0	0.0	nan	38456.0	0.0
20150415.B-CAMA_reseq_2	34292088.0	0.0	0.0	nan	37772.0	0.0
20150415.B-CAMA_reseq_20	45586094.0	0.0	0.0	nan	35018.0	0.0
20150415.B-CAMA_reseq_21	51191974.0	0.0	0.0	nan	39808.0	0.0
20150415.B-CAMA_reseq_22	42503504.0	0.0	0.0	nan	32108.0	0.0
20150415.B-CAMA_reseq_23	40524806.0	0.0	0.0	nan	64752.0	0.0
20150415.B-CAMA_reseq_24	36334880.0	0.0	0.0	nan	69340.0	0.0
20150415.B-CAMA_reseq_25	40211888.0	0.0	0.0	nan	30306.0	0.0
20150415.B-CAMA_reseq_26	40241708.0	0.0	0.0	nan	41636.0	0.0
20150415.B-CAMA_reseq_3	37428642.0	0.0	0.0	nan	36456.0	0.0
20150415.B-CAMA_reseq_4	35118934.0	0.0	0.0	nan	45068.0	0.0
20150415.B-CAMA_reseq_5	43350796.0	0.0	0.0	nan	52524.0	0.0
20150415.B-CAMA_reseq_6	37496230.0	0.0	0.0	nan	50694.0	0.0
20150415.B-CAMA_reseq_7	44908502.0	0.0	0.0	nan	53722.0	0.0
20150415.B-CAMA_reseq_8	44774508.0	0.0	0.0	nan	45594.0	0.0
20150415.B-CAMA_reseq_9	38085360.0	0.0	0.0	nan	34400.0	0.0
