Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
20150415.B-CAMA_reseq_1	1.32704	94.5821	4583.397535	38.733792	38.742399999999996	98.79210987198479	98.09351892155117	3.273912198251278	126.0	126.0						
20150415.B-CAMA_reseq_10	1.4115600000000001	95.3781	4765.323297	39.949222	39.306799999999996	96.16378231484958	95.45013746039514	5.971345571510201	126.0	126.0						
20150415.B-CAMA_reseq_10_R1											23.347675249152758	39.0	125.06535306244513	126	0.0	19.974611
20150415.B-CAMA_reseq_10_R2											22.997147336421733	39.0	125.06745157640367	126	9.090909090909092	19.974611
20150415.B-CAMA_reseq_11	1.3318	94.9859	4428.9723779999995	37.290636	39.126	96.65661928439035	95.91911925358485	5.548010874915405	126.0	126.0						
20150415.B-CAMA_reseq_11_R1											21.570973737984033	39.0	125.03949747598834	126	0.0	18.645318
20150415.B-CAMA_reseq_11_R2											21.333742569483746	39.0	125.04065052685077	126	9.090909090909092	18.645318
20150415.B-CAMA_reseq_12	1.4264000000000001	95.3031	4165.973623	34.915872	39.0708	95.98822933012528	95.37483817013309	5.917018646790832	126.0	126.0						
20150415.B-CAMA_reseq_12_R1											22.47822174079073	39.0	125.19456973607876	126	0.0	17.457936
20150415.B-CAMA_reseq_12_R2											22.122682481994474	39.0	125.19780230606871	126	9.090909090909092	17.457936
20150415.B-CAMA_reseq_13	1.31423	95.602	4523.219782	37.807814	39.067800000000005	99.15800778287185	98.4819156014392	2.8858825452303107	126.0	126.0						
20150415.B-CAMA_reseq_13_R1											16.104751437585705	39.0	125.14196282281753	126	0.0	18.903907
20150415.B-CAMA_reseq_13_R2											15.92376197074121	39.0	125.14259766512816	126	9.090909090909092	18.903907
20150415.B-CAMA_reseq_14	1.38493	95.4499	3717.4085729999997	31.089419999999997	38.935199999999995	99.06037142883726	98.48766033225812	2.717628129923239	126.0	126.0						
20150415.B-CAMA_reseq_14_R1											19.580161030835896	38.0	125.27207236416761	126	0.0	15.544709999999998
20150415.B-CAMA_reseq_14_R2											19.359981637300223	38.0	125.27392939463007	126	9.090909090909092	15.544709999999998
20150415.B-CAMA_reseq_15	1.50256	95.3063	4287.481913	35.920083999999996	38.3399	99.05788231951101	98.46045625028702	2.778437488003876	126.0	126.0						
20150415.B-CAMA_reseq_15_R1											22.001229382626533	38.0	125.24075305614541	126	0.0	17.960041999999998
20150415.B-CAMA_reseq_15_R2											21.91473646272614	38.0	125.24213395492059	126	9.090909090909092	17.960041999999998
20150415.B-CAMA_reseq_16	1.4843	95.40180000000001	3942.434922	33.009048	39.889	99.5058627253371	98.86736666059517	2.328522428261469	126.0	126.0						
20150415.B-CAMA_reseq_16_R1											21.55525003993371	39.0	125.19276969151004	126	0.0	16.504524
20150415.B-CAMA_reseq_16_R2											21.3482828586352	39.0	125.19284645834075	126	9.090909090909092	16.504524
20150415.B-CAMA_reseq_17	1.29792	94.5887	3993.017086	33.767616	38.884	99.03131329015454	98.2570152816955	3.3427964722068957	126.0	126.0						
20150415.B-CAMA_reseq_17_R1											21.039682501333985	38.0	125.01598934316239	126	0.0	16.883808
20150415.B-CAMA_reseq_17_R2											20.66785036974362	38.0	125.01653193402815	126	9.090909090909092	16.883808
20150415.B-CAMA_reseq_18	1.32856	94.2365	4020.5210939999997	34.110068	39.1551	98.83688544645265	98.11360942615515	3.4483486014912836	126.0	126.0						
20150415.B-CAMA_reseq_18_R1											22.224039693057165	39.0	125.07830726107025	126	0.0	17.055034
20150415.B-CAMA_reseq_18_R2											21.872965362368873	39.0	125.0803172834484	126	9.090909090909092	17.055034
20150415.B-CAMA_reseq_19	0.778327	94.5595	6108.262847999999	51.730418	39.2498	99.01823249155308	98.13215038815721	3.554589920251249	126.0	126.0						
20150415.B-CAMA_reseq_19_R1											23.56829479233066	39.0	124.87357855875048	126	0.0	25.865209
20150415.B-CAMA_reseq_19_R2											22.958727923365146	39.0	124.87424884136834	126	18.181818181818183	25.865209
20150415.B-CAMA_reseq_1_R1											19.367768391256106	38.0	125.10931008252432	126	0.0	19.366896
20150415.B-CAMA_reseq_1_R2											19.1981269789504	38.0	125.11159702618323	126	9.090909090909092	19.366896
20150415.B-CAMA_reseq_2	1.26883	95.4034	4095.8995689999997	34.292088	39.138	96.89217425062888	96.27419605509293	4.997147661294173	126.0	126.0						
20150415.B-CAMA_reseq_20	0.762918	95.09609999999999	5424.633679	45.586093999999996	39.026300000000006	98.94462038518041	98.26456254062306	3.0948357465387253	126.0	126.0						
20150415.B-CAMA_reseq_20_R1											21.70811903402719	39.0	125.1345352378732	126	0.0	22.793046999999998
20150415.B-CAMA_reseq_20_R2											21.403776311695452	39.0	125.13628857958307	126	9.090909090909092	22.793046999999998
20150415.B-CAMA_reseq_21	0.69144	93.8869	6011.3043609999995	51.191973999999995	39.1901	98.78867637888449	98.06149246029787	3.5046937188610086	126.0	126.0						
20150415.B-CAMA_reseq_21_R1											22.303340076976525	39.0	125.07263435475257	126	0.0	25.595986999999997
